1000/T (1/K),Ignition_time_2_by_max_dT/dt (sec)
1.666667,0.2517916
1.538462,0.03855335
1.428571,0.009589624
1.333333,0.006032823
1.25,0.009923646
1.176471,0.02103626
1.111111,0.03110717
1.052632,0.01969362
1.0,0.009882997
0.952381,0.004941036
0.9090909,0.00249984
0.8695652,0.00126043
0.8333333,6.347905E-4
0.8,3.232171E-4
0.7692308,1.681877E-4
0.7407407,9.056962E-5
0.7142857,5.105802E-5
0.6896552,3.029904E-5
0.6666667,1.884092E-5
0.6451613,1.219986E-5
0.625,8.167537E-6
0.6060606,5.616806E-6
0.5882353,4.001583E-6
0.5714286,2.936782E-6
0.5555556,2.218134E-6
0.5405405,1.73473E-6
0.5263158,1.384849E-6
0.5128205,1.140736E-6
0.5,9.558637E-7
0.4878049,8.328759E-7
0.4761905,7.001587E-7
0.4651163,6.045142E-7
0.4545455,5.364941E-7
0.4444444,4.762595E-7
0.4347826,4.282143E-7
0.4255319,3.840507E-7
0.4166667,3.497736E-7
