1000/T (1/K),Ignition_time_2_by_max_dT/dt (sec)
1.666667,0.2242587
1.538462,0.03424738
1.428571,0.007977719
1.333333,0.003939335
1.25,0.005211047
1.176471,0.01067462
1.111111,0.01851216
1.052632,0.01466012
1.0,0.007745999
0.952381,0.003876616
0.9090909,0.00193202
0.8695652,9.646408E-4
0.8333333,4.875875E-4
0.8,2.517272E-4
0.7692308,1.33254E-4
0.7407407,7.283139E-5
0.7142857,4.154848E-5
0.6896552,2.490215E-5
0.6666667,1.563593E-5
0.6451613,1.021675E-5
0.625,6.892058E-6
0.6060606,4.788553E-6
0.5882353,3.419076E-6
0.5714286,2.512415E-6
0.5555556,1.910086E-6
0.5405405,1.490515E-6
0.5263158,1.188004E-6
0.5128205,9.706339E-7
0.5,8.141185E-7
0.4878049,6.850704E-7
0.4761905,5.94721E-7
0.4651163,5.124108E-7
0.4545455,4.574523E-7
0.4444444,3.985279E-7
0.4347826,3.702797E-7
0.4255319,3.280618E-7
0.4166667,2.926414E-7
