,Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei
2,1.0,0.335,0.265,0.095,0.1975,0.0795,0.0375,0.07
13,1.0,0.465,0.34,0.105,0.486,0.231,0.1035,0.1225
40,1.0,0.575,0.45,0.17,0.9315,0.358,0.2145,0.26
50,1.0,0.615,0.5,0.205,1.1055,0.4445,0.227,0.39
51,1.0,0.555,0.44,0.15,1.092,0.416,0.212,0.4405
56,1.0,0.65,0.515,0.185,1.3745,0.75,0.1805,0.369
67,1.0,0.235,0.17,0.055,0.0515,0.018000000000000002,0.0105,0.0195
70,1.0,0.65,0.525,0.205,1.4275,0.69,0.306,0.4355
88,1.0,0.505,0.385,0.135,0.6185,0.251,0.1175,0.2
97,1.0,0.545,0.41,0.12,0.7929999999999999,0.434,0.1405,0.19
123,1.0,0.465,0.38,0.13,0.454,0.1895,0.08,0.155
137,1.0,0.69,0.56,0.215,1.719,0.68,0.299,0.47
144,1.0,0.51,0.395,0.125,0.5805,0.244,0.1335,0.188
183,1.0,0.35,0.255,0.09,0.1785,0.0855,0.0305,0.0525
184,1.0,0.33,0.225,0.075,0.187,0.0945,0.0395,0.0425
200,1.0,0.505,0.39,0.175,0.6920000000000001,0.267,0.15,0.215
205,1.0,0.45,0.35,0.125,0.4435,0.185,0.09,0.145
206,1.0,0.575,0.47,0.165,0.853,0.292,0.179,0.35
226,1.0,0.42,0.33,0.125,0.463,0.18600000000000005,0.11,0.145
244,1.0,0.52,0.385,0.165,0.7909999999999999,0.375,0.18,0.1815
284,1.0,0.665,0.505,0.16,1.2915,0.631,0.2925,0.32
290,1.0,0.665,0.5,0.175,1.742,0.595,0.3025,0.725
305,1.0,0.44,0.305,0.115,0.379,0.162,0.091,0.11
320,1.0,0.555,0.405,0.12,0.913,0.4585,0.196,0.2065
348,1.0,0.565,0.44,0.175,0.8735,0.414,0.21,0.21
361,1.0,0.565,0.45,0.16,0.795,0.3605,0.1555,0.23
367,1.0,0.58,0.455,0.17,0.9075,0.374,0.2135,0.285
376,1.0,0.49,0.395,0.14,0.5489999999999999,0.2215,0.1275,0.15
380,1.0,0.55,0.41,0.13,0.8705,0.4455,0.2115,0.213
408,1.0,0.62,0.49,0.19,1.218,0.5455,0.2965,0.355
448,1.0,0.47,0.35,0.13,0.466,0.1845,0.099,0.145
451,1.0,0.455,0.35,0.14,0.5185,0.221,0.1265,0.135
453,1.0,0.345,0.27,0.095,0.197,0.0665,0.05,0.07
466,1.0,0.375,0.285,0.095,0.253,0.096,0.0575,0.0925
470,1.0,0.535,0.405,0.125,0.927,0.26,0.1425,0.345
488,1.0,0.48,0.38,0.145,0.59,0.232,0.141,0.23
512,1.0,0.635,0.48,0.235,1.064,0.413,0.228,0.36
519,1.0,0.505,0.375,0.115,0.5895,0.2635,0.12,0.16699999999999998
526,1.0,0.7,0.56,0.175,1.6605,0.8605,0.3275,0.398
532,1.0,0.545,0.445,0.175,0.8525,0.3465,0.189,0.295
537,1.0,0.545,0.44,0.12,0.8565,0.3475,0.1715,0.24
548,1.0,0.385,0.29,0.09,0.2615,0.111,0.0595,0.0745
556,1.0,0.695,0.53,0.15,1.477,0.6375,0.3025,0.43
599,1.0,0.355,0.29,0.09,0.3275,0.134,0.086,0.09
600,1.0,0.635,0.48,0.19,1.467,0.5825,0.303,0.42
629,1.0,0.545,0.45,0.16,0.8615,0.2925,0.1545,0.365
645,1.0,0.575,0.45,0.16,1.068,0.556,0.214,0.2575
659,1.0,0.62,0.48,0.18,1.1305,0.5285,0.2655,0.306
660,1.0,0.675,0.525,0.16,1.2835,0.5720000000000001,0.2755,0.3545
670,1.0,0.345,0.255,0.1,0.197,0.071,0.051,0.06
676,1.0,0.595,0.46,0.17,1.1295,0.57,0.2555,0.265
677,1.0,0.55,0.42,0.155,0.912,0.495,0.1805,0.205
683,1.0,0.335,0.255,0.075,0.1635,0.0615,0.0345,0.057
713,1.0,0.37,0.28,0.105,0.234,0.0905,0.0585,0.075
752,1.0,0.735,0.555,0.22,2.333,1.2395,0.3645,0.6195
754,1.0,0.505,0.4,0.125,0.77,0.2735,0.159,0.255
758,1.0,0.57,0.47,0.155,1.186,0.6355,0.2315,0.277
766,1.0,0.45,0.335,0.14,0.478,0.1865,0.115,0.16
768,1.0,0.295,0.215,0.075,0.116,0.037000000000000005,0.0295,0.04
797,1.0,0.475,0.375,0.125,0.588,0.237,0.1715,0.155
814,1.0,0.485,0.355,0.12,0.547,0.215,0.1615,0.14
830,1.0,0.61,0.47,0.165,1.1785,0.5660000000000001,0.2785,0.294
836,1.0,0.535,0.45,0.135,0.8075,0.322,0.181,0.25
839,1.0,0.385,0.285,0.085,0.244,0.1215,0.0445,0.068
854,1.0,0.63,0.485,0.165,1.233,0.6565,0.2315,0.3035
932,1.0,0.625,0.475,0.13,0.8595,0.3195,0.1775,0.24
936,1.0,0.665,0.54,0.175,1.347,0.4955,0.254,0.415
943,1.0,0.555,0.445,0.135,0.836,0.336,0.1625,0.275
948,1.0,0.615,0.515,0.17,1.14,0.4305,0.2245,0.42
960,1.0,0.605,0.475,0.19,1.1255,0.59,0.247,0.26
967,1.0,0.595,0.455,0.155,1.041,0.416,0.2105,0.365
974,1.0,0.57,0.48,0.18,0.9395,0.399,0.2,0.295
985,1.0,0.525,0.405,0.16,0.792,0.316,0.1455,0.28
1047,1.0,0.375,0.29,0.1,0.276,0.1175,0.0565,0.085
1051,1.0,0.49,0.385,0.125,0.5395,0.2175,0.128,0.165
1052,1.0,0.565,0.435,0.155,0.782,0.2715,0.168,0.285
1094,1.0,0.41,0.3,0.1,0.301,0.124,0.069,0.09
1103,1.0,0.505,0.385,0.15,0.6415,0.246,0.152,0.215
1127,1.0,0.54,0.415,0.175,0.8975,0.275,0.241,0.275
1130,1.0,0.34,0.255,0.095,0.213,0.081,0.034,0.07
1138,1.0,0.47,0.365,0.135,0.522,0.2395,0.1525,0.145
1152,1.0,0.32,0.23,0.06,0.129,0.0615,0.0275,0.0355
1167,1.0,0.5,0.405,0.15,0.5965,0.253,0.126,0.185
1230,1.0,0.585,0.46,0.17,1.0835,0.3745,0.326,0.325
1235,1.0,0.58,0.46,0.165,1.2275,0.473,0.1965,0.435
1246,1.0,0.56,0.42,0.195,0.8085,0.3025,0.1795,0.285
1254,1.0,0.68,0.52,0.175,1.543,0.7525,0.35100000000000003,0.374
1269,1.0,0.705,0.555,0.2,1.4685,0.4715,0.3235,0.52
1283,1.0,0.55,0.435,0.16,0.906,0.342,0.219,0.295
1313,1.0,0.29,0.225,0.07,0.101,0.036000000000000004,0.0235,0.035
1315,1.0,0.57,0.44,0.125,0.865,0.3675,0.1725,0.27
1322,1.0,0.615,0.475,0.165,1.023,0.4905,0.1955,0.3035
1325,1.0,0.595,0.44,0.135,0.964,0.5005,0.1715,0.2575
1344,1.0,0.59,0.45,0.185,1.283,0.473,0.276,0.425
1365,1.0,0.43,0.345,0.115,0.3045,0.0925,0.055,0.12
1370,1.0,0.465,0.36,0.125,0.4365,0.16899999999999998,0.1075,0.145
1374,1.0,0.58,0.47,0.15,0.907,0.444,0.1855,0.2445
1379,1.0,0.385,0.3,0.095,0.24,0.0885,0.059,0.085
1413,1.0,0.585,0.51,0.16,1.218,0.639,0.241,0.3
1441,1.0,0.44,0.325,0.11,0.4965,0.258,0.1195,0.1075
1446,1.0,0.655,0.5,0.22,1.359,0.642,0.3255,0.405
1473,1.0,0.57,0.45,0.16,0.9715,0.3965,0.255,0.26
1519,1.0,0.27,0.195,0.07,0.106,0.0465,0.018000000000000002,0.036000000000000004
1521,1.0,0.3,0.23,0.08,0.1275,0.0435,0.0265,0.04
1538,1.0,0.455,0.355,0.13,0.515,0.2,0.1275,0.175
1543,1.0,0.49,0.39,0.135,0.59,0.215,0.125,0.1845
1545,1.0,0.475,0.35,0.115,0.452,0.1715,0.092,0.155
1546,1.0,0.52,0.405,0.12,0.627,0.2645,0.1415,0.181
1566,1.0,0.42,0.34,0.125,0.4495,0.165,0.1125,0.14400000000000002
1581,1.0,0.495,0.38,0.145,0.515,0.175,0.098,0.212
1597,1.0,0.33,0.26,0.08,0.2,0.0625,0.05,0.07
1603,1.0,0.37,0.29,0.115,0.25,0.111,0.057,0.075
1654,1.0,0.455,0.375,0.125,0.458,0.1985,0.111,0.12
1656,1.0,0.495,0.385,0.135,0.6335,0.2,0.1225,0.26
1664,1.0,0.435,0.34,0.11,0.407,0.1685,0.073,0.13
1690,1.0,0.17,0.125,0.055,0.0235,0.009000000000000001,0.0055,0.008
1695,1.0,0.46,0.35,0.12,0.4885,0.193,0.105,0.155
1719,1.0,0.525,0.4,0.115,0.6295,0.2555,0.14400000000000002,0.18
1748,1.0,0.565,0.455,0.185,0.9265,0.354,0.1575,0.375
1757,1.0,0.46,0.375,0.135,0.4935,0.18600000000000005,0.0845,0.17
1759,1.0,0.625,0.47,0.145,0.984,0.475,0.2,0.265
1761,1.0,0.7,0.535,0.175,1.773,0.6805,0.48,0.512
1799,1.0,0.55,0.43,0.145,0.7895,0.3745,0.171,0.223
1809,1.0,0.645,0.52,0.21,1.5535,0.616,0.3655,0.474
1820,1.0,0.595,0.48,0.2,0.975,0.358,0.2035,0.34
1835,1.0,0.56,0.445,0.195,0.981,0.305,0.2245,0.335
1864,1.0,0.4,0.31,0.115,0.3465,0.1475,0.0695,0.115
1882,1.0,0.415,0.315,0.115,0.3895,0.2015,0.065,0.103
1898,1.0,0.445,0.345,0.09,0.3795,0.14300000000000002,0.07400000000000001,0.125
1915,1.0,0.59,0.465,0.155,1.136,0.5245,0.2615,0.275
1923,1.0,0.37,0.285,0.105,0.27,0.1125,0.0585,0.0835
1926,1.0,0.475,0.375,0.15,0.5589999999999999,0.1955,0.1215,0.1945
1930,1.0,0.55,0.42,0.115,0.6679999999999999,0.2925,0.13699999999999998,0.209
1935,1.0,0.59,0.415,0.15,0.8805,0.3645,0.234,0.235
1946,1.0,0.295,0.23,0.085,0.125,0.042,0.0285,0.043
1991,1.0,0.54,0.44,0.16,1.0905,0.391,0.2295,0.355
2000,1.0,0.46,0.35,0.12,0.515,0.224,0.108,0.1565
2001,1.0,0.41,0.325,0.105,0.3635,0.159,0.077,0.12
2008,1.0,0.44,0.34,0.1,0.451,0.188,0.087,0.13
2043,1.0,0.69,0.53,0.21,1.5830000000000002,0.7355,0.405,0.3865
2056,1.0,0.45,0.335,0.125,0.349,0.119,0.1055,0.115
2068,1.0,0.28,0.2,0.065,0.0895,0.036000000000000004,0.0185,0.03
2082,1.0,0.545,0.41,0.125,0.6935,0.2975,0.146,0.21
2083,1.0,0.64,0.485,0.145,1.1335,0.5525,0.2505,0.3015
2143,1.0,0.47,0.4,0.16,0.51,0.1615,0.073,0.198
2144,1.0,0.435,0.32,0.08,0.3325,0.1485,0.0635,0.105
2145,1.0,0.57,0.45,0.16,0.8615,0.3725,0.2175,0.255
2157,1.0,0.455,0.36,0.115,0.457,0.2085,0.0855,0.147
2161,1.0,0.655,0.525,0.18,1.402,0.624,0.2935,0.365
2171,1.0,0.6,0.455,0.17,1.1915,0.696,0.2395,0.24
2180,1.0,0.58,0.46,0.12,0.9935,0.4625,0.2385,0.28
2187,1.0,0.675,0.55,0.19,1.551,0.7105,0.3685,0.412
2188,1.0,0.405,0.305,0.095,0.3485,0.1455,0.0895,0.1
2190,1.0,0.66,0.545,0.185,1.32,0.5305,0.2635,0.455
2201,1.0,0.59,0.5,0.2,1.187,0.412,0.2705,0.37
2207,1.0,0.695,0.55,0.205,2.173,1.133,0.4665,0.496
2237,1.0,0.6,0.47,0.2,1.031,0.392,0.2035,0.29
2238,1.0,0.525,0.415,0.16,0.6445,0.26,0.1575,0.22
2248,1.0,0.315,0.245,0.085,0.1435,0.053,0.0475,0.05
2259,1.0,0.73,0.575,0.185,1.8795,0.931,0.38,0.4825
2273,1.0,0.61,0.48,0.14,1.0625,0.516,0.225,0.2915
