,Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei
8,1.0,0.295,0.22,0.07,0.1365,0.0575,0.0295,0.035
10,1.0,0.495,0.375,0.115,0.507,0.241,0.103,0.15
28,1.0,0.65,0.505,0.19,1.274,0.59,0.23,0.391
41,1.0,0.565,0.435,0.185,0.9815,0.329,0.136,0.39
43,1.0,0.455,0.365,0.115,0.4305,0.184,0.108,0.1245
49,1.0,0.595,0.47,0.25,1.283,0.462,0.2475,0.445
55,1.0,0.315,0.23,0.07,0.16399999999999998,0.0625,0.04,0.045
71,1.0,0.545,0.435,0.145,0.9385,0.3685,0.1245,0.345
76,1.0,0.615,0.52,0.15,1.3435,0.629,0.2605,0.345
96,1.0,0.65,0.505,0.165,1.16,0.4785,0.274,0.349
111,1.0,0.57,0.43,0.145,0.833,0.354,0.14400000000000002,0.2815
119,1.0,0.365,0.275,0.135,0.24,0.108,0.0445,0.0735
126,1.0,0.66,0.525,0.2,1.463,0.6525,0.2995,0.422
135,1.0,0.53,0.43,0.15,0.741,0.325,0.1855,0.196
136,1.0,0.14,0.105,0.035,0.0145,0.005,0.0035,0.005
156,1.0,0.5,0.37,0.135,0.45,0.1715,0.1055,0.155
163,1.0,0.475,0.36,0.125,0.447,0.1695,0.081,0.14
174,1.0,0.565,0.465,0.15,1.1815,0.581,0.2215,0.3095
188,1.0,0.45,0.33,0.115,0.365,0.14,0.0825,0.1245
194,1.0,0.37,0.295,0.1,0.2685,0.1165,0.056,0.0835
196,1.0,0.55,0.425,0.16,0.7929999999999999,0.343,0.2035,0.215
202,1.0,0.525,0.4,0.14,0.601,0.2625,0.1285,0.1835
243,1.0,0.68,0.55,0.21,1.7445,0.5975,0.305,0.625
258,1.0,0.45,0.35,0.12,0.468,0.2005,0.1065,0.1325
262,1.0,0.13,0.095,0.035,0.0105,0.005,0.0065,0.0035
287,1.0,0.565,0.505,0.21,1.2765,0.501,0.279,0.355
300,1.0,0.49,0.385,0.125,0.649,0.32,0.124,0.1695
