,Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei
330,1.0,0.495,0.37,0.125,0.4775,0.185,0.0705,0.16899999999999998
427,1.0,0.395,0.315,0.105,0.3515,0.1185,0.091,0.1195
498,1.0,0.7,0.585,0.185,1.8075,0.7055,0.3215,0.475
533,1.0,0.585,0.45,0.17,0.8685,0.3325,0.1635,0.27
566,1.0,0.565,0.45,0.115,0.9085,0.398,0.197,0.29
605,1.0,0.49,0.39,0.15,0.573,0.225,0.124,0.17
667,1.0,0.53,0.415,0.13,0.8425,0.275,0.1945,0.265
710,1.0,0.515,0.4,0.14,0.7365,0.2955,0.184,0.185
740,1.0,0.49,0.36,0.11,0.5005,0.161,0.107,0.195
764,1.0,0.705,0.57,0.18,1.5345,0.96,0.4195,0.43
829,1.0,0.55,0.415,0.135,0.775,0.302,0.179,0.26
931,1.0,0.63,0.5,0.17,1.3135,0.5595,0.267,0.4
1057,1.0,0.515,0.4,0.16,0.8175,0.2515,0.156,0.3
1112,1.0,0.58,0.46,0.15,0.9955,0.429,0.212,0.26
1114,1.0,0.35,0.255,0.085,0.2145,0.1,0.0465,0.06
1195,1.0,0.45,0.355,0.12,0.412,0.1145,0.0665,0.16
1219,1.0,0.31,0.225,0.07,0.1055,0.435,0.015,0.04
1308,1.0,0.45,0.38,0.165,0.8165,0.25,0.1915,0.265
1357,1.0,0.455,0.35,0.125,0.4485,0.1585,0.102,0.1335
1378,1.0,0.725,0.575,0.24,2.21,1.351,0.413,0.5015
1408,1.0,0.71,0.57,0.195,1.348,0.8985,0.4435,0.4535
1437,1.0,0.45,0.35,0.14,0.474,0.21,0.109,0.1275
1481,1.0,0.545,0.42,0.14,0.7505,0.2475,0.13,0.255
1482,1.0,0.5,0.385,0.105,0.498,0.1795,0.1095,0.17
1613,1.0,0.5,0.4,0.165,0.7105,0.27,0.1455,0.225
1645,1.0,0.6,0.495,0.195,1.0575,0.384,0.19,0.375
1682,1.0,0.275,0.205,0.07,0.1055,0.495,0.019,0.0315
1873,1.0,0.63,0.485,0.19,1.2435,0.4635,0.3055,0.39
1883,1.0,0.52,0.4,0.12,0.6515,0.261,0.2015,0.165
1959,1.0,0.54,0.435,0.145,0.97,0.4285,0.22,0.264
1984,1.0,0.68,0.55,0.175,1.798,0.815,0.3925,0.455
2029,1.0,0.465,0.35,0.13,0.494,0.1945,0.103,0.155
2535,1.0,0.57,0.405,0.16,0.9245,0.3445,0.2185,0.295
2648,1.0,0.32,0.245,0.08,0.1585,0.0635,0.0325,0.05
2664,1.0,0.425,0.315,0.125,0.3525,0.1135,0.0565,0.13
2701,1.0,0.53,0.415,0.145,0.944,0.3845,0.185,0.265
2720,1.0,0.535,0.42,0.145,0.926,0.398,0.1965,0.25
2758,1.0,0.52,0.395,0.18,0.64,0.158,0.11,0.245
3024,1.0,0.455,0.365,0.095,0.514,0.2245,0.101,0.15
3079,1.0,0.565,0.455,0.15,0.8205,0.365,0.159,0.26
3179,1.0,0.445,0.345,0.14,0.476,0.2055,0.1015,0.1085
3246,1.0,0.525,0.41,0.175,0.8740000000000001,0.3585,0.207,0.205
3304,1.0,0.6,0.47,0.155,1.036,0.4375,0.196,0.325
3374,1.0,0.53,0.42,0.185,0.752,0.299,0.156,0.205
3387,1.0,0.665,0.525,0.165,1.338,0.5515,0.3575,0.35
3423,1.0,0.6,0.475,0.18,1.162,0.511,0.2675,0.32
3514,1.0,0.49,0.365,0.13,0.6835,0.165,0.1315,0.205
3566,1.0,0.48,0.37,0.13,0.5885,0.2475,0.1505,0.1595
3598,1.0,0.61,0.49,0.15,1.103,0.425,0.2025,0.36
3654,1.0,0.465,0.36,0.105,0.498,0.214,0.116,0.14
3731,1.0,0.69,0.515,0.18,1.8445,0.9815,0.4655,0.341
