,Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei
9,1.0,0.645,0.49,0.19,1.3065,0.479,0.3565,0.345
20,1.0,0.53,0.425,0.17,0.949,0.3485,0.2395,0.278
65,1.0,0.53,0.415,0.175,0.7395,0.261,0.1395,0.2645
84,1.0,0.52,0.425,0.155,0.7735,0.297,0.123,0.255
121,1.0,0.58,0.445,0.17,1.178,0.3935,0.2165,0.315
127,1.0,0.525,0.395,0.165,0.782,0.285,0.1405,0.285
143,1.0,0.33,0.245,0.085,0.171,0.0655,0.0365,0.055
146,1.0,0.47,0.355,0.13,0.5465,0.2005,0.126,0.185
150,1.0,0.59,0.485,0.12,0.911,0.39,0.182,0.29
164,1.0,0.55,0.425,0.135,0.8515,0.362,0.196,0.27
176,1.0,0.54,0.435,0.18,0.996,0.3835,0.226,0.325
178,1.0,0.49,0.39,0.14,0.7070000000000001,0.2795,0.2185,0.18
186,1.0,0.51,0.415,0.14,0.8185,0.3025,0.2155,0.235
204,1.0,0.35,0.255,0.065,0.179,0.0705,0.0385,0.06
214,1.0,0.635,0.51,0.155,1.156,0.428,0.289,0.315
239,1.0,0.61,0.48,0.15,1.2,0.56,0.2455,0.28
240,1.0,0.59,0.455,0.155,1.0659999999999998,0.382,0.2275,0.415
242,1.0,0.575,0.45,0.16,0.955,0.44,0.1685,0.27
249,1.0,0.435,0.33,0.125,0.406,0.1685,0.1055,0.096
270,1.0,0.335,0.26,0.09,0.1835,0.078,0.024,0.065
297,1.0,0.455,0.365,0.11,0.385,0.166,0.046,0.1345
307,1.0,0.6,0.475,0.15,1.0075,0.4425,0.221,0.28
309,1.0,0.605,0.49,0.155,1.153,0.503,0.2505,0.295
325,1.0,0.59,0.45,0.12,0.7485,0.3345,0.1315,0.22
328,1.0,0.645,0.485,0.15,1.151,0.5935,0.2315,0.293
330,1.0,0.495,0.37,0.125,0.4775,0.185,0.0705,0.16899999999999998
335,1.0,0.46,0.355,0.11,0.415,0.215,0.08199999999999999,0.13
341,1.0,0.355,0.27,0.075,0.204,0.3045,0.046,0.0595
351,1.0,0.59,0.45,0.16,0.9,0.358,0.156,0.315
360,1.0,0.565,0.435,0.185,1.032,0.354,0.2045,0.31
382,1.0,0.45,0.335,0.14,0.4625,0.16399999999999998,0.076,0.15
384,1.0,0.44,0.33,0.135,0.522,0.17,0.0905,0.195
389,1.0,0.575,0.435,0.15,0.805,0.293,0.1625,0.27
402,1.0,0.645,0.485,0.155,1.489,0.5915,0.312,0.38
409,1.0,0.69,0.54,0.185,1.6195,0.5329999999999999,0.353,0.555
412,1.0,0.445,0.33,0.1,0.4370000000000001,0.163,0.0755,0.17
427,1.0,0.395,0.315,0.105,0.3515,0.1185,0.091,0.1195
442,1.0,0.45,0.35,0.135,0.56,0.231,0.13699999999999998,0.145
464,1.0,0.54,0.41,0.145,0.989,0.2815,0.213,0.355
473,1.0,0.52,0.405,0.14,0.6765,0.2865,0.146,0.205
475,1.0,0.57,0.45,0.175,0.9555,0.38,0.1665,0.295
487,1.0,0.645,0.49,0.215,1.406,0.4265,0.2285,0.51
498,1.0,0.7,0.585,0.185,1.8075,0.7055,0.3215,0.475
513,1.0,0.53,0.41,0.165,0.8115,0.24,0.16899999999999998,0.24
521,1.0,0.565,0.44,0.175,1.122,0.393,0.2,0.375
525,1.0,0.61,0.49,0.17,1.1775,0.5655,0.2385,0.295
533,1.0,0.585,0.45,0.17,0.8685,0.3325,0.1635,0.27
566,1.0,0.565,0.45,0.115,0.9085,0.398,0.197,0.29
605,1.0,0.49,0.39,0.15,0.573,0.225,0.124,0.17
606,1.0,0.565,0.455,0.17,0.9065,0.342,0.156,0.32
609,1.0,0.43,0.33,0.095,0.34,0.1315,0.085,0.112
623,1.0,0.5,0.39,0.13,0.6355,0.2505,0.1635,0.195
633,1.0,0.54,0.405,0.155,0.9715,0.3225,0.194,0.29
634,1.0,0.515,0.4,0.12,0.659,0.2705,0.179,0.17
667,1.0,0.53,0.415,0.13,0.8425,0.275,0.1945,0.265
689,1.0,0.8,0.63,0.195,2.526,0.933,0.59,0.62
698,1.0,0.55,0.435,0.145,0.843,0.328,0.1915,0.255
710,1.0,0.515,0.4,0.14,0.7365,0.2955,0.184,0.185
719,1.0,0.585,0.455,0.125,1.027,0.391,0.212,0.25
731,1.0,0.78,0.63,0.215,2.657,1.4880000000000002,0.4985,0.586
740,1.0,0.49,0.36,0.11,0.5005,0.161,0.107,0.195
749,1.0,0.375,0.28,0.1,0.2565,0.1165,0.0585,0.0725
764,1.0,0.705,0.57,0.18,1.5345,0.96,0.4195,0.43
769,1.0,0.48,0.38,0.13,0.6175,0.3,0.142,0.175
773,1.0,0.505,0.395,0.145,0.6515,0.2695,0.153,0.205
775,1.0,0.59,0.475,0.145,1.053,0.4415,0.262,0.325
778,1.0,0.57,0.435,0.14,0.8085,0.3235,0.183,0.22
789,1.0,0.655,0.54,0.215,1.844,0.7425,0.327,0.585
794,1.0,0.54,0.475,0.155,1.217,0.5305,0.3075,0.34
801,1.0,0.31,0.235,0.06,0.12,0.0415,0.033,0.04
807,1.0,0.62,0.48,0.165,1.0125,0.5325,0.4365,0.324
811,1.0,0.57,0.415,0.13,0.88,0.4275,0.1955,0.238
829,1.0,0.55,0.415,0.135,0.775,0.302,0.179,0.26
876,1.0,0.405,0.325,0.11,0.3575,0.145,0.0725,0.11
896,1.0,0.6,0.47,0.175,1.105,0.4865,0.247,0.315
931,1.0,0.63,0.5,0.17,1.3135,0.5595,0.267,0.4
933,1.0,0.615,0.525,0.155,1.1375,0.3670000000000001,0.236,0.37
950,1.0,0.45,0.35,0.145,0.525,0.2085,0.1,0.1655
963,1.0,0.475,0.35,0.115,0.487,0.194,0.1455,0.125
981,1.0,0.63,0.485,0.175,1.3,0.4335,0.2945,0.46
988,1.0,0.565,0.425,0.1,0.7145,0.3055,0.166,0.18
993,1.0,0.685,0.52,0.15,1.3735,0.7185,0.293,0.32
1039,1.0,0.565,0.455,0.175,1.013,0.342,0.207,0.35
1041,1.0,0.565,0.48,0.175,0.957,0.3885,0.215,0.275
1045,1.0,0.44,0.35,0.14,0.451,0.171,0.0705,0.184
1057,1.0,0.515,0.4,0.16,0.8175,0.2515,0.156,0.3
1059,1.0,0.56,0.45,0.16,0.922,0.4320000000000001,0.17800000000000002,0.26
1112,1.0,0.58,0.46,0.15,0.9955,0.429,0.212,0.26
1114,1.0,0.35,0.255,0.085,0.2145,0.1,0.0465,0.06
1157,1.0,0.52,0.405,0.145,0.8290000000000001,0.3535,0.1685,0.205
1166,1.0,0.51,0.4,0.14,0.8145,0.459,0.1965,0.195
1195,1.0,0.45,0.355,0.12,0.412,0.1145,0.0665,0.16
1202,1.0,0.495,0.4,0.12,0.6605,0.2605,0.161,0.19
1208,1.0,0.5,0.385,0.155,0.762,0.3795,0.161,0.19
1219,1.0,0.31,0.225,0.07,0.1055,0.435,0.015,0.04
1236,1.0,0.65,0.515,0.16,1.1625,0.495,0.203,0.33
1238,1.0,0.645,0.525,0.19,1.8085,0.7035,0.3885,0.395
1242,1.0,0.385,0.285,0.105,0.2905,0.1215,0.0685,0.0875
1284,1.0,0.57,0.465,0.125,0.8490000000000001,0.3785,0.1765,0.24
1308,1.0,0.45,0.38,0.165,0.8165,0.25,0.1915,0.265
1346,1.0,0.465,0.375,0.135,0.6,0.2225,0.129,0.23
1348,1.0,0.545,0.435,0.165,0.9955,0.3245,0.2665,0.325
1356,1.0,0.535,0.425,0.155,0.7765,0.302,0.1565,0.25
1357,1.0,0.455,0.35,0.125,0.4485,0.1585,0.102,0.1335
1359,1.0,0.625,0.47,0.155,1.1955,0.643,0.2055,0.3145
1371,1.0,0.645,0.525,0.19,1.4635,0.6615,0.3435,0.435
1378,1.0,0.725,0.575,0.24,2.21,1.351,0.413,0.5015
1397,1.0,0.615,0.5,0.165,1.1765,0.488,0.244,0.345
1404,1.0,0.35,0.265,0.09,0.1775,0.0575,0.042,0.068
1405,1.0,0.49,0.385,0.115,0.6829999999999999,0.3265,0.1615,0.165
1408,1.0,0.71,0.57,0.195,1.348,0.8985,0.4435,0.4535
1419,1.0,0.405,0.31,0.12,0.3095,0.138,0.058,0.095
1427,1.0,0.545,0.425,0.125,0.768,0.294,0.1495,0.26
1430,1.0,0.575,0.45,0.1,0.9315,0.431,0.222,0.235
1434,1.0,0.48,0.37,0.12,0.514,0.2075,0.131,0.155
1437,1.0,0.45,0.35,0.14,0.474,0.21,0.109,0.1275
1481,1.0,0.545,0.42,0.14,0.7505,0.2475,0.13,0.255
1482,1.0,0.5,0.385,0.105,0.498,0.1795,0.1095,0.17
1496,1.0,0.61,0.485,0.165,1.0915,0.3935,0.2435,0.33
1508,1.0,0.62,0.52,0.225,1.1835,0.378,0.27,0.395
1514,1.0,0.525,0.41,0.13,0.99,0.3865,0.243,0.295
1562,1.0,0.485,0.365,0.14,0.6195,0.2595,0.1445,0.177
1585,1.0,0.725,0.565,0.21,2.1425,1.03,0.487,0.503
1587,1.0,0.555,0.435,0.165,0.97,0.336,0.2315,0.295
1591,1.0,0.55,0.425,0.15,0.8059999999999999,0.376,0.171,0.245
1592,1.0,0.44,0.345,0.12,0.487,0.1965,0.108,0.16
1595,1.0,0.505,0.41,0.135,0.657,0.29100000000000004,0.133,0.195
1613,1.0,0.5,0.4,0.165,0.7105,0.27,0.1455,0.225
1645,1.0,0.6,0.495,0.195,1.0575,0.384,0.19,0.375
1651,1.0,0.39,0.3,0.1,0.265,0.1075,0.06,0.0865
1677,1.0,0.58,0.455,0.155,0.8365,0.315,0.1385,0.32
1682,1.0,0.275,0.205,0.07,0.1055,0.495,0.019,0.0315
1699,1.0,0.605,0.49,0.18,1.227,0.48,0.287,0.35
1703,1.0,0.72,0.55,0.205,2.125,1.1455,0.4425,0.511
1707,1.0,0.65,0.525,0.19,1.385,0.8875,0.3095,0.405
1714,1.0,0.505,0.41,0.15,0.6345,0.243,0.1335,0.215
1733,1.0,0.29,0.225,0.08,0.1295,0.0535,0.026,0.045
1767,1.0,0.505,0.38,0.145,0.6509999999999999,0.2935,0.19,0.17
1768,1.0,0.395,0.3,0.105,0.3375,0.1435,0.0755,0.098
1806,1.0,0.52,0.4,0.13,0.6245,0.215,0.2065,0.17
1817,1.0,0.65,0.525,0.175,1.4225,0.61,0.2995,0.445
1840,1.0,0.415,0.325,0.105,0.38,0.1595,0.0785,0.12
1852,1.0,0.41,0.305,0.1,0.363,0.1735,0.065,0.11
1854,1.0,0.32,0.245,0.075,0.1555,0.0585,0.038,0.049
1873,1.0,0.63,0.485,0.19,1.2435,0.4635,0.3055,0.39
1877,1.0,0.465,0.35,0.14,0.5755,0.2015,0.1505,0.19
1883,1.0,0.52,0.4,0.12,0.6515,0.261,0.2015,0.165
1895,1.0,0.395,0.28,0.08,0.266,0.0995,0.066,0.09
1902,1.0,0.725,0.505,0.185,1.978,1.026,0.4255,0.4505
1904,1.0,0.645,0.5,0.19,1.229,0.524,0.278,0.395
1934,1.0,0.385,0.305,0.095,0.252,0.0915,0.055,0.09
1959,1.0,0.54,0.435,0.145,0.97,0.4285,0.22,0.264
1984,1.0,0.68,0.55,0.175,1.798,0.815,0.3925,0.455
2029,1.0,0.465,0.35,0.13,0.494,0.1945,0.103,0.155
2061,1.0,0.595,0.475,0.17,1.247,0.48,0.225,0.425
2069,1.0,0.58,0.42,0.16,0.728,0.2725,0.19,0.19
2093,1.0,0.355,0.28,0.095,0.2455,0.0955,0.062,0.075
2095,1.0,0.565,0.425,0.16,0.9425,0.3495,0.2185,0.275
2110,1.0,0.45,0.36,0.11,0.447,0.203,0.08199999999999999,0.13
2141,1.0,0.395,0.295,0.115,0.316,0.1205,0.0595,0.1105
2147,1.0,0.49,0.39,0.135,0.5920000000000001,0.242,0.096,0.1835
2164,1.0,0.63,0.515,0.16,1.016,0.4215,0.244,0.355
2199,1.0,0.655,0.525,0.185,1.259,0.487,0.2215,0.445
2204,1.0,0.37,0.28,0.09,0.233,0.0905,0.0545,0.07
2217,1.0,0.5,0.375,0.13,0.721,0.3055,0.1725,0.22
2229,1.0,0.475,0.365,0.14,0.6175,0.202,0.1445,0.19
2240,1.0,0.485,0.38,0.14,0.6729999999999999,0.2175,0.13,0.195
2252,1.0,0.57,0.465,0.18,0.9995,0.405,0.277,0.295
2329,1.0,0.5,0.405,0.14,0.6735,0.265,0.124,0.25
2352,1.0,0.62,0.47,0.2,1.2255,0.381,0.27,0.435
2361,1.0,0.55,0.44,0.16,0.991,0.348,0.168,0.375
2369,1.0,0.595,0.45,0.15,1.114,0.5865,0.2205,0.25
2378,1.0,0.675,0.51,0.17,1.527,0.809,0.318,0.341
2397,1.0,0.53,0.43,0.17,0.775,0.35,0.152,0.235
2426,1.0,0.57,0.44,0.14,0.9535,0.3785,0.201,0.305
