,Constant,female,male,len,dia,hei,w_wei,s_wei,v_wei,sh_wei,y_pred,y_act
21,1.0,0.0,0.0,0.495,0.37,0.125,0.4775,0.185,0.0705,0.16899999999999998,17.98494646852131,18.0
155,1.0,1.0,0.0,0.5,0.4,0.165,0.7105,0.27,0.1455,0.225,20.746201623196722,20.0
162,1.0,0.0,0.0,0.53,0.42,0.185,0.752,0.299,0.156,0.205,19.879073605327537,20.0
292,1.0,1.0,0.0,0.52,0.4,0.13,0.6245,0.215,0.2065,0.17,15.638543716009927,15.0
432,1.0,0.0,1.0,0.455,0.365,0.095,0.514,0.2245,0.101,0.15,14.757081907669612,15.0
448,1.0,0.0,1.0,0.71,0.57,0.195,1.348,0.8985,0.4435,0.4535,10.954409347614417,11.0
496,1.0,1.0,0.0,0.45,0.38,0.165,0.8165,0.25,0.1915,0.265,22.5936609257891,23.0
776,1.0,0.0,1.0,0.515,0.4,0.14,0.7365,0.2955,0.184,0.185,16.140795912569825,16.0
800,1.0,0.0,1.0,0.5,0.38,0.155,0.66,0.2655,0.1365,0.215,19.25954793743331,19.0
882,1.0,0.0,0.0,0.45,0.35,0.14,0.474,0.21,0.109,0.1275,15.95968037148248,16.0
885,1.0,1.0,0.0,0.68,0.55,0.175,1.798,0.815,0.3925,0.455,18.641558213499586,19.0
935,1.0,1.0,0.0,0.52,0.4,0.12,0.6515,0.261,0.2015,0.165,14.234392521233165,15.0
968,1.0,1.0,0.0,0.8,0.63,0.195,2.526,0.933,0.59,0.62,23.348856943725735,23.0
1247,1.0,1.0,0.0,0.395,0.315,0.105,0.3515,0.1185,0.091,0.1195,16.1653597343541,16.0
1271,1.0,0.0,0.0,0.525,0.41,0.175,0.8740000000000001,0.3585,0.207,0.205,17.662547831933576,18.0
1316,1.0,0.0,1.0,0.565,0.45,0.115,0.9085,0.398,0.197,0.29,16.88443942416681,17.0
1328,1.0,1.0,0.0,0.5,0.385,0.105,0.498,0.1795,0.1095,0.17,16.75392682370408,17.0
1710,1.0,0.0,1.0,0.6,0.47,0.155,1.036,0.4375,0.196,0.325,20.34940136664095,20.0
1722,1.0,0.0,1.0,0.35,0.255,0.085,0.2145,0.1,0.0465,0.06,13.203307010602668,13.0
1789,1.0,0.0,1.0,0.585,0.455,0.125,1.027,0.391,0.212,0.25,16.9650223860704,17.0
1901,1.0,0.0,0.0,0.54,0.435,0.145,0.97,0.4285,0.22,0.264,16.836282193843974,17.0
2200,1.0,0.0,1.0,0.71,0.555,0.175,2.14,1.2455,0.3725,0.434,10.906493842188572,11.0
2224,1.0,0.0,0.0,0.45,0.355,0.12,0.412,0.1145,0.0665,0.16,18.884276534073354,19.0
2245,1.0,0.0,1.0,0.6,0.495,0.195,1.0575,0.384,0.19,0.375,25.92611301013596,26.0
2331,1.0,0.0,1.0,0.53,0.415,0.13,0.8425,0.275,0.1945,0.265,19.418461960278798,20.0
2418,1.0,1.0,0.0,0.49,0.365,0.13,0.6835,0.165,0.1315,0.205,20.85078077230811,21.0
2537,1.0,0.0,1.0,0.515,0.4,0.16,0.8175,0.2515,0.156,0.3,23.638856948003003,23.0
2627,1.0,0.0,1.0,0.57,0.405,0.16,0.9245,0.3445,0.2185,0.295,20.083444410725768,19.0
2648,1.0,0.0,0.0,0.32,0.245,0.08,0.1585,0.0635,0.0325,0.05,13.349782852669705,13.0
2664,1.0,1.0,0.0,0.465,0.35,0.13,0.494,0.1945,0.103,0.155,17.51419960380039,18.0
2756,1.0,0.0,0.0,0.49,0.385,0.115,0.6829999999999999,0.3265,0.1615,0.165,13.443410142148068,13.0
3162,1.0,1.0,0.0,0.585,0.45,0.17,0.8685,0.3325,0.1635,0.27,21.592143540592478,22.0
3266,1.0,0.0,1.0,0.425,0.315,0.125,0.3525,0.1135,0.0565,0.13,18.084387704865904,18.0
3755,1.0,1.0,0.0,0.605,0.485,0.165,1.0105,0.435,0.209,0.3,19.92037558178677,19.0
