,Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei,y_pred,y_act
86,1.0,0.58,0.44,0.175,1.073,0.4005,0.2345,0.335,19.136106359869906,19.0
110,1.0,0.64,0.505,0.165,1.4435,0.6145,0.3035,0.39,17.93665818087296,18.0
132,1.0,0.67,0.55,0.17,1.247,0.472,0.2455,0.4,20.95736537817043,21.0
259,1.0,0.53,0.41,0.165,0.8115,0.24,0.16899999999999998,0.24,19.248899036355397,19.0
326,1.0,0.565,0.48,0.175,0.957,0.3885,0.215,0.275,18.070359103725025,18.0
356,1.0,0.495,0.4,0.155,0.6445,0.242,0.1325,0.205,17.059827718229112,17.0
915,1.0,0.455,0.33,0.1,0.3720000000000001,0.358,0.0775,0.11,7.8534684607486405,8.0
1072,1.0,0.48,0.38,0.125,0.523,0.2105,0.1045,0.175,15.139462981089311,15.0
1231,1.0,0.54,0.405,0.155,0.9715,0.3225,0.194,0.29,18.922977755058497,19.0
1257,1.0,0.525,0.425,0.12,0.8665,0.2825,0.17600000000000002,0.29,17.954035843645883,18.0
1318,1.0,0.695,0.57,0.23,1.885,0.8665,0.435,0.5,19.20105155927452,19.0
1386,1.0,0.57,0.435,0.14,0.8085,0.3235,0.183,0.22,15.748359934946947,16.0
1482,1.0,0.495,0.4,0.12,0.6605,0.2605,0.161,0.19,14.646637868491641,15.0
1566,1.0,0.375,0.28,0.1,0.2565,0.1165,0.0585,0.0725,11.909720671288351,12.0
1578,1.0,0.57,0.415,0.13,0.88,0.4275,0.1955,0.238,13.474230908750506,13.0
1596,1.0,0.5,0.375,0.14,0.604,0.242,0.1415,0.179,15.094587354657925,15.0
1665,1.0,0.59,0.485,0.12,0.911,0.39,0.182,0.29,16.177246590015017,16.0
1702,1.0,0.505,0.41,0.135,0.657,0.29100000000000004,0.133,0.195,15.153969013888135,15.0
1792,1.0,0.53,0.43,0.17,0.775,0.35,0.152,0.235,16.845180151236374,17.0
1971,1.0,0.67,0.535,0.185,1.597,0.6275,0.35,0.47,20.74619983417486,21.0
2023,1.0,0.635,0.51,0.155,1.156,0.428,0.289,0.315,17.878376922535228,18.0
2036,1.0,0.57,0.44,0.14,0.9535,0.3785,0.201,0.305,17.141748737665484,17.0
2065,1.0,0.545,0.435,0.165,0.9955,0.3245,0.2665,0.325,18.986003407038822,19.0
2101,1.0,0.59,0.45,0.16,0.9,0.358,0.156,0.315,18.852684526208428,19.0
2123,1.0,0.45,0.345,0.135,0.443,0.1975,0.0875,0.1175,14.068068405891776,14.0
2197,1.0,0.43,0.34,0.0,0.428,0.2065,0.086,0.115,8.449819102305074,8.0
2200,1.0,0.71,0.555,0.175,2.14,1.2455,0.3725,0.434,10.880263748669645,11.0
2311,1.0,0.51,0.415,0.14,0.8185,0.3025,0.2155,0.235,16.001413928335833,16.0
2403,1.0,0.5,0.38,0.155,0.655,0.2405,0.14300000000000002,0.205,16.748077694871096,17.0
2462,1.0,0.35,0.265,0.09,0.1775,0.0575,0.042,0.068,12.20750774082045,12.0
2476,1.0,0.5,0.385,0.155,0.762,0.3795,0.161,0.19,14.122914588143399,14.0
2528,1.0,0.585,0.47,0.17,1.099,0.3975,0.2325,0.358,20.053508967616665,20.0
2670,1.0,0.475,0.35,0.115,0.487,0.194,0.1455,0.125,12.80681787220863,13.0
2697,1.0,0.605,0.475,0.145,1.0185,0.4695,0.225,0.27,15.148771494670358,15.0
2713,1.0,0.525,0.39,0.135,0.6005,0.2265,0.131,0.21,15.981135129651491,16.0
2766,1.0,0.5,0.39,0.13,0.6355,0.2505,0.1635,0.195,14.86389544780215,15.0
2809,1.0,0.545,0.41,0.145,0.873,0.3035,0.196,0.31,18.129179081335067,18.0
2821,1.0,0.39,0.3,0.1,0.265,0.1075,0.06,0.0865,12.584516901300264,13.0
2855,1.0,0.57,0.465,0.125,0.8490000000000001,0.3785,0.1765,0.24,15.109980967593387,15.0
3040,1.0,0.525,0.395,0.165,0.782,0.285,0.1405,0.285,18.90420115131057,19.0
3099,1.0,0.505,0.425,0.14,0.85,0.275,0.1625,0.285,19.001819703077853,19.0
3232,1.0,0.32,0.245,0.075,0.1555,0.0585,0.038,0.049,11.026586234694605,11.0
3427,1.0,0.645,0.485,0.155,1.489,0.5915,0.312,0.38,18.059370777317046,18.0
3479,1.0,0.505,0.41,0.15,0.6345,0.243,0.1335,0.215,16.92971138493137,17.0
