,Constant,female,male,len,dia,hei,w_wei,s_wei,v_wei,sh_wei,y_pred,y_act
43,1.0,0.0,1.0,0.495,0.375,0.115,0.6245,0.282,0.14300000000000002,0.155,6.19630718895416,6.0
143,1.0,0.0,1.0,0.48,0.385,0.145,0.64,0.2925,0.1405,0.1575,6.1028417192522175,6.0
339,1.0,0.0,0.0,0.205,0.155,0.045,0.0495,0.0235,0.011,0.014,2.938217996159537,3.0
409,1.0,0.0,1.0,0.59,0.47,0.16,1.206,0.479,0.2425,0.309,8.031733537437832,8.0
515,1.0,1.0,0.0,0.37,0.275,0.085,0.2405,0.104,0.0535,0.07,4.9514861807704085,5.0
531,1.0,0.0,0.0,0.315,0.235,0.075,0.1285,0.051,0.028,0.0405,4.087416116461059,4.0
610,1.0,1.0,0.0,0.36,0.27,0.09,0.1885,0.0845,0.0385,0.055,4.803676821011189,5.0
718,1.0,0.0,0.0,0.3,0.235,0.08,0.131,0.05,0.0265,0.043,4.056051648274581,4.0
908,1.0,1.0,0.0,0.58,0.48,0.18,1.2495,0.4945,0.27,0.371,8.161253843870243,8.0
918,1.0,1.0,0.0,0.51,0.4,0.125,0.545,0.261,0.115,0.1385,6.244404311809504,6.0
982,1.0,1.0,0.0,0.525,0.44,0.125,0.7115,0.3205,0.159,0.1915,6.911021385917717,7.0
1015,1.0,0.0,1.0,0.7,0.6,0.23,2.003,0.8105,0.4045,0.5755,9.894928451013369,10.0
1091,1.0,0.0,1.0,0.58,0.465,0.15,0.9065,0.371,0.1965,0.29,7.845610411274162,8.0
1259,1.0,0.0,0.0,0.41,0.32,0.095,0.2905,0.141,0.063,0.073,4.947919809850753,5.0
1279,1.0,0.0,0.0,0.47,0.355,0.12,0.3685,0.126,0.0835,0.1365,6.088087521788356,6.0
1295,1.0,0.0,1.0,0.58,0.45,0.155,0.8275,0.321,0.1975,0.2445,7.781703571303826,8.0
1339,1.0,0.0,1.0,0.61,0.48,0.14,1.031,0.4375,0.2615,0.27,7.875945455802507,8.0
1390,1.0,1.0,0.0,0.625,0.49,0.175,1.1075,0.4485,0.2165,0.3595,8.2648516470614,8.0
1411,1.0,0.0,1.0,0.57,0.46,0.17,0.9035,0.4075,0.1935,0.214,7.055044205810496,7.0
1464,1.0,0.0,1.0,0.645,0.505,0.165,1.307,0.4335,0.262,0.52,10.07088581370083,10.0
1505,1.0,1.0,0.0,0.58,0.46,0.18,1.0515,0.4095,0.2595,0.276,7.807893471919628,8.0
1594,1.0,0.0,0.0,0.485,0.38,0.12,0.4725,0.2075,0.1075,0.147,5.943950053086652,6.0
1600,1.0,0.0,1.0,0.18,0.125,0.05,0.023,0.0085,0.0055,0.01,2.993664919166638,3.0
1641,1.0,0.0,1.0,0.5,0.39,0.125,0.5215,0.2485,0.117,0.131,6.19208575792775,6.0
1752,1.0,0.0,0.0,0.42,0.32,0.115,0.376,0.16899999999999998,0.092,0.1,5.037829621785077,5.0
1830,1.0,0.0,1.0,0.575,0.45,0.155,0.948,0.429,0.206,0.259,7.0870247361222125,7.0
1850,1.0,0.0,1.0,0.645,0.52,0.175,1.561,0.7090000000000001,0.3555,0.4,7.8375497512778285,8.0
1916,1.0,1.0,0.0,0.575,0.465,0.195,0.9965,0.417,0.247,0.47,7.957924261772727,8.0
2060,1.0,1.0,0.0,0.575,0.46,0.145,0.9945,0.466,0.229,0.265,6.970208981201486,7.0
2142,1.0,1.0,0.0,0.53,0.42,0.17,0.828,0.41,0.208,0.1505,5.936672448588517,6.0
2336,1.0,0.0,1.0,0.5,0.39,0.135,0.6595,0.3145,0.1535,0.1565,6.080689127409145,6.0
2349,1.0,0.0,1.0,0.635,0.51,0.185,1.308,0.544,0.318,0.377,8.389373423257213,8.0
2498,1.0,1.0,0.0,0.46,0.35,0.115,0.46,0.2025,0.1115,0.1165,5.857493475314177,6.0
2554,1.0,0.0,1.0,0.585,0.465,0.16,0.9555,0.4595,0.236,0.265,6.9596800481880825,7.0
2578,1.0,0.0,1.0,0.485,0.37,0.13,0.526,0.2485,0.105,0.1555,5.999744172689778,6.0
2628,1.0,0.0,1.0,0.635,0.5,0.18,1.154,0.4405,0.2315,0.387,8.816325915360954,9.0
2833,1.0,1.0,0.0,0.645,0.49,0.16,1.144,0.5015,0.289,0.319,7.841784114416195,8.0
2846,1.0,1.0,0.0,0.53,0.395,0.145,0.775,0.308,0.16899999999999998,0.255,6.972763340201533,7.0
2948,1.0,1.0,0.0,0.63,0.475,0.15,1.072,0.433,0.2975,0.315,8.147919215380671,8.0
3154,1.0,1.0,0.0,0.655,0.53,0.165,1.2835,0.583,0.1255,0.4,8.097229124812099,8.0
3250,1.0,0.0,1.0,0.59,0.465,0.14,1.046,0.4695,0.263,0.263,7.33800529509619,7.0
3290,1.0,0.0,1.0,0.49,0.465,0.125,0.5225,0.235,0.13,0.141,7.149587916638378,7.0
3313,1.0,0.0,0.0,0.24,0.175,0.065,0.0665,0.031,0.0135,0.017,3.1711533980799986,3.0
3339,1.0,0.0,1.0,0.54,0.41,0.13,0.56,0.2375,0.1065,0.175,6.90671007034886,7.0
3395,1.0,0.0,1.0,0.605,0.475,0.145,0.884,0.3835,0.1905,0.27,7.739428049518395,8.0
3423,1.0,0.0,1.0,0.62,0.46,0.17,1.127,0.535,0.2635,0.29600000000000004,6.942546514816531,7.0
3438,1.0,0.0,0.0,0.47,0.38,0.125,0.4845,0.211,0.1075,0.142,5.8835835586234415,6.0
3452,1.0,1.0,0.0,0.63,0.5,0.18,1.1965,0.514,0.2325,0.3995,8.109113208020757,8.0
3456,1.0,0.0,1.0,0.665,0.525,0.16,1.3630000000000002,0.629,0.279,0.34,7.867762514068914,8.0
3553,1.0,1.0,0.0,0.605,0.485,0.16,1.2009999999999998,0.417,0.2875,0.38,9.073417375952305,9.0
3566,1.0,0.0,1.0,0.515,0.41,0.14,0.7355,0.3065,0.13699999999999998,0.2,6.854288193061228,7.0
3653,1.0,0.0,1.0,0.48,0.375,0.115,0.6765,0.3205,0.1065,0.17,5.963327452464483,6.0
3670,1.0,0.0,0.0,0.215,0.15,0.055,0.041,0.015,0.009000000000000001,0.0125,2.9332063923515586,3.0
