,Constant,female,male,len,dia,hei,w_wei,s_wei,v_wei,sh_wei,y_pred,y_act
7,1.0,0.0,1.0,0.655,0.55,0.18,1.274,0.586,0.281,0.365,10.1637086353536,10.0
8,1.0,0.0,1.0,0.6,0.47,0.16,1.012,0.441,0.2015,0.305,9.71490564595608,10.0
11,1.0,1.0,0.0,0.64,0.475,0.175,1.1545,0.4865,0.341,0.28800000000000003,9.178123317403584,9.0
14,1.0,0.0,1.0,0.71,0.565,0.2,1.601,0.706,0.321,0.45,10.975559542267533,11.0
16,1.0,1.0,0.0,0.58,0.425,0.15,0.8440000000000001,0.3645,0.185,0.2705,9.164251332086096,9.0
23,1.0,0.0,1.0,0.64,0.53,0.165,1.1895,0.4765,0.3,0.35,10.636260996904555,11.0
28,1.0,0.0,1.0,0.56,0.42,0.15,0.8755,0.44,0.1965,0.2315,7.9730775681154755,8.0
29,1.0,1.0,0.0,0.375,0.295,0.11,0.3005,0.1255,0.0575,0.1035,6.993163826001266,7.0
45,1.0,0.0,0.0,0.55,0.42,0.13,0.636,0.294,0.14400000000000002,0.1755,7.872481747449657,8.0
50,1.0,1.0,0.0,0.62,0.475,0.175,1.0165,0.4355,0.214,0.325,10.028546338497371,10.0
52,1.0,0.0,1.0,0.55,0.405,0.14,0.8025,0.244,0.1635,0.255,10.149185660953535,10.0
55,1.0,0.0,1.0,0.57,0.445,0.15,0.9875,0.504,0.207,0.249,7.994898462303755,8.0
60,1.0,0.0,0.0,0.28,0.22,0.08,0.1315,0.066,0.024,0.03,5.006654152551225,5.0
64,1.0,0.0,0.0,0.48,0.35,0.105,0.635,0.35200000000000004,0.127,0.135,5.927878597547963,6.0
68,1.0,1.0,0.0,0.51,0.385,0.135,0.632,0.282,0.145,0.17,7.970401106483493,8.0
71,1.0,0.0,1.0,0.625,0.455,0.17,1.082,0.4955,0.2345,0.315,9.294388160853737,9.0
73,1.0,0.0,0.0,0.33,0.265,0.09,0.18,0.068,0.036000000000000004,0.06,5.985317779972954,6.0
77,1.0,1.0,0.0,0.645,0.51,0.155,1.129,0.5015,0.24,0.342,9.98970334509604,10.0
79,1.0,0.0,0.0,0.43,0.33,0.095,0.32,0.118,0.065,0.123,7.269680581076649,7.0
82,1.0,1.0,0.0,0.465,0.35,0.11,0.4085,0.165,0.102,0.131,7.763332548076775,8.0
88,1.0,1.0,0.0,0.56,0.44,0.135,0.8025,0.35,0.1615,0.259,9.155577754986469,9.0
90,1.0,0.0,1.0,0.685,0.505,0.19,1.533,0.667,0.4055,0.41,9.841300604483136,10.0
92,1.0,0.0,0.0,0.355,0.28,0.085,0.2905,0.095,0.0395,0.115,6.733502237875243,7.0
95,1.0,0.0,0.0,0.46,0.365,0.115,0.511,0.2365,0.118,0.123,6.878862441759324,7.0
102,1.0,0.0,1.0,0.525,0.4,0.155,0.7070000000000001,0.282,0.1605,0.225,9.040437336375755,9.0
103,1.0,0.0,0.0,0.59,0.445,0.135,0.7715,0.328,0.1745,0.23,8.708377781857505,9.0
109,1.0,0.0,1.0,0.45,0.35,0.13,0.46,0.174,0.111,0.135,7.990760812355174,8.0
112,1.0,0.0,0.0,0.275,0.2,0.065,0.092,0.0385,0.0235,0.027000000000000003,4.890927915784997,5.0
114,1.0,0.0,0.0,0.545,0.43,0.13,0.7595,0.358,0.153,0.2055,7.874684391095821,8.0
116,1.0,0.0,1.0,0.67,0.52,0.175,1.4755,0.6275,0.379,0.374,9.884176495991934,10.0
119,1.0,1.0,0.0,0.57,0.445,0.145,0.8775,0.412,0.217,0.22,8.269120633425405,8.0
125,1.0,0.0,1.0,0.525,0.405,0.13,0.7185,0.3265,0.1975,0.175,7.878623169181109,8.0
126,1.0,0.0,0.0,0.375,0.285,0.09,0.2545,0.119,0.0595,0.0675,5.9526606104433055,6.0
130,1.0,0.0,1.0,0.63,0.5,0.185,1.362,0.5785,0.3125,0.384,10.140909394990363,10.0
142,1.0,1.0,0.0,0.46,0.36,0.115,0.4755,0.2105,0.105,0.16,7.813430159852186,8.0
144,1.0,1.0,0.0,0.65,0.505,0.165,1.357,0.5725,0.281,0.43,10.64020534136371,11.0
164,1.0,1.0,0.0,0.515,0.4,0.125,0.615,0.2865,0.123,0.1765,8.08911436646288,8.0
166,1.0,1.0,0.0,0.63,0.5,0.175,1.1105,0.467,0.268,0.329,10.075818886313982,10.0
170,1.0,1.0,0.0,0.57,0.44,0.19,1.018,0.447,0.207,0.265,9.017457093275322,9.0
172,1.0,1.0,0.0,0.48,0.365,0.135,0.6395,0.2945,0.113,0.175,7.751805289695856,8.0
174,1.0,0.0,1.0,0.32,0.24,0.08,0.18,0.08,0.0385,0.055,5.998190755898852,6.0
179,1.0,0.0,1.0,0.53,0.41,0.14,0.7545,0.3495,0.1715,0.2105,8.269017115149149,8.0
186,1.0,0.0,0.0,0.53,0.43,0.16,0.7245,0.321,0.1275,0.24,8.696914459588548,9.0
190,1.0,1.0,0.0,0.615,0.525,0.155,1.0385,0.4270000000000001,0.2315,0.345,10.622252385673875,11.0
191,1.0,0.0,1.0,0.66,0.525,0.18,1.4780000000000002,0.5815,0.381,0.3720000000000001,10.451952687673181,10.0
192,1.0,0.0,0.0,0.435,0.335,0.11,0.334,0.1355,0.0775,0.0965,6.973317913370706,7.0
195,1.0,0.0,0.0,0.295,0.23,0.08,0.1625,0.065,0.05,0.0385,5.241059803947592,5.0
206,1.0,0.0,0.0,0.295,0.22,0.085,0.1285,0.0585,0.027000000000000003,0.0365,5.205485561577341,5.0
209,1.0,0.0,0.0,0.375,0.28,0.08,0.226,0.105,0.047,0.065,5.942879832135484,6.0
210,1.0,0.0,1.0,0.615,0.495,0.2,1.219,0.564,0.227,0.3885,10.142092341965999,10.0
211,1.0,0.0,0.0,0.505,0.4,0.125,0.5605,0.2255,0.1435,0.17,8.007498566604653,8.0
212,1.0,1.0,0.0,0.58,0.445,0.135,0.95,0.484,0.182,0.2325,7.917128211081882,8.0
220,1.0,0.0,0.0,0.45,0.335,0.095,0.3505,0.1615,0.0625,0.1185,6.947905032704732,7.0
222,1.0,0.0,0.0,0.265,0.21,0.06,0.0965,0.0425,0.022,0.03,4.918554837909435,5.0
223,1.0,1.0,0.0,0.43,0.325,0.12,0.445,0.165,0.0995,0.155,7.844696518897912,8.0
224,1.0,0.0,0.0,0.38,0.285,0.085,0.237,0.115,0.0405,0.07,6.021736463417529,6.0
225,1.0,0.0,1.0,0.72,0.565,0.145,1.187,0.691,0.1945,0.2685,8.246949936801185,8.0
226,1.0,0.0,1.0,0.645,0.505,0.185,1.463,0.5920000000000001,0.3905,0.416,10.421270436855242,10.0
235,1.0,0.0,0.0,0.505,0.355,0.125,0.601,0.25,0.1205,0.185,7.706962635768459,8.0
238,1.0,0.0,1.0,0.64,0.575,0.175,1.4585,0.625,0.266,0.4395,11.248124906411446,11.0
239,1.0,1.0,0.0,0.625,0.475,0.175,1.1435,0.4755,0.2475,0.349,10.125764348485973,10.0
241,1.0,0.0,1.0,0.63,0.47,0.155,1.1325,0.589,0.211,0.287,8.2891599524027,8.0
242,1.0,0.0,1.0,0.615,0.505,0.165,1.167,0.4895,0.2955,0.345,10.073641709378917,10.0
243,1.0,0.0,0.0,0.345,0.255,0.095,0.183,0.075,0.0385,0.06,5.893989365702878,6.0
245,1.0,0.0,1.0,0.52,0.425,0.125,0.79,0.3720000000000001,0.205,0.19,7.837718943810902,8.0
253,1.0,1.0,0.0,0.695,0.56,0.185,1.7715,0.8195,0.331,0.4370000000000001,9.863615249282551,10.0
260,1.0,0.0,0.0,0.3,0.22,0.065,0.1235,0.059,0.026,0.0315,5.05008179967819,5.0
261,1.0,1.0,0.0,0.59,0.455,0.145,1.063,0.5155,0.2445,0.25,8.044996573441377,8.0
262,1.0,0.0,1.0,0.49,0.385,0.125,0.609,0.3065,0.096,0.1775,7.8170337939528896,8.0
274,1.0,0.0,0.0,0.535,0.385,0.18,1.0835,0.4955,0.2295,0.304,7.869356619463727,8.0
278,1.0,1.0,0.0,0.34,0.255,0.085,0.204,0.097,0.021,0.05,6.053068519165423,6.0
280,1.0,1.0,0.0,0.695,0.565,0.19,1.7635,0.7465,0.399,0.4975,11.025108394735952,11.0
282,1.0,0.0,1.0,0.645,0.515,0.24,1.5415,0.471,0.369,0.535,13.66353517799827,13.0
287,1.0,1.0,0.0,0.545,0.415,0.16,0.7715,0.272,0.1455,0.2765,10.052699711052558,10.0
289,1.0,0.0,1.0,0.64,0.515,0.18,1.247,0.5475,0.2925,0.3685,10.153426352548138,10.0
293,1.0,1.0,0.0,0.57,0.45,0.18,0.908,0.4015,0.217,0.255,9.045828958240163,9.0
294,1.0,1.0,0.0,0.575,0.46,0.165,1.124,0.2985,0.1785,0.44,12.880214906735755,13.0
296,1.0,0.0,1.0,0.695,0.58,0.2,1.8995,0.675,0.478,0.5295,12.617583946680769,13.0
304,1.0,1.0,0.0,0.515,0.42,0.135,0.6295,0.2815,0.127,0.215,8.748572936172689,9.0
305,1.0,0.0,0.0,0.375,0.29,0.095,0.2875,0.123,0.0605,0.08,6.205053708622458,6.0
331,1.0,0.0,0.0,0.415,0.325,0.1,0.385,0.16699999999999998,0.08,0.125,6.825076145225613,7.0
332,1.0,1.0,0.0,0.575,0.445,0.14,0.941,0.3845,0.252,0.285,9.25273789568836,9.0
336,1.0,0.0,1.0,0.35,0.265,0.09,0.197,0.073,0.0365,0.077,6.713210469549394,7.0
338,1.0,0.0,1.0,0.31,0.22,0.085,0.146,0.061,0.0365,0.045,5.838155578119632,6.0
346,1.0,0.0,0.0,0.46,0.36,0.105,0.466,0.2225,0.099,0.11,6.741066927254731,7.0
347,1.0,0.0,0.0,0.365,0.27,0.085,0.1875,0.081,0.042,0.058,5.94928249368207,6.0
354,1.0,0.0,0.0,0.195,0.135,0.04,0.0325,0.0135,0.005,0.0095,3.927871187420756,4.0
358,1.0,0.0,1.0,0.46,0.375,0.14,0.5105,0.192,0.1045,0.205,8.906172126926416,9.0
362,1.0,1.0,0.0,0.72,0.55,0.2,1.9965,0.9035,0.469,0.5215,9.977341584401929,10.0
363,1.0,0.0,1.0,0.62,0.49,0.155,1.1,0.505,0.2475,0.31,9.35708972079348,9.0
367,1.0,0.0,0.0,0.355,0.285,0.095,0.2275,0.0955,0.0475,0.0715,6.173621265091178,6.0
368,1.0,0.0,0.0,0.405,0.285,0.09,0.2645,0.1265,0.0505,0.075,6.102140393202639,6.0
373,1.0,0.0,0.0,0.45,0.335,0.115,0.3935,0.195,0.071,0.11,6.711786352564752,7.0
380,1.0,0.0,1.0,0.705,0.56,0.22,1.981,0.8175,0.3085,0.76,13.892941679595102,14.0
391,1.0,0.0,0.0,0.2,0.155,0.04,0.0435,0.0155,0.009000000000000001,0.006999999999999999,4.096093839093612,4.0
398,1.0,0.0,1.0,0.63,0.47,0.145,1.1005,0.52,0.26,0.276,8.641513315717216,9.0
399,1.0,1.0,0.0,0.65,0.545,0.185,1.5055,0.6565,0.341,0.43,10.414034100177147,10.0
401,1.0,0.0,1.0,0.43,0.335,0.115,0.406,0.166,0.0935,0.135,7.6760278571399985,8.0
402,1.0,0.0,1.0,0.48,0.375,0.145,0.777,0.21600000000000005,0.13,0.17,9.317141374241716,9.0
405,1.0,0.0,0.0,0.475,0.35,0.12,0.4905,0.2035,0.13,0.135,7.197558107141556,7.0
413,1.0,0.0,0.0,0.42,0.325,0.11,0.325,0.1245,0.0755,0.1025,6.994970359419547,7.0
415,1.0,0.0,0.0,0.575,0.445,0.17,0.8015,0.3475,0.1465,0.25,9.015815633187636,9.0
419,1.0,0.0,1.0,0.57,0.45,0.14,0.795,0.3385,0.14800000000000002,0.245,9.424340893487518,9.0
423,1.0,0.0,1.0,0.59,0.48,0.16,1.262,0.5685,0.2725,0.335,9.17597018283376,9.0
425,1.0,0.0,1.0,0.585,0.49,0.185,1.171,0.522,0.2535,0.335,9.663696197793401,10.0
428,1.0,0.0,0.0,0.54,0.42,0.14,0.6275,0.2505,0.1175,0.235,9.003678250217309,9.0
430,1.0,1.0,0.0,0.615,0.475,0.155,1.027,0.447,0.25,0.285,9.314034161504253,9.0
437,1.0,0.0,0.0,0.465,0.37,0.115,0.534,0.261,0.098,0.14300000000000002,6.989074887170348,7.0
440,1.0,0.0,0.0,0.395,0.29,0.095,0.304,0.127,0.084,0.077,6.165455570721708,6.0
446,1.0,0.0,1.0,0.5,0.4,0.13,0.7715,0.37,0.16,0.211,7.901713460007208,8.0
447,1.0,0.0,0.0,0.465,0.37,0.1,0.5055,0.234,0.11,0.14,7.0470082766697555,7.0
451,1.0,0.0,0.0,0.575,0.45,0.125,0.78,0.3275,0.188,0.235,8.67549634903659,9.0
454,1.0,1.0,0.0,0.55,0.44,0.125,0.765,0.33,0.2125,0.245,8.837091432064023,9.0
456,1.0,0.0,0.0,0.345,0.275,0.095,0.1995,0.0755,0.0535,0.07,6.14913917367958,6.0
458,1.0,0.0,0.0,0.35,0.265,0.08,0.192,0.081,0.0465,0.053,5.785327155309478,6.0
465,1.0,0.0,1.0,0.55,0.435,0.11,0.8059999999999999,0.3415,0.203,0.215,8.591556282314627,9.0
466,1.0,1.0,0.0,0.56,0.43,0.145,0.898,0.3895,0.2325,0.245,8.608345874373175,9.0
476,1.0,1.0,0.0,0.605,0.49,0.15,1.1345,0.4305,0.2525,0.35,10.543739555316527,10.0
477,1.0,1.0,0.0,0.58,0.435,0.15,0.8340000000000001,0.428,0.1515,0.23,8.238602656420845,8.0
487,1.0,0.0,0.0,0.53,0.42,0.13,0.6579999999999999,0.29600000000000004,0.1245,0.198,8.140758611495759,8.0
