,Constant,female,male,len,dia,hei,w_wei,s_wei,v_wei,sh_wei,y_pred,y_act
3,1.0,1.0,0.0,0.555,0.405,0.12,0.913,0.4585,0.196,0.2065,8.939876840976297,9.0
10,1.0,1.0,0.0,0.49,0.39,0.135,0.59,0.215,0.125,0.1845,12.135260257257464,12.0
18,1.0,0.0,1.0,0.62,0.49,0.17,1.2105,0.5185,0.2555,0.335,13.096044871035005,13.0
25,1.0,0.0,0.0,0.405,0.31,0.095,0.3425,0.1785,0.064,0.0855,7.626054073015319,8.0
31,1.0,1.0,0.0,0.655,0.53,0.19,1.4280000000000002,0.493,0.318,0.565,18.33982539547536,18.0
33,1.0,0.0,1.0,0.63,0.48,0.145,1.0115,0.4235,0.237,0.305,12.30346909855571,12.0
38,1.0,0.0,0.0,0.56,0.445,0.165,1.0285,0.4535,0.253,0.275,10.694874493156467,11.0
44,1.0,1.0,0.0,0.505,0.38,0.135,0.6855,0.361,0.1565,0.161,9.096073391259536,9.0
53,1.0,0.0,1.0,0.625,0.495,0.185,1.3835,0.7105,0.3005,0.345,10.587827035573095,11.0
59,1.0,0.0,1.0,0.69,0.525,0.2,1.7825,0.9165,0.3325,0.461,11.455582007186251,12.0
61,1.0,1.0,0.0,0.685,0.54,0.16,1.6675,0.833,0.3775,0.475,10.829092748523209,11.0
76,1.0,0.0,1.0,0.615,0.47,0.145,1.0285,0.4435,0.2825,0.285,11.13855376913746,11.0
78,1.0,0.0,0.0,0.17,0.125,0.055,0.0235,0.009000000000000001,0.0055,0.008,5.901718658093805,6.0
93,1.0,0.0,0.0,0.375,0.28,0.085,0.3155,0.187,0.046,0.067,6.755076286425566,7.0
108,1.0,0.0,1.0,0.585,0.45,0.15,0.997,0.4055,0.28300000000000003,0.251,11.285582796512317,11.0
113,1.0,1.0,0.0,0.605,0.45,0.195,1.098,0.481,0.2895,0.315,12.41367192120368,13.0
123,1.0,0.0,1.0,0.59,0.475,0.155,0.857,0.35600000000000004,0.174,0.28,13.139843080075492,13.0
124,1.0,1.0,0.0,0.705,0.555,0.2,1.4685,0.4715,0.3235,0.52,18.993277027644048,19.0
129,1.0,1.0,0.0,0.585,0.415,0.155,0.6985,0.3,0.146,0.195,11.672741522134551,12.0
145,1.0,0.0,1.0,0.43,0.345,0.115,0.3045,0.0925,0.055,0.12,11.350136888546624,11.0
148,1.0,1.0,0.0,0.61,0.475,0.15,1.1135,0.5195,0.2575,0.3005,11.112336295330532,11.0
157,1.0,0.0,1.0,0.46,0.36,0.135,0.6105,0.1955,0.107,0.235,13.307598490552177,14.0
159,1.0,0.0,1.0,0.425,0.305,0.11,0.359,0.173,0.0875,0.0975,8.944685489309332,9.0
160,1.0,0.0,1.0,0.495,0.38,0.135,0.6295,0.263,0.1425,0.215,11.417754749624576,12.0
167,1.0,0.0,0.0,0.32,0.24,0.075,0.1735,0.076,0.0355,0.05,7.201009705917662,7.0
171,1.0,0.0,1.0,0.465,0.35,0.12,0.5205,0.2015,0.1625,0.185,10.453673101107366,11.0
180,1.0,0.0,1.0,0.455,0.345,0.15,0.5795,0.1685,0.125,0.215,13.357393752569713,13.0
183,1.0,1.0,0.0,0.68,0.58,0.2,1.787,0.585,0.453,0.6,19.157816683027704,19.0
194,1.0,1.0,0.0,0.505,0.385,0.135,0.6185,0.251,0.1175,0.2,11.81879428605997,12.0
199,1.0,1.0,0.0,0.58,0.455,0.12,0.94,0.399,0.257,0.265,10.717645539888895,11.0
200,1.0,0.0,1.0,0.565,0.43,0.15,0.831,0.4245,0.1735,0.219,10.233130197693775,10.0
203,1.0,1.0,0.0,0.44,0.34,0.1,0.451,0.188,0.087,0.13,10.011500782992671,10.0
229,1.0,1.0,0.0,0.56,0.445,0.155,1.224,0.5565,0.3225,0.2695,10.16832859900675,10.0
230,1.0,0.0,0.0,0.485,0.365,0.09,0.6509999999999999,0.3165,0.132,0.18,8.01269854746677,8.0
244,1.0,1.0,0.0,0.74,0.575,0.22,2.012,0.8915,0.5265,0.471,12.632386690976007,12.0
246,1.0,1.0,0.0,0.385,0.305,0.125,0.314,0.146,0.0555,0.08,9.888929746630772,10.0
247,1.0,0.0,0.0,0.385,0.28,0.1,0.2755,0.1305,0.061,0.0725,7.776536767441312,8.0
250,1.0,1.0,0.0,0.575,0.45,0.16,1.068,0.556,0.214,0.2575,10.11185445759936,10.0
251,1.0,0.0,0.0,0.38,0.27,0.08,0.2105,0.0865,0.042,0.07,7.714501893208595,8.0
256,1.0,0.0,1.0,0.555,0.44,0.15,1.092,0.416,0.212,0.4405,15.067889483305251,15.0
269,1.0,0.0,0.0,0.46,0.35,0.1,0.471,0.252,0.077,0.123,7.917183600908402,8.0
270,1.0,0.0,0.0,0.36,0.27,0.095,0.2,0.073,0.056,0.061,8.054305816965208,8.0
