,Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei,y_pred,y_act
21,1.0,0.495,0.37,0.125,0.4775,0.185,0.0705,0.16899999999999998,17.46741933692036,18.0
155,1.0,0.5,0.4,0.165,0.7105,0.27,0.1455,0.225,20.730701623237774,20.0
162,1.0,0.53,0.42,0.185,0.752,0.299,0.156,0.205,20.762933787857406,20.0
198,1.0,0.49,0.36,0.11,0.5005,0.161,0.107,0.195,17.057989521801357,17.0
264,1.0,0.52,0.39,0.14,0.7325,0.2415,0.14400000000000002,0.26,20.302919064030014,19.0
432,1.0,0.455,0.365,0.095,0.514,0.2245,0.101,0.15,15.144684789739703,15.0
448,1.0,0.71,0.57,0.195,1.348,0.8985,0.4435,0.4535,10.432334978707804,11.0
460,1.0,0.705,0.57,0.18,1.5345,0.96,0.4195,0.43,10.900898498651088,12.0
474,1.0,0.58,0.46,0.15,0.9955,0.429,0.212,0.26,18.44069420543366,19.0
483,1.0,0.7,0.585,0.185,1.8075,0.7055,0.3215,0.475,26.94422464475049,29.0
496,1.0,0.45,0.38,0.165,0.8165,0.25,0.1915,0.265,23.21685457138791,23.0
571,1.0,0.61,0.49,0.15,1.103,0.425,0.2025,0.36,22.66914914455778,23.0
750,1.0,0.455,0.35,0.125,0.4485,0.1585,0.102,0.1335,16.728618528377492,16.0
776,1.0,0.515,0.4,0.14,0.7365,0.2955,0.184,0.185,16.826154535001905,16.0
786,1.0,0.48,0.37,0.13,0.5885,0.2475,0.1505,0.1595,15.739268167942047,15.0
800,1.0,0.5,0.38,0.155,0.66,0.2655,0.1365,0.215,18.807796296070563,19.0
882,1.0,0.45,0.35,0.14,0.474,0.21,0.109,0.1275,16.212450752657176,16.0
885,1.0,0.68,0.55,0.175,1.798,0.815,0.3925,0.455,19.990627527192363,19.0
935,1.0,0.52,0.4,0.12,0.6515,0.261,0.2015,0.165,14.55605716751861,15.0
1193,1.0,0.395,0.28,0.08,0.266,0.0995,0.066,0.09,12.472595344138313,12.0
1247,1.0,0.395,0.315,0.105,0.3515,0.1185,0.091,0.1195,15.852019264100115,16.0
1271,1.0,0.525,0.41,0.175,0.8740000000000001,0.3585,0.207,0.205,18.718894449220038,18.0
1316,1.0,0.565,0.45,0.115,0.9085,0.398,0.197,0.29,17.274261547785688,17.0
1328,1.0,0.5,0.385,0.105,0.498,0.1795,0.1095,0.17,16.377480531596188,17.0
1364,1.0,0.31,0.235,0.06,0.12,0.0415,0.033,0.04,11.62043011247804,11.0
1388,1.0,0.49,0.385,0.15,0.7865,0.241,0.14,0.24,22.06653481477146,23.0
1508,1.0,0.49,0.39,0.15,0.573,0.225,0.124,0.17,18.61834737129608,21.0
1710,1.0,0.6,0.47,0.155,1.036,0.4375,0.196,0.325,20.529298038871666,20.0
1722,1.0,0.35,0.255,0.085,0.2145,0.1,0.0465,0.06,12.221480757728006,13.0
1901,1.0,0.54,0.435,0.145,0.97,0.4285,0.22,0.264,17.892228133953626,17.0
2061,1.0,0.43,0.33,0.095,0.34,0.1315,0.085,0.112,14.322665632490978,14.0
2081,1.0,0.63,0.5,0.17,1.3135,0.5595,0.267,0.4,21.759607257214608,20.0
2110,1.0,0.635,0.495,0.015,1.1565,0.5115,0.308,0.2885,9.20274015936865,9.0
2200,1.0,0.71,0.555,0.175,2.14,1.2455,0.3725,0.434,11.652926586442508,11.0
2224,1.0,0.45,0.355,0.12,0.412,0.1145,0.0665,0.16,19.02433551707407,19.0
2245,1.0,0.6,0.495,0.195,1.0575,0.384,0.19,0.375,26.679839815602367,26.0
2289,1.0,0.53,0.415,0.145,0.944,0.3845,0.185,0.265,19.217031978704668,21.0
2331,1.0,0.53,0.415,0.13,0.8425,0.275,0.1945,0.265,19.942437080643188,20.0
2418,1.0,0.49,0.365,0.13,0.6835,0.165,0.1315,0.205,20.46752124588963,21.0
2537,1.0,0.515,0.4,0.16,0.8175,0.2515,0.156,0.3,23.347580326134572,23.0
2627,1.0,0.57,0.405,0.16,0.9245,0.3445,0.2185,0.295,18.98397033327125,19.0
2648,1.0,0.32,0.245,0.08,0.1585,0.0635,0.0325,0.05,12.889989556274054,13.0
2664,1.0,0.465,0.35,0.13,0.494,0.1945,0.103,0.155,16.681731133720362,18.0
2904,1.0,0.665,0.525,0.165,1.338,0.5515,0.3575,0.35,18.751468496062735,18.0
2936,1.0,0.545,0.42,0.14,0.7505,0.2475,0.13,0.255,21.11774652026155,22.0
3162,1.0,0.585,0.45,0.17,0.8685,0.3325,0.1635,0.27,21.339795497197095,22.0
3266,1.0,0.425,0.315,0.125,0.3525,0.1135,0.0565,0.13,17.223708145415902,18.0
3333,1.0,0.385,0.305,0.095,0.252,0.0915,0.055,0.09,14.900055317118488,14.0
3729,1.0,0.565,0.455,0.15,0.8205,0.365,0.159,0.26,19.361577364621763,18.0
3755,1.0,0.605,0.485,0.165,1.0105,0.435,0.209,0.3,20.38474804673243,19.0
