,Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei,y_pred,y_act
136,1.0,0.505,0.395,0.145,0.6515,0.2695,0.153,0.205,14.789748987729798,15.0
181,1.0,0.6,0.475,0.15,1.0075,0.4425,0.221,0.28,15.127369944558069,15.0
193,1.0,0.43,0.325,0.11,0.3675,0.1355,0.0935,0.12,12.746753327444067,13.0
325,1.0,0.465,0.375,0.135,0.6,0.2225,0.129,0.23,15.98035201715604,16.0
350,1.0,0.575,0.45,0.16,0.955,0.44,0.1685,0.27,15.62713105536998,16.0
450,1.0,0.62,0.47,0.2,1.2255,0.381,0.27,0.435,22.72621163129399,23.0
511,1.0,0.74,0.535,0.185,1.65,0.7340000000000001,0.4505,0.335,12.886537340290316,13.0
577,1.0,0.525,0.41,0.13,0.99,0.3865,0.243,0.295,15.195605495141647,15.0
615,1.0,0.35,0.255,0.065,0.179,0.0705,0.0385,0.06,10.120136156242339,10.0
625,1.0,0.61,0.485,0.165,1.0915,0.3935,0.2435,0.33,18.437372532429414,18.0
661,1.0,0.635,0.48,0.145,1.181,0.665,0.229,0.225,9.960514668439997,10.0
667,1.0,0.53,0.425,0.17,0.949,0.3485,0.2395,0.278,17.165184962166933,17.0
695,1.0,0.48,0.37,0.12,0.514,0.2075,0.131,0.155,13.149276348274357,13.0
736,1.0,0.61,0.49,0.17,1.1775,0.5655,0.2385,0.295,14.883598248799885,15.0
761,1.0,0.605,0.49,0.18,1.227,0.48,0.287,0.35,18.13145680944198,18.0
765,1.0,0.72,0.55,0.205,2.125,1.1455,0.4425,0.511,12.675986444329208,13.0
849,1.0,0.475,0.365,0.14,0.6175,0.202,0.1445,0.19,15.61591562628672,16.0
888,1.0,0.575,0.45,0.1,0.9315,0.431,0.222,0.235,11.636203133812714,12.0
955,1.0,0.6,0.5,0.16,1.015,0.3995,0.1735,0.33,18.829887448581033,19.0
958,1.0,0.44,0.345,0.1,0.366,0.122,0.0905,0.12,12.935024956628968,13.0
1038,1.0,0.49,0.39,0.14,0.7070000000000001,0.2795,0.2185,0.18,13.422471787277255,13.0
1041,1.0,0.595,0.455,0.195,1.3305,0.4595,0.3235,0.345,19.21815789409612,19.0
1081,1.0,0.45,0.35,0.145,0.525,0.2085,0.1,0.1655,14.987075264049256,15.0
1095,1.0,0.61,0.48,0.15,1.2,0.56,0.2455,0.28,13.94344466503202,14.0
1185,1.0,0.465,0.35,0.14,0.5755,0.2015,0.1505,0.19,14.910186607224905,15.0
1187,1.0,0.57,0.45,0.17,1.098,0.414,0.187,0.405,20.46312689957189,20.0
1237,1.0,0.69,0.54,0.185,1.6195,0.5329999999999999,0.353,0.555,23.89439983986241,24.0
1278,1.0,0.55,0.44,0.15,0.8945,0.3145,0.151,0.32,18.993691862617986,19.0
1437,1.0,0.58,0.43,0.125,0.9115,0.446,0.2075,0.121,9.843063625298681,10.0
1444,1.0,0.435,0.33,0.125,0.406,0.1685,0.1055,0.096,12.325867429981692,12.0
1467,1.0,0.465,0.355,0.125,0.5255,0.2025,0.135,0.145,13.272576679612897,13.0
1511,1.0,0.48,0.38,0.135,0.528,0.2,0.1395,0.16,14.173145638150721,14.0
1601,1.0,0.565,0.425,0.16,0.9425,0.3495,0.2185,0.275,16.628757830978834,17.0
1612,1.0,0.5,0.375,0.13,0.721,0.3055,0.1725,0.22,13.76613136583853,14.0
1656,1.0,0.57,0.45,0.175,0.9555,0.38,0.1665,0.295,18.249680844654222,18.0
1706,1.0,0.65,0.515,0.16,1.1625,0.495,0.203,0.33,17.31351323156806,17.0
1735,1.0,0.56,0.44,0.14,0.971,0.443,0.2045,0.265,14.21587600582762,14.0
1736,1.0,0.605,0.47,0.115,1.114,0.3925,0.29100000000000004,0.31,15.364748191967262,15.0
1779,1.0,0.52,0.405,0.14,0.8175,0.2795,0.183,0.26,16.69621613094534,17.0
1826,1.0,0.435,0.35,0.11,0.384,0.14300000000000002,0.1005,0.125,13.050324925749917,13.0
1840,1.0,0.655,0.515,0.145,1.25,0.5265,0.28300000000000003,0.315,15.171138282513411,15.0
1937,1.0,0.55,0.465,0.18,1.2125,0.3245,0.205,0.525,26.681486836956534,27.0
2114,1.0,0.59,0.455,0.155,1.0659999999999998,0.382,0.2275,0.415,19.61496245008717,20.0
2178,1.0,0.45,0.35,0.135,0.56,0.231,0.13699999999999998,0.145,13.396474679991913,13.0
2211,1.0,0.44,0.33,0.135,0.522,0.17,0.0905,0.195,16.019685148561003,16.0
2310,1.0,0.62,0.52,0.225,1.1835,0.378,0.27,0.395,23.351286461474842,23.0
2334,1.0,0.62,0.48,0.165,1.0125,0.5325,0.4365,0.324,10.27894094837214,10.0
2352,1.0,0.565,0.435,0.185,1.032,0.354,0.2045,0.31,19.56224792669335,20.0
2355,1.0,0.66,0.51,0.165,1.6375,0.7685,0.3545,0.3925,14.357715553594172,14.0
2364,1.0,0.625,0.42,0.165,1.0595,0.358,0.165,0.445,21.283334587107092,21.0
