,Constant,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,y_pred,y_act
15,1.0,0.04666,80.0,1.52,0,0.404,7.107,36.6,7.309,2,329,12.6,354.31,8.61,29.791116920826624,30.3
18,1.0,0.82526,20.0,3.97,0,0.647,7.327000000000001,94.5,2.0788,5,264,13.0,393.42,11.25,31.30070907527106,31.0
35,1.0,0.1676,0.0,7.38,0,0.493,6.426,52.3,4.5404,5,287,19.6,396.9,7.2,23.902703192939846,23.8
37,1.0,0.26838,0.0,9.69,0,0.585,5.794,70.6,2.8927,6,391,19.2,396.9,14.1,18.23584545653596,18.3
47,1.0,3.69311,0.0,18.1,0,0.713,6.376,88.4,2.5671,24,666,20.2,391.43,14.65,17.53776300511526,17.7
49,1.0,0.34006,0.0,21.89,0,0.624,6.457999999999998,98.9,2.1185,4,437,21.2,395.04,12.6,18.822247094902664,19.2
58,1.0,0.06127000000000001,40.0,6.41,1,0.447,6.8260000000000005,27.6,4.8628,4,254,17.6,393.45,4.16,32.92835197580847,33.1
68,1.0,0.05561,70.0,2.24,0,0.4,7.041,10.0,7.8278,5,358,14.8,371.58,4.74,29.54894096559071,29.0
71,1.0,6.39312,0.0,18.1,0,0.584,6.162000000000001,97.4,2.206,24,666,20.2,302.76,24.1,13.320164021683674,13.3
90,1.0,9.96654,0.0,18.1,0,0.74,6.485,100.0,1.9784,24,666,20.2,386.73,18.85,15.292606969571285,15.4
116,1.0,5.09017,0.0,18.1,0,0.713,6.2970000000000015,91.8,2.3682,24,666,20.2,385.09,17.27,15.994921180618654,16.1
119,1.0,0.09604,40.0,6.41,0,0.447,6.854,42.8,4.2673,4,254,17.6,396.9,2.98,32.14511502549641,32.0
120,1.0,9.18702,0.0,18.1,0,0.7,5.5360000000000005,100.0,1.5804,24,666,20.2,396.9,23.6,11.317290653116096,11.3
129,1.0,0.1396,0.0,8.56,0,0.52,6.167000000000002,90.0,2.421,5,384,20.9,392.69,12.33,20.318179854950767,20.1
130,1.0,0.1029,30.0,4.93,0,0.428,6.358,52.9,7.0355,6,300,16.6,372.75,11.22,22.48581308532172,22.2
133,1.0,0.10469,40.0,6.41,1,0.447,7.267,49.0,4.7872,4,254,17.6,389.25,6.05,33.171858693608925,33.2
137,1.0,0.04011,80.0,1.52,0,0.404,7.287000000000001,34.1,7.309,2,329,12.6,396.9,4.08,33.03111358374942,33.3
147,1.0,0.07503,33.0,2.18,0,0.472,7.42,71.9,3.0992,7,222,18.4,396.9,6.47,33.39556245268153,33.4
163,1.0,4.812130000000002,0.0,18.1,0,0.713,6.7010000000000005,90.0,2.5975,24,666,20.2,255.23,16.42,16.304936669796838,16.4
166,1.0,0.12329,0.0,10.01,0,0.547,5.9129999999999985,92.9,2.3534,6,432,17.8,394.95,16.21,19.00024265570938,18.8
172,1.0,0.44791,0.0,6.2,1,0.507,6.726,66.5,3.6519,8,307,17.4,360.2,8.05,29.19978933058212,29.0
175,1.0,2.3004,0.0,19.58,0,0.605,6.319,96.1,2.1,5,403,14.7,297.09,11.1,23.85898939978159,23.8
197,1.0,5.7081800000000005,0.0,18.1,0,0.532,6.75,74.9,3.3317,24,666,20.2,393.07,7.74,23.668073041835065,23.7
200,1.0,1.4250200000000002,0.0,19.58,0,0.871,6.51,100.0,1.7659,5,403,14.7,364.31,7.39,23.549958272928766,23.3
202,1.0,4.87141,0.0,18.1,0,0.614,6.484,93.6,2.3053,24,666,20.2,396.21,18.68,17.467332228271708,16.7
205,1.0,6.96215,0.0,18.1,0,0.7,5.712999999999999,97.0,1.9265,24,666,20.2,394.43,17.11,14.95461806793221,15.1
217,1.0,0.32543,0.0,21.89,0,0.624,6.431,98.8,1.8125,4,437,21.2,396.9,15.39,17.758092890455003,18.0
232,1.0,15.8603,0.0,18.1,0,0.679,5.896,95.4,1.9096,24,666,20.2,7.68,24.39,7.919616724157452,8.3
237,1.0,0.17783,0.0,9.69,0,0.585,5.569,73.5,2.3999,6,391,19.2,395.77,15.1,17.719732857344496,17.5
240,1.0,88.9762,0.0,18.1,0,0.6709999999999999,6.968,91.9,1.4165,24,666,20.2,396.9,17.21,10.495087053800413,10.4
249,1.0,23.6482,0.0,18.1,0,0.6709999999999999,6.38,96.2,1.3861,24,666,20.2,396.9,23.69,12.883322603727695,13.1
260,1.0,5.82115,0.0,18.1,0,0.713,6.513,89.9,2.8016,24,666,20.2,393.82,10.29,19.621922812701715,20.2
261,1.0,22.0511,0.0,18.1,0,0.74,5.818,92.4,1.8662,24,666,20.2,391.45,22.11,10.488885618774233,10.5
291,1.0,5.73116,0.0,18.1,0,0.532,7.061,77.0,3.4106,24,666,20.2,395.28,7.01,24.86469360750627,25.0
292,1.0,6.71772,0.0,18.1,0,0.713,6.749,92.6,2.3236,24,666,20.2,0.32,17.44,13.984240544165353,13.4
315,1.0,0.12579,45.0,3.44,0,0.4370000000000001,6.556,29.1,4.5667,5,398,15.2,382.84,4.56,30.056456205386475,29.8
344,1.0,4.75237,0.0,18.1,0,0.713,6.525,86.5,2.4358,24,666,20.2,50.92,18.13,13.487832869674598,14.1
351,1.0,6.2880699999999985,0.0,18.1,0,0.74,6.341,96.4,2.072,24,666,20.2,318.01,17.79,15.160051624655994,14.9
353,1.0,5.58107,0.0,18.1,0,0.713,6.436,87.9,2.3158,24,666,20.2,100.19,16.22,14.668770209034099,14.3
356,1.0,4.03841,0.0,18.1,0,0.532,6.229,90.7,3.0993,24,666,20.2,395.33,12.87,19.871443560648775,19.6
378,1.0,0.33045,0.0,6.2,0,0.507,6.086,61.5,3.6519,8,307,17.4,376.75,10.88,23.797674760337554,24.0
384,1.0,0.40771,0.0,6.2,1,0.507,6.164,91.3,3.048,8,307,17.4,395.24,21.46,21.55715955803418,21.7
396,1.0,2.24236,0.0,19.58,0,0.605,5.854,91.8,2.422,5,403,14.7,395.11,11.64,22.573089892532703,22.7
398,1.0,0.40202,0.0,9.9,0,0.544,6.3820000000000014,67.2,3.5325,4,304,18.4,395.21,10.36,23.035806361381262,23.1
405,1.0,11.0874,0.0,18.1,0,0.718,6.4110000000000005,100.0,1.8589,24,666,20.2,318.75,15.02,16.843261439111068,16.7
408,1.0,0.21161,0.0,8.56,0,0.52,6.1370000000000005,87.4,2.7147,5,384,20.9,394.47,13.44,19.26985205635943,19.3
416,1.0,0.05059,0.0,4.49,0,0.449,6.3889999999999985,48.0,4.7794,3,247,18.5,396.9,9.62,23.737205679098295,23.9
425,1.0,0.05735,0.0,4.49,0,0.449,6.63,56.1,4.4377,3,247,18.5,392.3,6.53,26.42744581366883,26.6
433,1.0,0.06642,0.0,4.05,0,0.51,6.86,74.4,2.9153,5,296,16.6,391.27,6.92,29.119565371833872,29.9
445,1.0,7.75223,0.0,18.1,0,0.713,6.301,83.7,2.7831,24,666,20.2,272.21,16.23,14.792194604854817,14.9
447,1.0,0.3692,0.0,9.9,0,0.544,6.567,87.3,3.6023,4,304,18.4,395.69,9.28,23.887981179041702,23.8
