,Unnamed: 0,Fuel,T(K),T_Error(%),P(atm),P_Error(%),Fuel(%),Oxidizer(%),Diluant(%),Equv(phi),Diluant Type,Time(μs),Mode_of_measurement,Species_name,Species_measurement_Error,Measured_wavelength(nm),Shocktube_dia(cm),Research_group,Data_Source,Primary_C,Secondary_C,Tertiary_C,Quaternary_C,Other_Atom,P_P,P_S,P_T,P_Q,S_S,S_T,S_Q,T_T,T_Q,Q_Q,P_H,S_H,T_H,label
0,0,CCCCCCCC,1325,±0.7,1.95,±1,0.32,4.0,95.68,1.0,Ar,859,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,2,6,,,,0,2,0,0,5,0,0,0,0,0,6,12,0,5
1,1,CCCCCCCC,1265,±0.7,2.05,±1,0.32,4.0,95.68,1.0,Ar,1569,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,2,6,,,,0,2,0,0,5,0,0,0,0,0,6,12,0,5
2,2,CCCCCCCC,1289,±0.7,2.01,±1,0.32,4.0,95.68,1.0,Ar,1198,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,2,6,,,,0,2,0,0,5,0,0,0,0,0,6,12,0,5
3,3,CCCCCCCC,1385,±0.7,1.96,±1,0.32,4.0,95.68,1.0,Ar,390,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,2,6,,,,0,2,0,0,5,0,0,0,0,0,6,12,0,5
4,4,CCCCCCCC,1455,±0.7,1.87,±1,0.32,4.0,95.68,1.0,Ar,166,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,2,6,,,,0,2,0,0,5,0,0,0,0,0,6,12,0,5
5,5,CCCCCCCC,1282,±0.7,3.37,±1,0.32,4.0,95.68,1.0,Ar,1020,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,2,6,,,,0,2,0,0,5,0,0,0,0,0,6,12,0,5
6,6,CCCCCCCC,1421,±0.7,3.59,±1,0.32,4.0,95.68,1.0,Ar,210,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,2,6,,,,0,2,0,0,5,0,0,0,0,0,6,12,0,5
7,7,CCCCCCCC,1384,±0.7,3.63,±1,0.32,4.0,95.68,1.0,Ar,285,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,2,6,,,,0,2,0,0,5,0,0,0,0,0,6,12,0,5
8,8,CCCCCCCC,1319,±0.7,3.75,±1,0.32,4.0,95.68,1.0,Ar,614,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,2,6,,,,0,2,0,0,5,0,0,0,0,0,6,12,0,5
9,9,CCCCCCCC,1273,±0.7,3.81,±1,0.32,4.0,95.68,1.0,Ar,1064,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,2,6,,,,0,2,0,0,5,0,0,0,0,0,6,12,0,5
10,10,CCCCCCCC,1434,±0.7,1.91,±1,0.16,4.0,95.84,0.5,Ar,104,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,2,6,,,,0,2,0,0,5,0,0,0,0,0,6,12,0,5
11,11,CCCCCCCC,1307,±0.7,1.98,±1,0.16,4.0,95.84,0.5,Ar,663,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,2,6,,,,0,2,0,0,5,0,0,0,0,0,6,12,0,5
12,12,CCCCCCCC,1273,±0.7,2.07,±1,0.16,4.0,95.84,0.5,Ar,988,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,2,6,,,,0,2,0,0,5,0,0,0,0,0,6,12,0,5
13,13,CCCCCCCC,1252,±0.7,2.19,±1,0.16,4.0,95.84,0.5,Ar,1269,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,2,6,,,,0,2,0,0,5,0,0,0,0,0,6,12,0,5
