Constant,log_P(atm),log_Fuel(%),log_Oxidizer(%),T0/S_H__T,T0/T,Training_R2,Testing_R2
-2.3717,-0.7315,-0.3432,-0.1435,3.0574,12.3323,0.9374417970645088,0.9070154499819196
-2.0326,-0.7125,-0.2835,-0.1995,1.7599,12.1804,0.924303040102158,0.9417390106547604
-2.1701,-0.7114,-0.2891,-0.1709,1.9892,12.3045,0.9099717865951288,0.9732164699973204
-1.4561,-0.6702,-0.3617,-0.08,2.8812,10.9348,0.9209612712052924,0.8070285374979673
-2.5399,-0.7279,-0.3162,-0.1835,2.8243,12.6785,0.9406036007820132,0.3112479462827078
-2.7709,-0.7586,-0.3115,-0.1854,2.9529,13.0301,0.930769244647469,0.9444591371544816
-2.194,-0.7432,-0.3394,-0.1314,2.7795,12.144,0.9223291513215308,0.9698173985539243
-1.5697,-0.7029,-0.4344,0.003,3.3042,10.8558,0.9153164842989926,0.7389309547591425
-2.5531,-0.7361,-0.2904,-0.1875,2.1707,12.8425,0.9333805394051986,0.8902221458299527
-2.077,-0.7291,-0.4152,-0.0571,3.6104,11.6159,0.9203756109821272,0.9761623860001674
-2.086,-0.7223,-0.3069,-0.1606,2.3858,12.0819,0.923845017976104,0.8849142008052958
-2.5057,-0.7271,-0.2728,-0.2293,2.7266,12.8044,0.9340449494364196,0.7811264325111681
-1.9909,-0.7389,-0.3317,-0.1374,2.001,11.9707,0.9321413505985984,0.6490518005311476
-2.0841,-0.7174,-0.3513,-0.1081,2.9839,11.8871,0.9135513394173924,0.9855874783078614
-1.5053,-0.7157,-0.4605,0.0144,3.98,10.6448,0.9085317801157604,0.6917032976775497
-2.0886,-0.7209,-0.2685,-0.2134,2.266,12.2613,0.9179310119117297,0.6975707531157405
-2.5359,-0.752,-0.3784,-0.0982,3.5253,12.4032,0.9252361435676664,0.9538709274213611
-1.8908,-0.7467,-0.4782,0.0265,3.99,11.1243,0.9312776097565132,0.8240271723932131
-2.3267,-0.7201,-0.3147,-0.1632,2.8148,12.3631,0.9324509850832778,0.8149546684378116
-2.2324,-0.7107,-0.2768,-0.1955,2.1551,12.4156,0.9277431010845988,0.8084017623697598
