,Constant,female,male,len,dia,hei,w_wei,s_wei,v_wei,sh_wei,y_pred,y_act
17,1.0,1.0,0.0,0.585,0.46,0.15,1.0035,0.503,0.2105,0.2515,10.961691504044971,11.0
462,1.0,1.0,0.0,0.495,0.385,0.135,0.6625,0.3005,0.1635,0.185,10.974292445222611,11.0
528,1.0,1.0,0.0,0.56,0.435,0.185,1.106,0.422,0.2435,0.33,15.086516407134368,15.0
538,1.0,0.0,0.0,0.59,0.465,0.195,1.0885,0.3685,0.187,0.375,17.039889878560825,17.0
558,1.0,1.0,0.0,0.435,0.35,0.12,0.4585,0.192,0.1,0.13,11.029748764444676,11.0
634,1.0,0.0,1.0,0.35,0.255,0.08,0.1915,0.08,0.0385,0.063,9.066404406297927,9.0
784,1.0,0.0,1.0,0.655,0.58,0.205,2.0805,0.959,0.3415,0.601,16.985783586896396,17.0
858,1.0,0.0,0.0,0.35,0.255,0.09,0.1785,0.0855,0.0305,0.0525,7.977508725973333,8.0
964,1.0,0.0,1.0,0.735,0.59,0.225,1.756,0.637,0.3405,0.58,20.89432574220006,21.0
976,1.0,1.0,0.0,0.425,0.325,0.135,0.382,0.1465,0.079,0.14,11.885125506928594,12.0
1044,1.0,0.0,1.0,0.615,0.495,0.2,1.304,0.5795,0.3115,0.371,14.080310670360102,14.0
1250,1.0,1.0,0.0,0.69,0.54,0.185,1.5715,0.6935,0.318,0.47,15.091653697859744,15.0
1283,1.0,0.0,1.0,0.605,0.485,0.175,1.145,0.4325,0.27,0.405,16.050487772736254,16.0
1523,1.0,0.0,1.0,0.52,0.435,0.195,0.973,0.2985,0.2135,0.355,17.870874103220387,18.0
1539,1.0,0.0,0.0,0.47,0.4,0.16,0.51,0.1615,0.073,0.198,14.102703725848762,14.0
1648,1.0,1.0,0.0,0.56,0.435,0.125,0.8775,0.3345,0.2145,0.29,12.977927652661071,13.0
1723,1.0,0.0,0.0,0.28,0.2,0.065,0.0895,0.036000000000000004,0.0185,0.03,7.016548272860054,7.0
1845,1.0,0.0,0.0,0.575,0.45,0.17,0.9315,0.358,0.2145,0.26,12.958521151585531,13.0
1889,1.0,1.0,0.0,0.57,0.465,0.155,0.872,0.3245,0.239,0.285,13.903103229630563,14.0
1928,1.0,0.0,1.0,0.415,0.345,0.135,0.3865,0.128,0.07,0.14800000000000002,12.976990888345796,13.0
1939,1.0,0.0,0.0,0.455,0.36,0.115,0.457,0.2085,0.0855,0.147,9.954480592502836,10.0
1993,1.0,0.0,1.0,0.41,0.31,0.125,0.3595,0.1415,0.0885,0.115,10.975216071964734,11.0
2044,1.0,0.0,1.0,0.34,0.275,0.09,0.2065,0.0725,0.043,0.07,10.006120528128289,10.0
2084,1.0,1.0,0.0,0.545,0.405,0.175,0.98,0.2585,0.207,0.38,18.067304625065297,18.0
2116,1.0,0.0,1.0,0.63,0.53,0.175,1.4135,0.667,0.2945,0.3555,12.947851537278115,13.0
2175,1.0,1.0,0.0,0.63,0.5,0.155,1.005,0.3670000000000001,0.199,0.36,16.013153694857994,16.0
2186,1.0,0.0,1.0,0.455,0.35,0.105,0.416,0.1625,0.097,0.145,11.053589345981335,11.0
2275,1.0,0.0,0.0,0.3,0.23,0.08,0.1275,0.0435,0.0265,0.04,7.950650088419082,8.0
2296,1.0,1.0,0.0,0.62,0.51,0.175,1.1255,0.4985,0.227,0.315,14.031625883513065,14.0
2523,1.0,1.0,0.0,0.61,0.48,0.16,1.234,0.598,0.238,0.315,11.967981916805044,12.0
2542,1.0,0.0,1.0,0.61,0.475,0.165,1.116,0.428,0.2205,0.315,14.969974655914902,15.0
2792,1.0,0.0,0.0,0.425,0.38,0.105,0.3265,0.1285,0.0785,0.1,10.059487691063033,10.0
2832,1.0,0.0,0.0,0.275,0.2,0.065,0.1165,0.0565,0.013,0.035,7.006910847590256,7.0
3065,1.0,0.0,0.0,0.315,0.245,0.085,0.1435,0.053,0.0475,0.05,7.973277816172803,8.0
3069,1.0,1.0,0.0,0.595,0.45,0.165,1.081,0.49,0.2525,0.279,11.973026474090762,12.0
3103,1.0,0.0,1.0,0.4,0.305,0.085,0.297,0.108,0.0705,0.1,10.022931624229546,10.0
3235,1.0,0.0,0.0,0.265,0.2,0.065,0.0975,0.04,0.0205,0.028,7.030811814068103,7.0
3267,1.0,0.0,0.0,0.275,0.2,0.065,0.1035,0.0475,0.0205,0.03,6.897300897671504,7.0
3306,1.0,0.0,1.0,0.565,0.47,0.195,1.142,0.387,0.258,0.35,17.05356721508407,17.0
3409,1.0,1.0,0.0,0.515,0.415,0.13,0.764,0.276,0.196,0.25,13.023028366689998,13.0
3660,1.0,0.0,0.0,0.53,0.42,0.13,0.8365,0.3745,0.16699999999999998,0.249,10.951603757603056,11.0
3704,1.0,0.0,0.0,0.435,0.34,0.11,0.407,0.1685,0.073,0.13,10.008417451820659,10.0
3709,1.0,0.0,1.0,0.7,0.535,0.16,1.7255,0.63,0.2635,0.54,18.99342338864026,19.0
