,Constant,female,male,len,dia,hei,w_wei,s_wei,v_wei,sh_wei,y_pred,y_act
32,1.0,0.0,1.0,0.6,0.46,0.18,1.14,0.423,0.2575,0.365,9.99881854424929,10.0
94,1.0,0.0,0.0,0.5,0.375,0.14,0.5495,0.248,0.112,0.1585,7.032992060518675,7.0
99,1.0,1.0,0.0,0.535,0.42,0.13,0.6990000000000001,0.3125,0.1565,0.2035,7.943942655136234,8.0
268,1.0,0.0,0.0,0.3,0.23,0.075,0.15,0.0605,0.042,0.045,4.907804196101321,5.0
277,1.0,1.0,0.0,0.57,0.465,0.18,1.295,0.339,0.2225,0.44,11.893419711278526,12.0
279,1.0,1.0,0.0,0.435,0.325,0.11,0.4335,0.17800000000000002,0.0985,0.155,7.068420191961606,7.0
284,1.0,0.0,1.0,0.595,0.48,0.14,0.9125,0.4095,0.1825,0.289,9.022415878592335,9.0
295,1.0,0.0,0.0,0.4,0.31,0.115,0.314,0.1545,0.0595,0.087,5.870053332436925,6.0
343,1.0,0.0,0.0,0.32,0.24,0.09,0.1575,0.07,0.0265,0.0425,5.058555188459434,5.0
389,1.0,0.0,1.0,0.56,0.43,0.155,0.8675,0.4,0.172,0.229,8.081627850286862,8.0
393,1.0,0.0,0.0,0.55,0.425,0.13,0.664,0.2695,0.163,0.21,7.99467144181857,8.0
442,1.0,1.0,0.0,0.66,0.53,0.185,1.346,0.546,0.2705,0.476,10.840498521102129,11.0
461,1.0,1.0,0.0,0.56,0.43,0.15,0.8825,0.3465,0.172,0.31,9.165842878004332,9.0
472,1.0,0.0,1.0,0.7,0.565,0.175,1.8565,0.8445,0.3935,0.54,10.02086334359986,10.0
493,1.0,1.0,0.0,0.67,0.525,0.195,1.42,0.573,0.368,0.3905,9.983035314807205,10.0
498,1.0,1.0,0.0,0.515,0.395,0.165,0.7565,0.1905,0.17,0.3205,10.094837481055057,10.0
559,1.0,0.0,0.0,0.325,0.25,0.055,0.166,0.076,0.051,0.045,4.963557274802798,5.0
579,1.0,0.0,1.0,0.335,0.26,0.075,0.22,0.0855,0.04,0.085,6.067472687424535,6.0
586,1.0,1.0,0.0,0.56,0.465,0.16,1.0315,0.4320000000000001,0.2025,0.337,9.188723125682035,9.0
589,1.0,0.0,0.0,0.45,0.33,0.1,0.411,0.1945,0.1,0.098,6.048701240565247,6.0
590,1.0,0.0,1.0,0.74,0.58,0.205,2.381,0.8155,0.4695,0.488,11.970859986323134,12.0
653,1.0,0.0,0.0,0.4,0.31,0.1,0.306,0.13,0.06,0.094,6.106827579077588,6.0
672,1.0,1.0,0.0,0.51,0.375,0.11,0.5805,0.2865,0.118,0.14800000000000002,6.992496652488568,7.0
712,1.0,0.0,0.0,0.42,0.31,0.095,0.279,0.1255,0.051,0.08800000000000001,6.100423817165759,6.0
724,1.0,1.0,0.0,0.55,0.47,0.15,0.897,0.377,0.184,0.29,9.004303666389893,9.0
760,1.0,0.0,0.0,0.5,0.38,0.11,0.494,0.218,0.09,0.1325,6.980329162998462,7.0
772,1.0,0.0,0.0,0.11,0.09,0.03,0.008,0.0025,0.002,0.003,2.844623761259988,3.0
815,1.0,1.0,0.0,0.525,0.42,0.16,0.7559999999999999,0.2745,0.173,0.275,9.078543660011391,9.0
829,1.0,0.0,1.0,0.595,0.47,0.165,1.108,0.4915,0.2325,0.3345,9.006370976651002,9.0
