,Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei
1,1.0,0.655,0.525,0.19,1.3595,0.564,0.3215,0.3985
90,1.0,0.56,0.43,0.15,0.8825,0.3465,0.172,0.31
105,1.0,0.295,0.22,0.085,0.1285,0.0585,0.027000000000000003,0.0365
107,1.0,0.385,0.285,0.09,0.248,0.0935,0.066,0.07
225,1.0,0.495,0.375,0.14,0.494,0.181,0.0975,0.191
227,1.0,0.37,0.275,0.095,0.257,0.1015,0.055,0.0825
233,1.0,0.295,0.23,0.08,0.1625,0.065,0.05,0.0385
234,1.0,0.395,0.3,0.09,0.253,0.1155,0.05,0.075
276,1.0,0.39,0.3,0.1,0.3085,0.1385,0.0735,0.085
289,1.0,0.45,0.35,0.135,0.494,0.2205,0.0945,0.1405
329,1.0,0.38,0.27,0.095,0.219,0.0835,0.0515,0.07
342,1.0,0.605,0.475,0.175,1.0759999999999998,0.463,0.2195,0.335
397,1.0,0.285,0.215,0.075,0.106,0.0415,0.023,0.035
411,1.0,0.355,0.285,0.095,0.2275,0.0955,0.0475,0.0715
413,1.0,0.185,0.375,0.12,0.4645,0.196,0.1045,0.15
420,1.0,0.575,0.47,0.185,0.985,0.3745,0.2175,0.355
462,1.0,0.55,0.47,0.15,0.897,0.377,0.184,0.29
474,1.0,0.7,0.565,0.175,1.8565,0.8445,0.3935,0.54
495,1.0,0.645,0.515,0.15,1.212,0.515,0.2055,0.385
529,1.0,0.305,0.215,0.065,0.1075,0.044,0.0205,0.038
541,1.0,0.52,0.41,0.11,0.5185,0.2165,0.0915,0.184
554,1.0,0.26,0.215,0.08,0.099,0.037000000000000005,0.0255,0.045
559,1.0,0.58,0.445,0.145,0.888,0.41,0.1815,0.2425
691,1.0,0.22,0.16,0.05,0.049,0.0215,0.01,0.015
770,1.0,0.555,0.435,0.14,0.7495,0.341,0.1645,0.214
774,1.0,0.14,0.105,0.035,0.014,0.0055,0.0025,0.004
796,1.0,0.385,0.28,0.125,0.244,0.102,0.038,0.085
803,1.0,0.4,0.31,0.115,0.314,0.1545,0.0595,0.087
815,1.0,0.415,0.315,0.09,0.3625,0.175,0.0835,0.093
833,1.0,0.635,0.5,0.18,1.2915,0.594,0.2695,0.37
904,1.0,0.495,0.38,0.12,0.573,0.2655,0.1285,0.14400000000000002
912,1.0,0.575,0.465,0.175,1.099,0.4735,0.202,0.35
941,1.0,0.37,0.29,0.095,0.249,0.1045,0.058,0.067
952,1.0,0.195,0.145,0.05,0.032,0.01,0.008,0.012
969,1.0,0.395,0.29,0.095,0.304,0.127,0.084,0.077
1116,1.0,0.41,0.335,0.11,0.33,0.157,0.0705,0.17
1135,1.0,0.595,0.475,0.165,1.148,0.444,0.214,0.37
1151,1.0,0.38,0.275,0.095,0.2505,0.0945,0.0655,0.075
1216,1.0,0.415,0.305,0.1,0.325,0.156,0.0505,0.091
1257,1.0,0.505,0.475,0.16,1.1155,0.509,0.239,0.3065
1407,1.0,0.385,0.3,0.115,0.3435,0.1645,0.085,0.1025
1432,1.0,0.655,0.545,0.185,1.759,0.6865,0.313,0.547
1456,1.0,0.41,0.31,0.09,0.3335,0.1635,0.061,0.091
1480,1.0,0.205,0.15,0.065,0.04,0.02,0.011,0.013
1498,1.0,0.59,0.475,0.165,1.077,0.4545,0.244,0.3095
1518,1.0,0.41,0.325,0.1,0.394,0.208,0.0655,0.106
1571,1.0,0.435,0.345,0.12,0.3215,0.13,0.056,0.1185
1578,1.0,0.4,0.3,0.11,0.2985,0.1375,0.071,0.075
1667,1.0,0.42,0.315,0.115,0.355,0.1895,0.065,0.087
1704,1.0,0.38,0.29,0.1,0.237,0.108,0.0395,0.08199999999999999
1755,1.0,0.21,0.15,0.045,0.04,0.0135,0.008,0.0105
1775,1.0,0.38,0.28,0.085,0.2735,0.115,0.061,0.085
1784,1.0,0.515,0.395,0.165,0.7565,0.1905,0.17,0.3205
1789,1.0,0.815,0.65,0.25,2.255,0.8905,0.42,0.7975
1800,1.0,0.52,0.41,0.12,0.595,0.2385,0.111,0.19
1812,1.0,0.525,0.385,0.13,0.607,0.2355,0.125,0.195
1866,1.0,0.58,0.46,0.185,1.017,0.3515,0.2,0.32
1910,1.0,0.57,0.465,0.18,1.295,0.339,0.2225,0.44
2003,1.0,0.4,0.315,0.09,0.33,0.151,0.068,0.08
2041,1.0,0.455,0.35,0.12,0.4555,0.1945,0.1045,0.1375
2046,1.0,0.29,0.225,0.075,0.14,0.0515,0.0235,0.04
2097,1.0,0.595,0.485,0.15,1.0835,0.5305,0.231,0.276
2098,1.0,0.525,0.42,0.16,0.7559999999999999,0.2745,0.173,0.275
2102,1.0,0.55,0.425,0.145,0.797,0.297,0.15,0.265
2206,1.0,0.4,0.295,0.095,0.252,0.1105,0.0575,0.066
2392,1.0,0.5,0.4,0.125,0.6725,0.336,0.12,0.1825
2400,1.0,0.56,0.43,0.13,0.728,0.3355,0.1435,0.2175
2418,1.0,0.43,0.34,0.12,0.391,0.1555,0.095,0.1405
2531,1.0,0.73,0.55,0.205,1.908,0.5415,0.3565,0.5965
2557,1.0,0.65,0.52,0.155,1.368,0.6185,0.28800000000000003,0.365
2578,1.0,0.28,0.21,0.085,0.1075,0.0415,0.024,0.034
2639,1.0,0.575,0.475,0.16,0.895,0.3605,0.221,0.271
2643,1.0,0.575,0.46,0.165,1.065,0.4985,0.2145,0.2815
2653,1.0,0.6,0.475,0.135,1.4405,0.5885,0.191,0.3175
2675,1.0,0.21,0.15,0.05,0.042,0.0175,0.0125,0.015
2685,1.0,0.46,0.345,0.11,0.3755,0.1525,0.058,0.125
2710,1.0,0.375,0.29,0.1,0.219,0.0925,0.038,0.075
2738,1.0,0.445,0.35,0.13,0.4195,0.1695,0.0945,0.1195
2761,1.0,0.51,0.4,0.125,0.5935,0.239,0.13,0.204
2801,1.0,0.56,0.425,0.125,0.932,0.361,0.213,0.335
2809,1.0,0.455,0.355,0.125,0.5325,0.225,0.126,0.1465
2869,1.0,0.43,0.33,0.095,0.32,0.118,0.065,0.123
2874,1.0,0.665,0.53,0.18,1.491,0.6345,0.342,0.435
3000,1.0,0.635,0.51,0.17,1.3555,0.619,0.305,0.39
3085,1.0,0.485,0.365,0.14,0.4475,0.1895,0.0925,0.2305
3130,1.0,0.535,0.435,0.15,0.725,0.269,0.1385,0.25
3146,1.0,0.405,0.3,0.105,0.304,0.1455,0.061,0.0805
3164,1.0,0.3,0.23,0.075,0.15,0.0605,0.042,0.045
3173,1.0,0.475,0.35,0.12,0.4905,0.2035,0.13,0.135
3204,1.0,0.2,0.155,0.04,0.0435,0.0155,0.009000000000000001,0.006999999999999999
3243,1.0,0.285,0.22,0.065,0.096,0.0405,0.0205,0.03
3250,1.0,0.3,0.22,0.08,0.121,0.0475,0.042,0.035
3389,1.0,0.435,0.335,0.095,0.298,0.109,0.058,0.115
3414,1.0,0.43,0.34,0.105,0.4405,0.2385,0.0745,0.1075
3451,1.0,0.28,0.12,0.075,0.117,0.0455,0.029,0.0345
3472,1.0,0.445,0.345,0.12,0.4035,0.16899999999999998,0.0825,0.13
3474,1.0,0.3,0.225,0.075,0.1345,0.057,0.028,0.044
3517,1.0,0.57,0.45,0.135,0.794,0.3815,0.1415,0.245
3549,1.0,0.305,0.22,0.07,0.141,0.062,0.031,0.037000000000000005
3595,1.0,0.59,0.485,0.155,1.0785,0.4535,0.2435,0.31
3603,1.0,0.2,0.145,0.05,0.036000000000000004,0.0125,0.008,0.011
3712,1.0,0.465,0.345,0.105,0.4015,0.242,0.0345,0.109
3729,1.0,0.225,0.165,0.055,0.059,0.027000000000000003,0.0125,0.015
