,Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei
50,1.0,0.615,0.5,0.205,1.1055,0.4445,0.227,0.39
88,1.0,0.505,0.385,0.135,0.6185,0.251,0.1175,0.2
106,1.0,0.345,0.27,0.09,0.195,0.078,0.0455,0.059
206,1.0,0.575,0.47,0.165,0.853,0.292,0.179,0.35
448,1.0,0.47,0.35,0.13,0.466,0.1845,0.099,0.145
497,1.0,0.7,0.535,0.16,1.7255,0.63,0.2635,0.54
548,1.0,0.385,0.29,0.09,0.2615,0.111,0.0595,0.0745
599,1.0,0.355,0.29,0.09,0.3275,0.134,0.086,0.09
664,1.0,0.535,0.415,0.185,0.8415,0.314,0.1585,0.3
670,1.0,0.345,0.255,0.1,0.197,0.071,0.051,0.06
830,1.0,0.61,0.47,0.165,1.1785,0.5660000000000001,0.2785,0.294
867,1.0,0.41,0.3,0.115,0.2595,0.097,0.0515,0.08
974,1.0,0.57,0.48,0.18,0.9395,0.399,0.2,0.295
1138,1.0,0.47,0.365,0.135,0.522,0.2395,0.1525,0.145
1167,1.0,0.5,0.405,0.15,0.5965,0.253,0.126,0.185
1313,1.0,0.29,0.225,0.07,0.101,0.036000000000000004,0.0235,0.035
1370,1.0,0.465,0.36,0.125,0.4365,0.16899999999999998,0.1075,0.145
1429,1.0,0.415,0.31,0.11,0.2965,0.123,0.057,0.0995
1497,1.0,0.55,0.44,0.155,0.946,0.313,0.1825,0.335
1566,1.0,0.42,0.34,0.125,0.4495,0.165,0.1125,0.14400000000000002
1656,1.0,0.495,0.385,0.135,0.6335,0.2,0.1225,0.26
1695,1.0,0.46,0.35,0.12,0.4885,0.193,0.105,0.155
1864,1.0,0.4,0.31,0.115,0.3465,0.1475,0.0695,0.115
2001,1.0,0.41,0.325,0.105,0.3635,0.159,0.077,0.12
2031,1.0,0.635,0.5,0.18,1.319,0.5485,0.292,0.49
2207,1.0,0.695,0.55,0.205,2.173,1.133,0.4665,0.496
2237,1.0,0.6,0.47,0.2,1.031,0.392,0.2035,0.29
2281,1.0,0.635,0.495,0.175,1.211,0.7070000000000001,0.2725,0.32299999999999995
2300,1.0,0.53,0.435,0.135,0.7365,0.3275,0.1315,0.22
2390,1.0,0.635,0.5,0.165,1.273,0.6535,0.213,0.365
2481,1.0,0.69,0.54,0.185,1.5715,0.6935,0.318,0.47
2484,1.0,0.45,0.35,0.1,0.3675,0.1465,0.1015,0.12
2633,1.0,0.295,0.21,0.08,0.1,0.038,0.026,0.031
2693,1.0,0.445,0.335,0.14,0.4565,0.1785,0.114,0.14
2952,1.0,0.365,0.285,0.085,0.2205,0.0855,0.0515,0.07
2977,1.0,0.35,0.26,0.09,0.195,0.0745,0.041,0.0655
3031,1.0,0.425,0.345,0.11,0.3665,0.125,0.081,0.117
3037,1.0,0.61,0.495,0.19,1.213,0.464,0.306,0.365
3060,1.0,0.525,0.44,0.15,0.8425,0.3685,0.1985,0.24
3105,1.0,0.54,0.42,0.14,0.805,0.369,0.1725,0.21
3341,1.0,0.475,0.4,0.115,0.541,0.18600000000000005,0.1025,0.21
3518,1.0,0.375,0.29,0.115,0.2705,0.093,0.066,0.0885
3535,1.0,0.41,0.315,0.11,0.321,0.1255,0.0655,0.095
3546,1.0,0.205,0.155,0.045,0.0425,0.017,0.0055,0.0155
3608,1.0,0.495,0.4,0.14,0.7775,0.2015,0.18,0.25
3657,1.0,0.495,0.39,0.125,0.6655,0.284,0.162,0.2
3658,1.0,0.465,0.325,0.14,0.7615,0.362,0.1535,0.209
