,Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei
41,1.0,0.565,0.435,0.185,0.9815,0.329,0.136,0.39
55,1.0,0.315,0.23,0.07,0.16399999999999998,0.0625,0.04,0.045
119,1.0,0.365,0.275,0.135,0.24,0.108,0.0445,0.0735
136,1.0,0.14,0.105,0.035,0.0145,0.005,0.0035,0.005
188,1.0,0.45,0.33,0.115,0.365,0.14,0.0825,0.1245
194,1.0,0.37,0.295,0.1,0.2685,0.1165,0.056,0.0835
262,1.0,0.13,0.095,0.035,0.0105,0.005,0.0065,0.0035
287,1.0,0.565,0.505,0.21,1.2765,0.501,0.279,0.355
424,1.0,0.31,0.22,0.085,0.146,0.061,0.0365,0.045
450,1.0,0.7,0.575,0.205,1.7975,0.7295,0.3935,0.5165
611,1.0,0.36,0.285,0.105,0.2415,0.0915,0.057,0.075
613,1.0,0.375,0.27,0.135,0.597,0.272,0.131,0.1675
657,1.0,0.495,0.41,0.125,0.7555,0.3355,0.129,0.214
661,1.0,0.605,0.45,0.165,1.2225,0.35700000000000004,0.202,0.385
745,1.0,0.37,0.275,0.1,0.2295,0.0885,0.0465,0.07
865,1.0,0.16,0.11,0.025,0.0195,0.0075,0.005,0.006
874,1.0,0.54,0.415,0.17,0.879,0.339,0.208,0.255
887,1.0,0.295,0.215,0.085,0.128,0.049,0.034,0.04
959,1.0,0.345,0.27,0.11,0.2135,0.08199999999999999,0.0545,0.07
1004,1.0,0.31,0.235,0.07,0.151,0.063,0.0405,0.045
1016,1.0,0.35,0.265,0.09,0.197,0.073,0.0365,0.077
1020,1.0,0.165,0.115,0.015,0.0145,0.0055,0.003,0.005
1095,1.0,0.515,0.42,0.15,0.6725,0.2555,0.1335,0.235
1210,1.0,0.6,0.475,0.23,1.157,0.522,0.2235,0.36
1215,1.0,0.52,0.42,0.16,0.745,0.255,0.157,0.2885
1241,1.0,0.625,0.525,0.215,1.5765,0.5115,0.2595,0.665
1323,1.0,0.565,0.45,0.165,0.9765,0.322,0.244,0.37
1329,1.0,0.22,0.165,0.055,0.0545,0.0215,0.012,0.02
1375,1.0,0.73,0.595,0.23,2.8255,1.1465,0.419,0.897
1403,1.0,0.36,0.275,0.095,0.217,0.084,0.0435,0.09
1425,1.0,0.21,0.17,0.045,0.0475,0.019,0.011,0.013
1447,1.0,0.675,0.555,0.205,1.925,0.713,0.358,0.4535
1454,1.0,0.315,0.235,0.075,0.1485,0.0585,0.0375,0.0425
1461,1.0,0.47,0.37,0.18,0.51,0.1915,0.1285,0.1625
1466,1.0,0.76,0.575,0.19,1.829,0.7035,0.386,0.56
1490,1.0,0.675,0.55,0.18,1.6885,0.562,0.3705,0.6
1515,1.0,0.615,0.485,0.215,0.9615,0.422,0.17600000000000002,0.29
1567,1.0,0.32,0.24,0.085,0.131,0.0615,0.0265,0.038
1588,1.0,0.245,0.175,0.055,0.0785,0.04,0.018000000000000002,0.02
1676,1.0,0.63,0.51,0.19,1.4985,0.4125,0.3075,0.545
1727,1.0,0.275,0.22,0.08,0.1365,0.0565,0.0285,0.042
1774,1.0,0.325,0.24,0.075,0.187,0.0825,0.0445,0.05
1836,1.0,0.63,0.475,0.175,1.423,0.4155,0.3385,0.49
1862,1.0,0.42,0.34,0.115,0.4215,0.175,0.093,0.135
1878,1.0,0.355,0.275,0.09,0.251,0.097,0.053,0.08
1888,1.0,0.545,0.43,0.15,0.7285,0.302,0.1315,0.2545
1929,1.0,0.525,0.4,0.13,0.8295,0.2405,0.1825,0.275
2035,1.0,0.55,0.435,0.14,0.7995,0.295,0.1905,0.238
2103,1.0,0.46,0.36,0.14,0.447,0.161,0.087,0.16
2213,1.0,0.59,0.485,0.205,1.2315,0.4525,0.238,0.42
2232,1.0,0.305,0.23,0.075,0.1455,0.0595,0.0305,0.05
2304,1.0,0.62,0.51,0.205,1.3475,0.4775,0.2565,0.48
2324,1.0,0.585,0.475,0.185,0.9585,0.4145,0.1615,0.33
2342,1.0,0.705,0.55,0.2,1.7095,0.633,0.4115,0.49
2393,1.0,0.58,0.45,0.235,1.071,0.3,0.206,0.395
2433,1.0,0.17,0.105,0.035,0.034,0.012,0.0085,0.005
2440,1.0,0.3,0.23,0.075,0.127,0.052000000000000005,0.03,0.0345
2454,1.0,0.475,0.36,0.135,0.4355,0.196,0.0925,0.125
2524,1.0,0.32,0.235,0.08,0.1485,0.064,0.031,0.045
2554,1.0,0.585,0.465,0.165,0.885,0.4025,0.1625,0.274
2566,1.0,0.695,0.53,0.2,2.0475,0.75,0.4195,0.6095
2575,1.0,0.61,0.495,0.185,1.1085,0.3705,0.3135,0.33
2611,1.0,0.615,0.49,0.19,1.1345,0.4695,0.257,0.348
2727,1.0,0.645,0.51,0.2,1.5675,0.621,0.3670000000000001,0.46
2757,1.0,0.565,0.45,0.175,1.2365,0.5305,0.2455,0.308
2777,1.0,0.425,0.35,0.105,0.393,0.13,0.063,0.165
2805,1.0,0.34,0.245,0.085,0.2015,0.1005,0.038,0.053
2807,1.0,0.435,0.34,0.11,0.3795,0.1495,0.085,0.12
2820,1.0,0.31,0.23,0.07,0.1245,0.0505,0.0265,0.038
2844,1.0,0.445,0.35,0.115,0.3615,0.1565,0.0695,0.117
2882,1.0,0.56,0.46,0.18,0.97,0.342,0.196,0.355
2889,1.0,0.305,0.225,0.09,0.1465,0.063,0.034,0.0415
2906,1.0,0.535,0.45,0.17,0.7809999999999999,0.3055,0.1555,0.295
2956,1.0,0.685,0.525,0.175,1.71,0.5415,0.309,0.58
2978,1.0,0.39,0.29,0.1,0.2225,0.095,0.0465,0.073
2986,1.0,0.695,0.55,0.22,1.5515,0.5660000000000001,0.3835,0.445
3054,1.0,0.37,0.29,0.09,0.2445,0.08900000000000001,0.0655,0.075
3069,1.0,0.23,0.17,0.05,0.057,0.026,0.013,0.016
3230,1.0,0.62,0.475,0.16,0.907,0.371,0.16699999999999998,0.3075
3253,1.0,0.215,0.165,0.055,0.059,0.0265,0.0125,0.0185
3279,1.0,0.165,0.11,0.02,0.019,0.0065,0.0025,0.005
3355,1.0,0.575,0.45,0.16,0.9775,0.3135,0.231,0.33
3384,1.0,0.445,0.35,0.12,0.4425,0.192,0.0955,0.135
3397,1.0,0.37,0.28,0.095,0.2225,0.0805,0.051,0.075
3400,1.0,0.49,0.38,0.155,0.578,0.2395,0.1255,0.18
3410,1.0,0.535,0.435,0.16,0.8105,0.3155,0.1795,0.24
3493,1.0,0.3,0.23,0.085,0.117,0.05,0.0175,0.0415
3526,1.0,0.18,0.135,0.08,0.033,0.0145,0.006999999999999999,0.01
3570,1.0,0.695,0.57,0.2,2.033,0.7509999999999999,0.4255,0.685
3623,1.0,0.49,0.375,0.15,0.5755,0.22,0.14400000000000002,0.19
3706,1.0,0.425,0.33,0.115,0.406,0.1635,0.081,0.1355
3722,1.0,0.625,0.49,0.2,1.3825,0.5895,0.285,0.381
3743,1.0,0.53,0.455,0.165,0.9805,0.3155,0.2815,0.2965
3752,1.0,0.645,0.525,0.2,1.449,0.601,0.2565,0.505
