,Constant,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol
34,1.0,7.5,3.2,2.4,4.6,5.3,0.8,1.34,9.958,3.14,5.0,9.1
134,1.0,5.8,2.8000000000000003,1.7999999999999998,1.2,5.800000000000001,0.7,1.08,9.928799999999999,3.23,5.8,9.55
237,1.0,8.5,2.0,4.0,1.1,4.6,3.1,1.06,9.9194,3.0,3.5,10.5
358,1.0,6.4,3.4000000000000004,2.0,14.9,6.0,3.7,1.62,9.983,3.13,4.5,9.0
494,1.0,7.4,2.8000000000000003,4.0,11.9,3.2,1.3,0.92,9.9629,3.01,4.6000000000000005,10.8
617,1.0,6.0,3.5,4.6000000000000005,0.9,3.3000000000000003,0.9,0.65,9.8934,3.24,3.5,12.1
642,1.0,7.4,1.7000000000000002,4.0,5.5,3.7000000000000006,3.4,1.61,9.935,3.05,6.2,11.5
657,1.0,5.8,2.8000000000000003,3.5,2.3,5.3,3.6,1.14,9.924,3.28,5.0,10.2
675,1.0,7.6,2.1,3.5,1.2,4.1000000000000005,0.7,1.06,9.914,3.06,4.5,11.3
755,1.0,6.5,3.2,4.8,8.0,2.6,1.8,0.88,9.9144,3.22,7.9,12.7
847,1.0,6.7,2.2,2.2,1.2,3.8,0.5,1.24,9.9098,3.1,3.7,11.2
969,1.0,7.2,3.2,4.699999999999999,5.1,4.3999999999999995,1.9,0.65,9.91,3.03,4.1,12.6
996,1.0,7.1,2.1,2.8000000000000003,2.7,3.4000000000000004,2.3,1.11,9.9405,3.35,6.4,10.2
1048,1.0,8.5,2.2,3.4000000000000004,0.7,4.0,0.5,0.25,9.918,3.04,3.7,10.5
1092,1.0,6.4,3.4000000000000004,2.0,14.9,6.0,3.7,1.62,9.983,3.13,4.5,9.0
1097,1.0,5.2,4.050000000000001,1.5,1.45,3.8,1.0,0.44,9.9125,3.52,4.0,11.6
1241,1.0,8.6,5.5,3.5,15.55,5.7,3.55,3.665,10.001,3.04,6.3,11.0
1257,1.0,6.9,3.0,3.5999999999999996,4.5,5.4,3.1,2.03,9.9513,3.4,5.699999999999999,10.4
1378,1.0,6.9,2.0,3.4000000000000004,1.9,4.3,2.5,1.36,9.935,3.31,6.0,10.1
