,Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei,y_pred,y_act
21,1.0,0.32,0.235,0.065,0.1385,0.058,0.0225,0.05,4.741293810526864,5
24,1.0,0.61,0.47,0.16,1.0745,0.4925,0.236,0.29,7.94228210592523,8
33,1.0,0.625,0.515,0.17,1.331,0.5725,0.3005,0.361,8.738970117721655,9
62,1.0,0.605,0.485,0.16,1.2009999999999998,0.417,0.2875,0.38,9.54812953569727,9
64,1.0,0.41,0.305,0.095,0.2625,0.1,0.0515,0.09,5.922940233348136,6
69,1.0,0.6,0.46,0.145,0.9325,0.3985,0.2245,0.248,7.987054062571177,8
72,1.0,0.63,0.475,0.15,1.072,0.433,0.2975,0.315,8.568387119432105,8
74,1.0,0.65,0.5,0.19,1.464,0.6415,0.339,0.4245,8.818729633525903,9
94,1.0,0.55,0.43,0.15,0.655,0.2635,0.122,0.221,7.97545839274156,8
98,1.0,0.58,0.465,0.15,0.9065,0.371,0.1965,0.29,8.414324525949816,8
104,1.0,0.425,0.315,0.1,0.377,0.1645,0.07200000000000001,0.105,5.895971280050562,6
113,1.0,0.575,0.455,0.155,0.8725,0.349,0.2095,0.285,8.352904439841012,8
140,1.0,0.555,0.425,0.14,0.963,0.44,0.224,0.24,7.1795883742015505,7
152,1.0,0.55,0.45,0.14,0.753,0.3445,0.1325,0.24,7.756577337469789,8
167,1.0,0.525,0.44,0.125,0.7115,0.3205,0.159,0.1915,7.2935980719541025,7
199,1.0,0.435,0.34,0.115,0.3925,0.1825,0.078,0.1145,6.086973654197587,6
212,1.0,0.275,0.195,0.07,0.0875,0.0345,0.022,0.0255,4.161384947583317,4
216,1.0,0.4,0.315,0.1,0.3225,0.14300000000000002,0.0735,0.091,5.721177136598507,6
235,1.0,0.72,0.565,0.2,1.787,0.718,0.385,0.529,10.506237412399164,11
241,1.0,0.405,0.3,0.09,0.269,0.103,0.067,0.11,5.9062092436112525,6
281,1.0,0.575,0.435,0.15,1.0305,0.4605,0.218,0.36,8.050161282158104,8
282,1.0,0.735,0.59,0.215,1.747,0.7275,0.403,0.557,10.661312757327561,11
331,1.0,0.505,0.4,0.15,0.775,0.3445,0.157,0.185,6.9247246503860405,7
336,1.0,0.615,0.48,0.16,1.2525,0.585,0.2595,0.33,7.943124030498552,8
342,1.0,0.605,0.475,0.175,1.0759999999999998,0.463,0.2195,0.335,8.560948602838623,9
346,1.0,0.635,0.515,0.19,1.3715,0.5065,0.305,0.45,10.056562901434743,10
388,1.0,0.505,0.4,0.125,0.583,0.246,0.13,0.175,7.135515911142245,7
432,1.0,0.68,0.515,0.175,1.6185,0.5125,0.409,0.62,11.647968749236895,12
460,1.0,0.66,0.495,0.195,1.6275,0.594,0.3595,0.485,10.140884046426706,10
468,1.0,0.69,0.53,0.19,1.5955,0.6779999999999999,0.331,0.48,9.66082432577539,10
472,1.0,0.53,0.43,0.14,0.677,0.298,0.0965,0.23,7.730064912759117,8
484,1.0,0.64,0.515,0.205,1.5335,0.6635,0.3345,0.4025,8.869554127962308,9
514,1.0,0.44,0.345,0.13,0.4495,0.209,0.0835,0.134,6.221337287283295,6
515,1.0,0.62,0.51,0.175,1.615,0.5105,0.192,0.675,12.228953506939572,12
518,1.0,0.425,0.31,0.105,0.365,0.159,0.0825,0.105,5.849259857807734,6
520,1.0,0.62,0.47,0.14,0.8565,0.3595,0.16,0.295,8.654575392537701,9
530,1.0,0.26,0.205,0.07,0.097,0.0415,0.019,0.0305,4.176946442313108,4
544,1.0,0.58,0.46,0.18,1.0515,0.4095,0.2595,0.276,8.36056122149293,8
580,1.0,0.48,0.375,0.115,0.6765,0.3205,0.1065,0.17,6.470234463175428,6
582,1.0,0.685,0.545,0.205,1.7925,0.8145,0.416,0.461,8.869648213856689,9
589,1.0,0.395,0.3,0.09,0.2855,0.1385,0.0625,0.077,5.4245535281082145,5
603,1.0,0.245,0.195,0.06,0.095,0.0445,0.0245,0.026,3.93625412854024,4
638,1.0,0.46,0.345,0.115,0.4215,0.1895,0.102,0.111,6.1885332212566855,6
644,1.0,0.64,0.515,0.165,1.3115,0.4945,0.2555,0.41,9.844047395808307,10
647,1.0,0.685,0.51,0.18,1.4545,0.6315,0.3105,0.3725,8.89454346532945,9
655,1.0,0.65,0.5,0.14,1.238,0.6165,0.2355,0.32,7.8611264425921235,8
671,1.0,0.58,0.46,0.15,1.1155,0.5575,0.2255,0.29,7.264504390546569,7
675,1.0,0.455,0.355,1.13,0.594,0.332,0.116,0.1335,7.982459749636232,8
703,1.0,0.645,0.515,0.16,1.1845,0.506,0.311,0.335,8.74494073784372,9
727,1.0,0.71,0.53,0.195,1.8745,0.6755,0.4065,0.6855,11.650448281578424,12
760,1.0,0.615,0.505,0.19,1.403,0.6715,0.2925,0.365,8.017672236641243,8
786,1.0,0.645,0.51,0.19,1.4745,0.605,0.345,0.48,9.53436263287813,9
795,1.0,0.595,0.435,0.15,0.9,0.4175,0.17,0.265,7.715257793694912,8
832,1.0,0.635,0.505,0.17,1.2635,0.512,0.322,0.355,8.94989823526267,9
863,1.0,0.455,0.375,0.12,0.4970000000000001,0.2355,0.1055,0.1295,6.333206082107734,6
868,1.0,0.545,0.43,0.14,0.772,0.289,0.19,0.2615,8.135204192075026,8
889,1.0,0.24,0.18,0.055,0.0555,0.0235,0.013,0.018000000000000002,3.833144034735332,4
899,1.0,0.44,0.33,0.135,0.4095,0.163,0.1005,0.119,6.288452677538159,6
908,1.0,0.605,0.49,0.18,1.167,0.457,0.29,0.3745,9.091747138865184,9
922,1.0,0.45,0.33,0.11,0.3685,0.16,0.0885,0.102,6.096860208579043,6
926,1.0,0.755,0.58,0.205,2.0065,0.8295,0.4015,0.595,10.807874923122,10
962,1.0,0.595,0.48,0.16,1.2095,0.5225,0.29600000000000004,0.32,8.151297790938909,8
971,1.0,0.64,0.48,0.195,1.1435,0.4915,0.2345,0.353,8.821126195171034,9
987,1.0,0.32,0.24,0.09,0.1575,0.07,0.0265,0.0425,4.74408020605433,5
1005,1.0,0.645,0.49,0.16,1.144,0.5015,0.289,0.319,8.421497482055287,8
1009,1.0,0.36,0.27,0.09,0.1885,0.0845,0.0385,0.055,5.156583860622346,5
1025,1.0,0.645,0.52,0.175,1.561,0.7090000000000001,0.3555,0.4,8.452431682275867,8
1028,1.0,0.555,0.4,0.13,0.7075,0.332,0.1585,0.18,6.936427528671139,7
1063,1.0,0.24,0.185,0.06,0.0655,0.0295,0.0005,0.02,3.9071464419053186,4
1064,1.0,0.55,0.43,0.125,0.923,0.4035,0.175,0.28300000000000003,7.721371252254787,8
1080,1.0,0.6,0.47,0.15,0.928,0.4225,0.183,0.275,8.081980210911032,8
1117,1.0,0.5,0.375,0.14,0.5495,0.248,0.112,0.1585,6.77573281064208,7
1125,1.0,0.505,0.38,0.12,0.594,0.2595,0.1435,0.18,6.865884972092646,7
1137,1.0,0.64,0.525,0.18,1.3135,0.4865,0.2995,0.4075,9.910294319312046,10
1144,1.0,0.605,0.455,0.145,0.862,0.334,0.1985,0.3,8.670693301898645,9
1156,1.0,0.47,0.355,0.145,0.4485,0.156,0.102,0.123,6.862770279698369,7
1162,1.0,0.75,0.565,0.215,1.938,0.7735,0.4825,0.575,10.658831296407417,11
1172,1.0,0.51,0.405,0.125,0.6925,0.327,0.155,0.1805,6.77676555515586,7
1178,1.0,0.715,0.565,0.18,1.79,0.8440000000000001,0.3535,0.5385,9.372072883081561,9
1191,1.0,0.53,0.405,0.125,0.6515,0.2715,0.1605,0.18600000000000005,7.260009160122561,7
1196,1.0,0.64,0.475,0.14,1.0725,0.4895,0.2295,0.31,8.20491516923026,8
1201,1.0,0.615,0.475,0.145,0.9525,0.3915,0.195,0.32,8.759857589969151,9
1225,1.0,0.475,0.38,0.14,0.6890000000000001,0.3165,0.1315,0.1955,6.69477084457433,7
1257,1.0,0.505,0.475,0.16,1.1155,0.509,0.239,0.3065,7.599318424213909,8
1258,1.0,0.615,0.47,0.155,1.2,0.5085,0.32,0.292,8.037279905038863,8
1289,1.0,0.245,0.205,0.06,0.0765,0.034,0.014,0.0215,4.053776573827674,4
