Constant,log_P(atm),log_Fuel(%),log_Oxidizer(%),T0/S_H__T,T0/T,Training_R2,Testing_R2
-0.5033,-0.534,-0.2662,0.025,2.0355,7.3505,0.9105288980511602,0.9915858439473392
-0.4437,-0.486,-0.2749,0.0362,2.3489,7.1473,0.9102196284015608,-1.169653544573496
-0.6013,-0.4887,-0.2861,0.025,2.7541,7.2889,0.9210662630660263,0.492863853417735
-0.5809,-0.4928,-0.3117,0.0519,3.503,7.1322,0.9192347950121356,-1.2995467602649735
-0.3233,-0.5324,-0.1413,-0.105,1.8739,7.5671,0.9243315462342616,0.924446918058338
-0.4970000000000001,-0.5022,-0.2459,0.001,2.3909,7.3105,0.9316554419193598,-0.3908684264750459
-0.4632,-0.5048,-0.2455,-0.0033,2.6481,7.2872,0.9202203862031968,0.2959595185569702
-0.2081,-0.5575,-0.0942,-0.1493,0.9379,7.7488,0.9304523362215132,0.7528790355531167
-0.6284,-0.4907,-0.3203,0.0422,3.1773,7.2481,0.9323246457604684,0.8502766297752177
-0.923,-0.5228,-0.2889,0.0164,3.6448,7.6909,0.915370328041146,-0.32327327571157793
-0.5356,-0.4756,-0.2516,-0.0055,3.0083,7.2508,0.9254993159343292,-0.4419854415742284
-0.7031,-0.4973,-0.3304,0.0772,2.7652,7.2807,0.8979514124861925,0.6784254847166364
-0.8856,-0.4823,-0.3526,0.0805,3.778,7.3198,0.9147042527099922,0.9490938102395432
-0.3987,-0.5536,-0.1592,-0.0959,1.8643,7.6451,0.9187686891902712,-0.424840743227066
-0.7338,-0.5396,-0.2388,-0.0445,3.4334,7.6769,0.9226723880047109,0.8020215921148264
-0.5016,-0.4934,-0.262,0.0116,2.5231,7.2748,0.9259906551149631,0.982733318042897
