1000/T (1/K),Ignition_time_3_by_max_dT/dt (sec)
1.666667,0.0
1.538462,0.2506427
1.428571,0.1431437
1.333333,0.3501518
1.25,0.4690984
1.176471,0.1994328
1.111111,0.07137975
1.052632,0.03285727
1.0,0.01933854
0.952381,0.0118688
0.9090909,0.006761418
0.8695652,0.003598243
0.8333333,0.001864517
0.8,9.688869E-4
0.7692308,5.120963E-4
0.7407407,2.769297E-4
0.7142857,1.535082E-4
0.6896552,8.726552E-5
0.6666667,5.092667E-5
0.6451613,3.054453E-5
0.625,1.892501E-5
0.6060606,1.202098E-5
0.5882353,7.934987E-6
0.5714286,5.419496E-6
0.5555556,3.894887E-6
0.5405405,2.851202E-6
0.5263158,2.149401E-6
0.5128205,1.659532E-6
0.5,1.348889E-6
0.4878049,1.120475E-6
0.4761905,9.070911E-7
0.4651163,7.780919E-7
0.4545455,6.67455E-7
0.4444444,5.513841E-7
0.4347826,4.97025E-7
0.4255319,4.216917E-7
0.4166667,3.772546E-7
