1000/T (1/K),Ignition_time_3_by_max_dT/dt (sec)
1.666667,0.5413035
1.538462,0.09789973
1.428571,0.04480603
1.333333,0.07560862
1.25,0.1547831
1.176471,0.1206363
1.111111,0.05486232
1.052632,0.02310457
1.0,0.01070473
0.952381,0.005686712
0.9090909,0.003292713
0.8695652,0.001903554
0.8333333,0.001057375
0.8,5.721013E-4
0.7692308,3.08085E-4
0.7407407,1.675372E-4
0.7142857,9.310813E-5
0.6896552,5.348816E-5
0.6666667,3.202551E-5
0.6451613,2.006824E-5
0.625,1.320296E-5
0.6060606,9.038122E-6
0.5882353,6.402481E-6
0.5714286,4.692954E-6
0.5555556,3.496287E-6
0.5405405,2.676471E-6
0.5263158,2.103123E-6
0.5128205,1.655314E-6
0.5,1.342703E-6
0.4878049,1.098385E-6
0.4761905,9.269174E-7
0.4651163,7.736723E-7
0.4545455,6.820398E-7
0.4444444,5.880806E-7
0.4347826,5.001863E-7
0.4255319,4.58547E-7
0.4166667,4.067811E-7
