,Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei
4,1.0,0.72,0.565,0.17,1.6130000000000002,0.723,0.3255,0.4945
8,1.0,0.295,0.22,0.07,0.1365,0.0575,0.0295,0.035
10,1.0,0.495,0.375,0.115,0.507,0.241,0.103,0.15
28,1.0,0.65,0.505,0.19,1.274,0.59,0.23,0.391
38,1.0,0.405,0.3,0.085,0.3035,0.15,0.0505,0.08800000000000001
41,1.0,0.565,0.435,0.185,0.9815,0.329,0.136,0.39
43,1.0,0.455,0.365,0.115,0.4305,0.184,0.108,0.1245
49,1.0,0.595,0.47,0.25,1.283,0.462,0.2475,0.445
55,1.0,0.315,0.23,0.07,0.16399999999999998,0.0625,0.04,0.045
68,1.0,0.525,0.385,0.1,0.5115,0.246,0.1005,0.1455
71,1.0,0.545,0.435,0.145,0.9385,0.3685,0.1245,0.345
76,1.0,0.615,0.52,0.15,1.3435,0.629,0.2605,0.345
96,1.0,0.65,0.505,0.165,1.16,0.4785,0.274,0.349
111,1.0,0.57,0.43,0.145,0.833,0.354,0.14400000000000002,0.2815
119,1.0,0.365,0.275,0.135,0.24,0.108,0.0445,0.0735
126,1.0,0.66,0.525,0.2,1.463,0.6525,0.2995,0.422
135,1.0,0.53,0.43,0.15,0.741,0.325,0.1855,0.196
136,1.0,0.14,0.105,0.035,0.0145,0.005,0.0035,0.005
154,1.0,0.53,0.405,0.13,0.6615,0.2945,0.1395,0.19
156,1.0,0.5,0.37,0.135,0.45,0.1715,0.1055,0.155
158,1.0,0.635,0.495,0.18,1.596,0.617,0.317,0.37
159,1.0,0.48,0.365,0.135,0.6395,0.2945,0.113,0.175
163,1.0,0.475,0.36,0.125,0.447,0.1695,0.081,0.14
168,1.0,0.62,0.485,0.175,1.2155,0.545,0.253,0.345
174,1.0,0.565,0.465,0.15,1.1815,0.581,0.2215,0.3095
175,1.0,0.41,0.325,0.11,0.326,0.1325,0.075,0.101
179,1.0,0.65,0.51,0.17,1.567,0.7245,0.349,0.391
188,1.0,0.45,0.33,0.115,0.365,0.14,0.0825,0.1245
194,1.0,0.37,0.295,0.1,0.2685,0.1165,0.056,0.0835
196,1.0,0.55,0.425,0.16,0.7929999999999999,0.343,0.2035,0.215
202,1.0,0.525,0.4,0.14,0.601,0.2625,0.1285,0.1835
210,1.0,0.625,0.48,0.16,1.1415,0.5795,0.2145,0.29
222,1.0,0.6,0.48,0.17,1.056,0.4575,0.2435,0.3135
224,1.0,0.365,0.28,0.09,0.196,0.0865,0.036000000000000004,0.0605
243,1.0,0.68,0.55,0.21,1.7445,0.5975,0.305,0.625
246,1.0,0.695,0.525,0.175,1.742,0.696,0.389,0.505
251,1.0,0.525,0.43,0.165,0.7170000000000001,0.289,0.1745,0.195
253,1.0,0.28,0.21,0.065,0.111,0.0425,0.0285,0.03
258,1.0,0.45,0.35,0.12,0.468,0.2005,0.1065,0.1325
262,1.0,0.13,0.095,0.035,0.0105,0.005,0.0065,0.0035
263,1.0,0.39,0.3,0.1,0.2665,0.1105,0.059,0.084
280,1.0,0.53,0.405,0.12,0.632,0.2715,0.14800000000000002,0.1875
287,1.0,0.565,0.505,0.21,1.2765,0.501,0.279,0.355
300,1.0,0.49,0.385,0.125,0.649,0.32,0.124,0.1695
301,1.0,0.285,0.215,0.06,0.0935,0.031,0.023,0.03
306,1.0,0.745,0.585,0.215,2.499,0.9265,0.472,0.7
315,1.0,0.525,0.4,0.13,0.6995,0.3115,0.131,0.223
317,1.0,0.5,0.39,0.125,0.583,0.294,0.132,0.1605
322,1.0,0.57,0.43,0.16,0.8109999999999999,0.3875,0.159,0.2285
