,Constant,female,male,len,dia,hei,w_wei,s_wei,v_wei,sh_wei,y_pred,y_act
5,1.0,1.0,0.0,0.66,0.565,0.195,1.7605,0.6920000000000001,0.3265,0.5,15.978093317127376,16.0
6,1.0,1.0,0.0,0.725,0.56,0.185,1.7919999999999998,0.873,0.3670000000000001,0.435,10.99717208500686,11.0
48,1.0,1.0,0.0,0.455,0.35,0.14,0.5185,0.221,0.1265,0.135,10.003487770898001,10.0
138,1.0,1.0,0.0,0.71,0.565,0.195,1.7265,0.638,0.3365,0.565,17.07964700062015,17.0
188,1.0,0.0,1.0,0.375,0.285,0.095,0.253,0.096,0.0575,0.0925,8.963684003650288,9.0
275,1.0,0.0,0.0,0.3,0.22,0.09,0.1425,0.057,0.0335,0.043,7.031968737094736,7.0
418,1.0,1.0,0.0,0.645,0.5,0.17,1.1845,0.4805,0.274,0.355,12.968173232477982,13.0
429,1.0,1.0,0.0,0.66,0.535,0.175,1.5175,0.711,0.3125,0.415,11.932983649762631,12.0
480,1.0,0.0,1.0,0.43,0.35,0.11,0.406,0.1675,0.081,0.135,9.987186953109434,10.0
482,1.0,1.0,0.0,0.525,0.425,0.14,0.8735,0.4205,0.182,0.2225,10.012901790888597,10.0
509,1.0,1.0,0.0,0.595,0.48,0.2,0.975,0.358,0.2035,0.34,14.927003718442304,15.0
660,1.0,0.0,0.0,0.275,0.195,0.065,0.106,0.054000000000000006,0.02,0.028,5.956077318661505,6.0
670,1.0,1.0,0.0,0.61,0.48,0.175,1.0675,0.391,0.21600000000000005,0.42,15.038538657447532,15.0
793,1.0,1.0,0.0,0.475,0.375,0.15,0.5589999999999999,0.1955,0.1215,0.1945,11.982989361343703,12.0
838,1.0,0.0,1.0,0.525,0.41,0.165,0.8005,0.2635,0.1985,0.25,13.009824499187165,13.0
1007,1.0,0.0,0.0,0.325,0.25,0.08,0.1735,0.0765,0.0345,0.049,6.996101911423378,7.0
1140,1.0,1.0,0.0,0.5,0.385,0.13,0.768,0.2625,0.095,0.27,13.094257825362305,13.0
1284,1.0,0.0,0.0,0.455,0.325,0.135,0.82,0.4005,0.1715,0.211,7.982022511924795,8.0
1302,1.0,1.0,0.0,0.53,0.4,0.165,0.772,0.2855,0.1975,0.23,11.98228510722169,12.0
1532,1.0,0.0,0.0,0.255,0.185,0.06,0.0925,0.039,0.021,0.025,5.919863615457318,6.0
1602,1.0,1.0,0.0,0.37,0.29,0.115,0.25,0.111,0.057,0.075,9.029439701793907,9.0
1604,1.0,1.0,0.0,0.42,0.33,0.125,0.463,0.18600000000000005,0.11,0.145,10.013712165905392,10.0
1744,1.0,0.0,1.0,0.58,0.455,0.195,1.859,0.945,0.426,0.441,8.985775513896662,9.0
1885,1.0,1.0,0.0,0.645,0.5,0.225,1.626,0.5870000000000001,0.4055,0.41,15.05859115985096,15.0
1991,1.0,1.0,0.0,0.545,0.445,0.175,0.8525,0.3465,0.189,0.295,12.944713342436755,13.0
2257,1.0,0.0,1.0,0.475,0.375,0.125,0.593,0.277,0.115,0.18,9.999560378232955,10.0
2319,1.0,1.0,0.0,0.525,0.415,0.15,0.7155,0.2355,0.171,0.27,13.012204547048338,13.0
2429,1.0,0.0,1.0,0.72,0.565,0.2,2.1055,1.017,0.363,0.494,11.989674609637149,12.0
2535,1.0,1.0,0.0,0.62,0.485,0.165,1.166,0.483,0.238,0.355,12.97163734753591,13.0
2539,1.0,0.0,1.0,0.625,0.515,0.165,1.217,0.667,0.2065,0.3115,10.0783019218864,10.0
2559,1.0,1.0,0.0,0.64,0.525,0.215,1.779,0.4535,0.2855,0.55,21.960342689434786,22.0
2655,1.0,0.0,0.0,0.235,0.175,0.065,0.0615,0.0205,0.02,0.019,6.038621961587359,6.0
2668,1.0,0.0,0.0,0.345,0.285,0.1,0.2225,0.0865,0.058,0.075,8.043307695108506,8.0
2919,1.0,1.0,0.0,0.445,0.355,0.15,0.485,0.181,0.125,0.155,11.05423460220197,11.0
2981,1.0,0.0,1.0,0.695,0.56,0.19,1.494,0.588,0.3425,0.485,15.052654359286965,15.0
3043,1.0,0.0,0.0,0.4,0.3,0.11,0.315,0.109,0.067,0.12,8.976061743457523,9.0
3110,1.0,0.0,0.0,0.31,0.235,0.075,0.1515,0.056,0.0315,0.05,7.002593819888504,7.0
3119,1.0,0.0,0.0,0.25,0.19,0.06,0.0765,0.036000000000000004,0.0115,0.0245,6.025651766148444,6.0
3259,1.0,0.0,0.0,0.505,0.405,0.13,0.599,0.2245,0.1175,0.225,10.992971472267616,11.0
3314,1.0,0.0,1.0,0.67,0.545,0.2,1.7025,0.833,0.374,0.41,11.06740127331263,11.0
3403,1.0,0.0,0.0,0.235,0.17,0.065,0.0625,0.023,0.014,0.022,6.038242003343044,6.0
3408,1.0,1.0,0.0,0.475,0.375,0.125,0.5785,0.2775,0.085,0.155,9.969795474241538,10.0
3446,1.0,0.0,1.0,0.57,0.45,0.155,0.91,0.326,0.1895,0.355,13.93289813934609,14.0
3530,1.0,0.0,1.0,0.605,0.47,0.18,1.1405,0.3755,0.2805,0.385,14.91774193263853,15.0
3725,1.0,0.0,0.0,0.235,0.18,0.06,0.058,0.022,0.0145,0.018000000000000002,5.972577187094978,6.0
