,Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei
1,1.0,0.655,0.525,0.19,1.3595,0.564,0.3215,0.3985
6,1.0,0.57,0.445,0.145,0.8775,0.412,0.217,0.22
16,1.0,0.18,0.125,0.035,0.0265,0.0095,0.0055,0.0085
18,1.0,0.36,0.27,0.085,0.196,0.0875,0.035,0.064
21,1.0,0.32,0.235,0.065,0.1385,0.058,0.0225,0.05
23,1.0,0.37,0.28,0.09,0.2565,0.1255,0.0645,0.0645
24,1.0,0.61,0.47,0.16,1.0745,0.4925,0.236,0.29
33,1.0,0.625,0.515,0.17,1.331,0.5725,0.3005,0.361
34,1.0,0.425,0.325,0.115,0.3685,0.162,0.0865,0.1045
41,1.0,0.565,0.435,0.185,0.9815,0.329,0.136,0.39
44,1.0,0.435,0.33,0.11,0.38,0.1515,0.0945,0.11
46,1.0,0.55,0.46,0.175,0.8690000000000001,0.3155,0.1825,0.32
54,1.0,0.615,0.475,0.155,1.027,0.447,0.25,0.285
55,1.0,0.315,0.23,0.07,0.16399999999999998,0.0625,0.04,0.045
57,1.0,0.64,0.525,0.175,1.382,0.6459999999999999,0.3115,0.37
59,1.0,0.655,0.54,0.215,1.5555,0.695,0.29600000000000004,0.444
61,1.0,0.615,0.475,0.155,1.115,0.484,0.2115,0.355
62,1.0,0.605,0.485,0.16,1.2009999999999998,0.417,0.2875,0.38
63,1.0,0.585,0.46,0.145,0.8465,0.339,0.16699999999999998,0.295
64,1.0,0.41,0.305,0.095,0.2625,0.1,0.0515,0.09
66,1.0,0.33,0.255,0.095,0.172,0.066,0.0255,0.06
69,1.0,0.6,0.46,0.145,0.9325,0.3985,0.2245,0.248
71,1.0,0.545,0.435,0.145,0.9385,0.3685,0.1245,0.345
72,1.0,0.63,0.475,0.15,1.072,0.433,0.2975,0.315
74,1.0,0.65,0.5,0.19,1.464,0.6415,0.339,0.4245
78,1.0,0.505,0.405,0.13,0.6015,0.3015,0.11,0.18
79,1.0,0.29,0.21,0.06,0.1045,0.0415,0.022,0.035
80,1.0,0.58,0.445,0.135,0.95,0.484,0.182,0.2325
82,1.0,0.47,0.38,0.125,0.4845,0.211,0.1075,0.142
83,1.0,0.65,0.475,0.165,1.3875,0.58,0.3485,0.3095
86,1.0,0.525,0.4,0.125,0.5655,0.2435,0.119,0.175
87,1.0,0.455,0.35,0.105,0.4445,0.213,0.107,0.1115
89,1.0,0.55,0.44,0.16,0.985,0.4645,0.201,0.27
90,1.0,0.56,0.43,0.15,0.8825,0.3465,0.172,0.31
93,1.0,0.645,0.5,0.175,1.3375,0.5539999999999999,0.308,0.415
94,1.0,0.55,0.43,0.15,0.655,0.2635,0.122,0.221
95,1.0,0.635,0.475,0.17,1.1935,0.5205,0.2695,0.3665
98,1.0,0.58,0.465,0.15,0.9065,0.371,0.1965,0.29
102,1.0,0.54,0.42,0.14,0.74,0.3595,0.159,0.1985
104,1.0,0.425,0.315,0.1,0.377,0.1645,0.07200000000000001,0.105
105,1.0,0.295,0.22,0.085,0.1285,0.0585,0.027000000000000003,0.0365
107,1.0,0.385,0.285,0.09,0.248,0.0935,0.066,0.07
110,1.0,0.415,0.31,0.095,0.34,0.181,0.057,0.083
111,1.0,0.57,0.43,0.145,0.833,0.354,0.14400000000000002,0.2815
113,1.0,0.575,0.455,0.155,0.8725,0.349,0.2095,0.285
