,Constant,female,male,len,dia,hei,w_wei,s_wei,v_wei,sh_wei
35,1.0,1.0,0.0,0.51,0.37,0.21,1.183,0.508,0.292,0.343
173,1.0,1.0,0.0,0.375,0.27,0.135,0.597,0.272,0.131,0.1675
441,1.0,0.0,1.0,0.27,0.2,0.08,0.1205,0.0465,0.028,0.04
971,1.0,0.0,1.0,0.335,0.265,0.105,0.222,0.0935,0.056,0.075
1230,1.0,0.0,1.0,0.27,0.195,0.08,0.1,0.0385,0.0195,0.03
1323,1.0,1.0,0.0,0.545,0.415,0.2,1.358,0.5670000000000001,0.318,0.403
1841,1.0,0.0,0.0,0.235,0.175,0.08,0.0645,0.0215,0.0175,0.0215
2299,1.0,0.0,1.0,0.58,0.465,0.16,1.0345,0.315,0.26,0.3635
2361,1.0,0.0,1.0,0.545,0.45,0.15,0.978,0.3365,0.1905,0.3
2579,1.0,0.0,0.0,0.18,0.125,0.035,0.0265,0.0095,0.0055,0.0085
2852,1.0,0.0,1.0,0.63,0.515,0.155,1.259,0.4105,0.197,0.41
2872,1.0,0.0,1.0,0.57,0.48,0.175,1.185,0.474,0.261,0.38
3055,1.0,0.0,1.0,0.2,0.14,0.055,0.035,0.0145,0.008,0.01
3493,1.0,1.0,0.0,0.49,0.38,0.155,0.578,0.2395,0.1255,0.18
3544,1.0,0.0,0.0,0.155,0.105,0.05,0.0175,0.005,0.0035,0.005
3563,1.0,1.0,0.0,0.425,0.33,0.115,0.406,0.1635,0.081,0.1355
