,Constant,female,male,len,dia,hei,w_wei,s_wei,v_wei,sh_wei
43,1.0,0.0,1.0,0.495,0.375,0.115,0.6245,0.282,0.14300000000000002,0.155
101,1.0,0.0,0.0,0.195,0.15,0.045,0.0375,0.018000000000000002,0.006,0.011
143,1.0,0.0,1.0,0.48,0.385,0.145,0.64,0.2925,0.1405,0.1575
339,1.0,0.0,0.0,0.205,0.155,0.045,0.0495,0.0235,0.011,0.014
381,1.0,1.0,0.0,0.66,0.475,0.18,1.3695,0.6409999999999999,0.294,0.335
409,1.0,0.0,1.0,0.59,0.47,0.16,1.206,0.479,0.2425,0.309
500,1.0,0.0,1.0,0.53,0.41,0.14,0.6809999999999999,0.3095,0.1415,0.1835
515,1.0,1.0,0.0,0.37,0.275,0.085,0.2405,0.104,0.0535,0.07
531,1.0,0.0,0.0,0.315,0.235,0.075,0.1285,0.051,0.028,0.0405
584,1.0,1.0,0.0,0.475,0.38,0.135,0.486,0.1735,0.07,0.185
610,1.0,1.0,0.0,0.36,0.27,0.09,0.1885,0.0845,0.0385,0.055
718,1.0,0.0,0.0,0.3,0.235,0.08,0.131,0.05,0.0265,0.043
779,1.0,0.0,0.0,0.3,0.215,0.05,0.1185,0.048,0.0225,0.042
810,1.0,0.0,1.0,0.245,0.18,0.065,0.0635,0.0245,0.0135,0.02
842,1.0,1.0,0.0,0.595,0.475,0.16,1.1405,0.547,0.231,0.271
908,1.0,1.0,0.0,0.58,0.48,0.18,1.2495,0.4945,0.27,0.371
918,1.0,1.0,0.0,0.51,0.4,0.125,0.545,0.261,0.115,0.1385
940,1.0,0.0,1.0,0.375,0.305,0.09,0.3245,0.1395,0.0565,0.095
982,1.0,1.0,0.0,0.525,0.44,0.125,0.7115,0.3205,0.159,0.1915
996,1.0,1.0,0.0,0.675,0.53,0.195,1.4985,0.62,0.375,0.425
1015,1.0,0.0,1.0,0.7,0.6,0.23,2.003,0.8105,0.4045,0.5755
1036,1.0,1.0,0.0,0.61,0.485,0.18,1.2795,0.5735,0.2855,0.355
1091,1.0,0.0,1.0,0.58,0.465,0.15,0.9065,0.371,0.1965,0.29
1171,1.0,1.0,0.0,0.505,0.4,0.125,0.583,0.246,0.13,0.175
1241,1.0,1.0,0.0,0.64,0.5,0.15,1.0705,0.371,0.2705,0.36
1259,1.0,0.0,0.0,0.41,0.32,0.095,0.2905,0.141,0.063,0.073
1279,1.0,0.0,0.0,0.47,0.355,0.12,0.3685,0.126,0.0835,0.1365
1295,1.0,0.0,1.0,0.58,0.45,0.155,0.8275,0.321,0.1975,0.2445
1339,1.0,0.0,1.0,0.61,0.48,0.14,1.031,0.4375,0.2615,0.27
1354,1.0,0.0,0.0,0.15,0.1,0.025,0.015,0.0045,0.004,0.005
1378,1.0,0.0,0.0,0.44,0.34,0.105,0.369,0.16399999999999998,0.08,0.1015
1390,1.0,1.0,0.0,0.625,0.49,0.175,1.1075,0.4485,0.2165,0.3595
1411,1.0,0.0,1.0,0.57,0.46,0.17,0.9035,0.4075,0.1935,0.214
1464,1.0,0.0,1.0,0.645,0.505,0.165,1.307,0.4335,0.262,0.52
1505,1.0,1.0,0.0,0.58,0.46,0.18,1.0515,0.4095,0.2595,0.276
1594,1.0,0.0,0.0,0.485,0.38,0.12,0.4725,0.2075,0.1075,0.147
1600,1.0,0.0,1.0,0.18,0.125,0.05,0.023,0.0085,0.0055,0.01
1641,1.0,0.0,1.0,0.5,0.39,0.125,0.5215,0.2485,0.117,0.131
1682,1.0,0.0,0.0,0.075,0.055,0.01,0.002,0.001,0.0005,0.0015
1698,1.0,1.0,0.0,0.585,0.45,0.125,0.8740000000000001,0.3545,0.2075,0.225
1730,1.0,0.0,1.0,0.67,0.525,0.2,1.7405,0.6205,0.297,0.657
1752,1.0,0.0,0.0,0.42,0.32,0.115,0.376,0.16899999999999998,0.092,0.1
1795,1.0,1.0,0.0,0.73,0.555,0.18,1.6895,0.6555,0.1965,0.4935
1830,1.0,0.0,1.0,0.575,0.45,0.155,0.948,0.429,0.206,0.259
1850,1.0,0.0,1.0,0.645,0.52,0.175,1.561,0.7090000000000001,0.3555,0.4
1908,1.0,0.0,0.0,0.19,0.14,0.03,0.0315,0.0125,0.005,0.0105
1910,1.0,0.0,1.0,0.495,0.4,0.155,0.8085,0.2345,0.1155,0.35
1916,1.0,1.0,0.0,0.575,0.465,0.195,0.9965,0.417,0.247,0.47
1947,1.0,0.0,1.0,0.21,0.15,0.05,0.0385,0.0155,0.0085,0.01
2031,1.0,0.0,1.0,0.55,0.405,0.15,0.9235,0.412,0.2135,0.24
2060,1.0,1.0,0.0,0.575,0.46,0.145,0.9945,0.466,0.229,0.265
2142,1.0,1.0,0.0,0.53,0.42,0.17,0.828,0.41,0.208,0.1505
2210,1.0,0.0,1.0,0.755,0.58,0.205,2.0065,0.8295,0.4015,0.595
2239,1.0,0.0,1.0,0.155,0.11,0.04,0.0155,0.0065,0.003,0.005
2336,1.0,0.0,1.0,0.5,0.39,0.135,0.6595,0.3145,0.1535,0.1565
2349,1.0,0.0,1.0,0.635,0.51,0.185,1.308,0.544,0.318,0.377
2397,1.0,0.0,0.0,0.395,0.295,0.09,0.3025,0.14300000000000002,0.0665,0.0765
2471,1.0,0.0,1.0,0.63,0.48,0.15,1.1785,0.5185,0.248,0.3235
2498,1.0,1.0,0.0,0.46,0.35,0.115,0.46,0.2025,0.1115,0.1165
2554,1.0,0.0,1.0,0.585,0.465,0.16,0.9555,0.4595,0.236,0.265
2568,1.0,1.0,0.0,0.72,0.525,0.18,1.445,0.631,0.3215,0.435
2575,1.0,0.0,1.0,0.61,0.48,0.165,1.2435,0.5575,0.2675,0.3720000000000001
2578,1.0,0.0,1.0,0.485,0.37,0.13,0.526,0.2485,0.105,0.1555
2628,1.0,0.0,1.0,0.635,0.5,0.18,1.154,0.4405,0.2315,0.387
2721,1.0,1.0,0.0,0.465,0.35,0.125,0.482,0.23,0.106,0.1095
2735,1.0,0.0,0.0,0.28,0.21,0.085,0.1065,0.039,0.0295,0.03
2745,1.0,0.0,0.0,0.55,0.45,0.13,0.804,0.3375,0.1405,0.23
2746,1.0,0.0,0.0,0.425,0.325,0.1,0.398,0.1185,0.0645,0.0945
2833,1.0,1.0,0.0,0.645,0.49,0.16,1.144,0.5015,0.289,0.319
2846,1.0,1.0,0.0,0.53,0.395,0.145,0.775,0.308,0.16899999999999998,0.255
2948,1.0,1.0,0.0,0.63,0.475,0.15,1.072,0.433,0.2975,0.315
3005,1.0,0.0,0.0,0.385,0.3,0.09,0.247,0.1225,0.044,0.0675
3008,1.0,0.0,0.0,0.725,0.55,0.22,2.0495,0.7735,0.4405,0.655
3011,1.0,0.0,1.0,0.325,0.23,0.09,0.147,0.06,0.034,0.045
3088,1.0,0.0,0.0,0.36,0.27,0.085,0.196,0.0875,0.035,0.064
3154,1.0,1.0,0.0,0.655,0.53,0.165,1.2835,0.583,0.1255,0.4
3193,1.0,0.0,0.0,0.375,0.29,0.095,0.213,0.096,0.041,0.061
3220,1.0,0.0,0.0,0.37,0.28,0.085,0.198,0.0805,0.0455,0.058
3250,1.0,0.0,1.0,0.59,0.465,0.14,1.046,0.4695,0.263,0.263
3290,1.0,0.0,1.0,0.49,0.465,0.125,0.5225,0.235,0.13,0.141
3313,1.0,0.0,0.0,0.24,0.175,0.065,0.0665,0.031,0.0135,0.017
3339,1.0,0.0,1.0,0.54,0.41,0.13,0.56,0.2375,0.1065,0.175
3395,1.0,0.0,1.0,0.605,0.475,0.145,0.884,0.3835,0.1905,0.27
3423,1.0,0.0,1.0,0.62,0.46,0.17,1.127,0.535,0.2635,0.29600000000000004
3438,1.0,0.0,0.0,0.47,0.38,0.125,0.4845,0.211,0.1075,0.142
3452,1.0,1.0,0.0,0.63,0.5,0.18,1.1965,0.514,0.2325,0.3995
3456,1.0,0.0,1.0,0.665,0.525,0.16,1.3630000000000002,0.629,0.279,0.34
3553,1.0,1.0,0.0,0.605,0.485,0.16,1.2009999999999998,0.417,0.2875,0.38
3566,1.0,0.0,1.0,0.515,0.41,0.14,0.7355,0.3065,0.13699999999999998,0.2
3653,1.0,0.0,1.0,0.48,0.375,0.115,0.6765,0.3205,0.1065,0.17
3670,1.0,0.0,0.0,0.215,0.15,0.055,0.041,0.015,0.009000000000000001,0.0125
3702,1.0,0.0,1.0,0.63,0.51,0.17,1.1885,0.4915,0.3065,0.348
3714,1.0,0.0,0.0,0.58,0.435,0.15,0.8915,0.363,0.1925,0.2515
