,Constant,female,male,len,dia,hei,w_wei,s_wei,v_wei,sh_wei
9,1.0,0.0,0.0,0.425,0.345,0.125,0.425,0.16,0.0795,0.154
42,1.0,1.0,0.0,0.52,0.425,0.165,0.9885,0.396,0.225,0.32
47,1.0,1.0,0.0,0.6,0.475,0.18,1.1805,0.4345,0.2475,0.425
85,1.0,0.0,0.0,0.435,0.335,0.11,0.383,0.1555,0.0675,0.135
104,1.0,0.0,1.0,0.54,0.41,0.145,0.989,0.2815,0.213,0.355
133,1.0,0.0,0.0,0.44,0.31,0.115,0.3625,0.134,0.08199999999999999,0.12
181,1.0,1.0,0.0,0.6,0.475,0.15,1.0075,0.4425,0.221,0.28
221,1.0,1.0,0.0,0.505,0.38,0.145,0.6509999999999999,0.2935,0.19,0.17
267,1.0,0.0,0.0,0.415,0.325,0.115,0.3285,0.1405,0.051,0.106
273,1.0,0.0,0.0,0.58,0.49,0.195,1.3165,0.5305,0.254,0.41
344,1.0,0.0,1.0,0.67,0.505,0.16,1.2585,0.6255,0.311,0.308
353,1.0,1.0,0.0,0.58,0.455,0.155,0.8365,0.315,0.1385,0.32
361,1.0,0.0,0.0,0.42,0.325,0.1,0.368,0.1675,0.0625,0.1135
408,1.0,1.0,0.0,0.65,0.545,0.165,1.5659999999999998,0.6645,0.3455,0.415
433,1.0,1.0,0.0,0.67,0.55,0.155,1.5659999999999998,0.858,0.339,0.354
490,1.0,1.0,0.0,0.565,0.455,0.175,1.013,0.342,0.207,0.35
537,1.0,1.0,0.0,0.38,0.305,0.105,0.281,0.1045,0.0615,0.09
557,1.0,0.0,1.0,0.565,0.455,0.17,0.9065,0.342,0.156,0.32
615,1.0,0.0,1.0,0.35,0.255,0.065,0.179,0.0705,0.0385,0.06
625,1.0,1.0,0.0,0.61,0.485,0.165,1.0915,0.3935,0.2435,0.33
643,1.0,0.0,1.0,0.64,0.515,0.08,1.042,0.515,0.1755,0.175
649,1.0,1.0,0.0,0.47,0.375,0.105,0.513,0.232,0.142,0.13
661,1.0,0.0,1.0,0.635,0.48,0.145,1.181,0.665,0.229,0.225
692,1.0,1.0,0.0,0.745,0.585,0.19,1.966,0.8435,0.4370000000000001,0.5855
778,1.0,1.0,0.0,0.73,0.57,0.165,2.0165,1.0685,0.418,0.435
