,Constant,female,male,len,dia,hei,w_wei,s_wei,v_wei,sh_wei
5,1.0,1.0,0.0,0.66,0.565,0.195,1.7605,0.6920000000000001,0.3265,0.5
6,1.0,1.0,0.0,0.725,0.56,0.185,1.7919999999999998,0.873,0.3670000000000001,0.435
48,1.0,1.0,0.0,0.455,0.35,0.14,0.5185,0.221,0.1265,0.135
138,1.0,1.0,0.0,0.71,0.565,0.195,1.7265,0.638,0.3365,0.565
188,1.0,0.0,1.0,0.375,0.285,0.095,0.253,0.096,0.0575,0.0925
275,1.0,0.0,0.0,0.3,0.22,0.09,0.1425,0.057,0.0335,0.043
418,1.0,1.0,0.0,0.645,0.5,0.17,1.1845,0.4805,0.274,0.355
429,1.0,1.0,0.0,0.66,0.535,0.175,1.5175,0.711,0.3125,0.415
480,1.0,0.0,1.0,0.43,0.35,0.11,0.406,0.1675,0.081,0.135
482,1.0,1.0,0.0,0.525,0.425,0.14,0.8735,0.4205,0.182,0.2225
509,1.0,1.0,0.0,0.595,0.48,0.2,0.975,0.358,0.2035,0.34
660,1.0,0.0,0.0,0.275,0.195,0.065,0.106,0.054000000000000006,0.02,0.028
670,1.0,1.0,0.0,0.61,0.48,0.175,1.0675,0.391,0.21600000000000005,0.42
793,1.0,1.0,0.0,0.475,0.375,0.15,0.5589999999999999,0.1955,0.1215,0.1945
838,1.0,0.0,1.0,0.525,0.41,0.165,0.8005,0.2635,0.1985,0.25
1007,1.0,0.0,0.0,0.325,0.25,0.08,0.1735,0.0765,0.0345,0.049
1140,1.0,1.0,0.0,0.5,0.385,0.13,0.768,0.2625,0.095,0.27
1284,1.0,0.0,0.0,0.455,0.325,0.135,0.82,0.4005,0.1715,0.211
1302,1.0,1.0,0.0,0.53,0.4,0.165,0.772,0.2855,0.1975,0.23
1532,1.0,0.0,0.0,0.255,0.185,0.06,0.0925,0.039,0.021,0.025
1602,1.0,1.0,0.0,0.37,0.29,0.115,0.25,0.111,0.057,0.075
1604,1.0,1.0,0.0,0.42,0.33,0.125,0.463,0.18600000000000005,0.11,0.145
1744,1.0,0.0,1.0,0.58,0.455,0.195,1.859,0.945,0.426,0.441
1885,1.0,1.0,0.0,0.645,0.5,0.225,1.626,0.5870000000000001,0.4055,0.41
1991,1.0,1.0,0.0,0.545,0.445,0.175,0.8525,0.3465,0.189,0.295
2257,1.0,0.0,1.0,0.475,0.375,0.125,0.593,0.277,0.115,0.18
2319,1.0,1.0,0.0,0.525,0.415,0.15,0.7155,0.2355,0.171,0.27
2429,1.0,0.0,1.0,0.72,0.565,0.2,2.1055,1.017,0.363,0.494
2535,1.0,1.0,0.0,0.62,0.485,0.165,1.166,0.483,0.238,0.355
2539,1.0,0.0,1.0,0.625,0.515,0.165,1.217,0.667,0.2065,0.3115
2559,1.0,1.0,0.0,0.64,0.525,0.215,1.779,0.4535,0.2855,0.55
2655,1.0,0.0,0.0,0.235,0.175,0.065,0.0615,0.0205,0.02,0.019
2668,1.0,0.0,0.0,0.345,0.285,0.1,0.2225,0.0865,0.058,0.075
2919,1.0,1.0,0.0,0.445,0.355,0.15,0.485,0.181,0.125,0.155
2981,1.0,0.0,1.0,0.695,0.56,0.19,1.494,0.588,0.3425,0.485
3043,1.0,0.0,0.0,0.4,0.3,0.11,0.315,0.109,0.067,0.12
3110,1.0,0.0,0.0,0.31,0.235,0.075,0.1515,0.056,0.0315,0.05
3119,1.0,0.0,0.0,0.25,0.19,0.06,0.0765,0.036000000000000004,0.0115,0.0245
3259,1.0,0.0,0.0,0.505,0.405,0.13,0.599,0.2245,0.1175,0.225
3314,1.0,0.0,1.0,0.67,0.545,0.2,1.7025,0.833,0.374,0.41
3403,1.0,0.0,0.0,0.235,0.17,0.065,0.0625,0.023,0.014,0.022
3408,1.0,1.0,0.0,0.475,0.375,0.125,0.5785,0.2775,0.085,0.155
3446,1.0,0.0,1.0,0.57,0.45,0.155,0.91,0.326,0.1895,0.355
3530,1.0,0.0,1.0,0.605,0.47,0.18,1.1405,0.3755,0.2805,0.385
3725,1.0,0.0,0.0,0.235,0.18,0.06,0.058,0.022,0.0145,0.018000000000000002
