,Constant,female,male,len,dia,hei,w_wei,s_wei,v_wei,sh_wei
1,1.0,0.0,1.0,0.565,0.445,0.15,0.7959999999999999,0.3635,0.184,0.219
2,1.0,0.0,0.0,0.435,0.34,0.115,0.3925,0.1825,0.078,0.1145
19,1.0,0.0,0.0,0.27,0.205,0.075,0.118,0.059,0.031,0.0305
32,1.0,0.0,1.0,0.6,0.46,0.18,1.14,0.423,0.2575,0.365
40,1.0,0.0,1.0,0.66,0.525,0.2,1.489,0.6065,0.3795,0.421
43,1.0,0.0,1.0,0.495,0.375,0.115,0.6245,0.282,0.14300000000000002,0.155
46,1.0,0.0,1.0,0.545,0.43,0.155,0.8035,0.409,0.14400000000000002,0.228
49,1.0,0.0,0.0,0.505,0.385,0.12,0.6005,0.239,0.142,0.185
74,1.0,1.0,0.0,0.61,0.5,0.18,1.4380000000000002,0.5185,0.3735,0.3345
83,1.0,1.0,0.0,0.65,0.51,0.185,1.375,0.531,0.384,0.3985
87,1.0,0.0,1.0,0.665,0.525,0.155,1.3575,0.5325,0.3045,0.4485
94,1.0,0.0,0.0,0.5,0.375,0.14,0.5495,0.248,0.112,0.1585
97,1.0,0.0,0.0,0.45,0.33,0.11,0.3685,0.16,0.0885,0.102
99,1.0,1.0,0.0,0.535,0.42,0.13,0.6990000000000001,0.3125,0.1565,0.2035
101,1.0,0.0,0.0,0.195,0.15,0.045,0.0375,0.018000000000000002,0.006,0.011
117,1.0,0.0,1.0,0.68,0.54,0.195,1.7825,0.5565,0.3235,0.4285
135,1.0,1.0,0.0,0.725,0.6,0.2,1.737,0.6970000000000001,0.3585,0.595
137,1.0,1.0,0.0,0.49,0.37,0.105,0.5265,0.249,0.1005,0.14800000000000002
143,1.0,0.0,1.0,0.48,0.385,0.145,0.64,0.2925,0.1405,0.1575
158,1.0,1.0,0.0,0.68,0.515,0.175,1.6185,0.5125,0.409,0.62
185,1.0,0.0,1.0,0.59,0.45,0.155,0.8740000000000001,0.369,0.2135,0.24
228,1.0,1.0,0.0,0.605,0.475,0.165,1.056,0.433,0.2195,0.35700000000000004
