,Constant,female,male,len,dia,hei,w_wei,s_wei,v_wei,sh_wei
381,1.0,1.0,0.0,0.66,0.475,0.18,1.3695,0.6409999999999999,0.294,0.335
500,1.0,0.0,1.0,0.53,0.41,0.14,0.6809999999999999,0.3095,0.1415,0.1835
842,1.0,1.0,0.0,0.595,0.475,0.16,1.1405,0.547,0.231,0.271
940,1.0,0.0,1.0,0.375,0.305,0.09,0.3245,0.1395,0.0565,0.095
1036,1.0,1.0,0.0,0.61,0.485,0.18,1.2795,0.5735,0.2855,0.355
1241,1.0,1.0,0.0,0.64,0.5,0.15,1.0705,0.371,0.2705,0.36
1354,1.0,0.0,0.0,0.15,0.1,0.025,0.015,0.0045,0.004,0.005
1378,1.0,0.0,0.0,0.44,0.34,0.105,0.369,0.16399999999999998,0.08,0.1015
1682,1.0,0.0,0.0,0.075,0.055,0.01,0.002,0.001,0.0005,0.0015
1698,1.0,1.0,0.0,0.585,0.45,0.125,0.8740000000000001,0.3545,0.2075,0.225
1910,1.0,0.0,1.0,0.495,0.4,0.155,0.8085,0.2345,0.1155,0.35
1947,1.0,0.0,1.0,0.21,0.15,0.05,0.0385,0.0155,0.0085,0.01
2568,1.0,1.0,0.0,0.72,0.525,0.18,1.445,0.631,0.3215,0.435
2745,1.0,0.0,0.0,0.55,0.45,0.13,0.804,0.3375,0.1405,0.23
3011,1.0,0.0,1.0,0.325,0.23,0.09,0.147,0.06,0.034,0.045
3088,1.0,0.0,0.0,0.36,0.27,0.085,0.196,0.0875,0.035,0.064
3702,1.0,0.0,1.0,0.63,0.51,0.17,1.1885,0.4915,0.3065,0.348
3714,1.0,0.0,0.0,0.58,0.435,0.15,0.8915,0.363,0.1925,0.2515
