,Constant,female,male,len,dia,hei,w_wei,s_wei,v_wei,sh_wei
1,1.0,0.0,1.0,0.565,0.445,0.15,0.7959999999999999,0.3635,0.184,0.219
2,1.0,0.0,0.0,0.435,0.34,0.115,0.3925,0.1825,0.078,0.1145
7,1.0,0.0,1.0,0.655,0.55,0.18,1.274,0.586,0.281,0.365
8,1.0,0.0,1.0,0.6,0.47,0.16,1.012,0.441,0.2015,0.305
11,1.0,1.0,0.0,0.64,0.475,0.175,1.1545,0.4865,0.341,0.28800000000000003
12,1.0,0.0,1.0,0.505,0.41,0.125,0.642,0.289,0.133,0.155
14,1.0,0.0,1.0,0.71,0.565,0.2,1.601,0.706,0.321,0.45
16,1.0,1.0,0.0,0.58,0.425,0.15,0.8440000000000001,0.3645,0.185,0.2705
19,1.0,0.0,0.0,0.27,0.205,0.075,0.118,0.059,0.031,0.0305
22,1.0,0.0,0.0,0.475,0.36,0.145,0.6325,0.2825,0.13699999999999998,0.19
23,1.0,0.0,1.0,0.64,0.53,0.165,1.1895,0.4765,0.3,0.35
26,1.0,1.0,0.0,0.47,0.375,0.12,0.6015,0.2765,0.1455,0.135
28,1.0,0.0,1.0,0.56,0.42,0.15,0.8755,0.44,0.1965,0.2315
29,1.0,1.0,0.0,0.375,0.295,0.11,0.3005,0.1255,0.0575,0.1035
30,1.0,0.0,0.0,0.485,0.375,0.11,0.464,0.2015,0.09,0.149
32,1.0,0.0,1.0,0.6,0.46,0.18,1.14,0.423,0.2575,0.365
35,1.0,1.0,0.0,0.51,0.37,0.21,1.183,0.508,0.292,0.343
40,1.0,0.0,1.0,0.66,0.525,0.2,1.489,0.6065,0.3795,0.421
41,1.0,0.0,1.0,0.585,0.465,0.165,0.885,0.4025,0.1625,0.274
43,1.0,0.0,1.0,0.495,0.375,0.115,0.6245,0.282,0.14300000000000002,0.155
45,1.0,0.0,0.0,0.55,0.42,0.13,0.636,0.294,0.14400000000000002,0.1755
46,1.0,0.0,1.0,0.545,0.43,0.155,0.8035,0.409,0.14400000000000002,0.228
49,1.0,0.0,0.0,0.505,0.385,0.12,0.6005,0.239,0.142,0.185
