,Constant,female,male,len,dia,hei,w_wei,s_wei,v_wei,sh_wei
3,1.0,1.0,0.0,0.555,0.405,0.12,0.913,0.4585,0.196,0.2065
5,1.0,1.0,0.0,0.66,0.565,0.195,1.7605,0.6920000000000001,0.3265,0.5
6,1.0,1.0,0.0,0.725,0.56,0.185,1.7919999999999998,0.873,0.3670000000000001,0.435
10,1.0,1.0,0.0,0.49,0.39,0.135,0.59,0.215,0.125,0.1845
17,1.0,1.0,0.0,0.585,0.46,0.15,1.0035,0.503,0.2105,0.2515
18,1.0,0.0,1.0,0.62,0.49,0.17,1.2105,0.5185,0.2555,0.335
25,1.0,0.0,0.0,0.405,0.31,0.095,0.3425,0.1785,0.064,0.0855
31,1.0,1.0,0.0,0.655,0.53,0.19,1.4280000000000002,0.493,0.318,0.565
33,1.0,0.0,1.0,0.63,0.48,0.145,1.0115,0.4235,0.237,0.305
38,1.0,0.0,0.0,0.56,0.445,0.165,1.0285,0.4535,0.253,0.275
44,1.0,1.0,0.0,0.505,0.38,0.135,0.6855,0.361,0.1565,0.161
48,1.0,1.0,0.0,0.455,0.35,0.14,0.5185,0.221,0.1265,0.135
53,1.0,0.0,1.0,0.625,0.495,0.185,1.3835,0.7105,0.3005,0.345
59,1.0,0.0,1.0,0.69,0.525,0.2,1.7825,0.9165,0.3325,0.461
61,1.0,1.0,0.0,0.685,0.54,0.16,1.6675,0.833,0.3775,0.475
76,1.0,0.0,1.0,0.615,0.47,0.145,1.0285,0.4435,0.2825,0.285
78,1.0,0.0,0.0,0.17,0.125,0.055,0.0235,0.009000000000000001,0.0055,0.008
93,1.0,0.0,0.0,0.375,0.28,0.085,0.3155,0.187,0.046,0.067
108,1.0,0.0,1.0,0.585,0.45,0.15,0.997,0.4055,0.28300000000000003,0.251
113,1.0,1.0,0.0,0.605,0.45,0.195,1.098,0.481,0.2895,0.315
123,1.0,0.0,1.0,0.59,0.475,0.155,0.857,0.35600000000000004,0.174,0.28
124,1.0,1.0,0.0,0.705,0.555,0.2,1.4685,0.4715,0.3235,0.52
129,1.0,1.0,0.0,0.585,0.415,0.155,0.6985,0.3,0.146,0.195
138,1.0,1.0,0.0,0.71,0.565,0.195,1.7265,0.638,0.3365,0.565
145,1.0,0.0,1.0,0.43,0.345,0.115,0.3045,0.0925,0.055,0.12
148,1.0,1.0,0.0,0.61,0.475,0.15,1.1135,0.5195,0.2575,0.3005
157,1.0,0.0,1.0,0.46,0.36,0.135,0.6105,0.1955,0.107,0.235
159,1.0,0.0,1.0,0.425,0.305,0.11,0.359,0.173,0.0875,0.0975
160,1.0,0.0,1.0,0.495,0.38,0.135,0.6295,0.263,0.1425,0.215
167,1.0,0.0,0.0,0.32,0.24,0.075,0.1735,0.076,0.0355,0.05
171,1.0,0.0,1.0,0.465,0.35,0.12,0.5205,0.2015,0.1625,0.185
180,1.0,0.0,1.0,0.455,0.345,0.15,0.5795,0.1685,0.125,0.215
183,1.0,1.0,0.0,0.68,0.58,0.2,1.787,0.585,0.453,0.6
188,1.0,0.0,1.0,0.375,0.285,0.095,0.253,0.096,0.0575,0.0925
194,1.0,1.0,0.0,0.505,0.385,0.135,0.6185,0.251,0.1175,0.2
199,1.0,1.0,0.0,0.58,0.455,0.12,0.94,0.399,0.257,0.265
200,1.0,0.0,1.0,0.565,0.43,0.15,0.831,0.4245,0.1735,0.219
203,1.0,1.0,0.0,0.44,0.34,0.1,0.451,0.188,0.087,0.13
