,Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei,y_pred,y_act
62,1.0,0.605,0.485,0.16,1.2009999999999998,0.417,0.2875,0.38,9.314939082790987,9
64,1.0,0.41,0.305,0.095,0.2625,0.1,0.0515,0.09,5.711552520189411,6
72,1.0,0.63,0.475,0.15,1.072,0.433,0.2975,0.315,8.304272368231175,8
82,1.0,0.47,0.38,0.125,0.4845,0.211,0.1075,0.142,6.486512304573747,6
94,1.0,0.55,0.43,0.15,0.655,0.2635,0.122,0.221,7.666554074911164,8
98,1.0,0.58,0.465,0.15,0.9065,0.371,0.1965,0.29,8.129897162161976,8
113,1.0,0.575,0.455,0.155,0.8725,0.349,0.2095,0.285,8.116748330442963,8
140,1.0,0.555,0.425,0.14,0.963,0.44,0.224,0.24,6.829579429855529,7
167,1.0,0.525,0.44,0.125,0.7115,0.3205,0.159,0.1915,7.040420257105787,7
185,1.0,0.645,0.505,0.165,1.307,0.4335,0.262,0.52,10.639219439150573,10
199,1.0,0.435,0.34,0.115,0.3925,0.1825,0.078,0.1145,5.861142308454913,6
212,1.0,0.275,0.195,0.07,0.0875,0.0345,0.022,0.0255,4.057738359678725,4
241,1.0,0.405,0.3,0.09,0.269,0.103,0.067,0.11,5.746008794716556,6
281,1.0,0.575,0.435,0.15,1.0305,0.4605,0.218,0.36,7.744678228679268,8
331,1.0,0.505,0.4,0.15,0.775,0.3445,0.157,0.185,6.596347458238197,7
346,1.0,0.635,0.515,0.19,1.3715,0.5065,0.305,0.45,9.793833753165586,10
364,1.0,0.58,0.48,0.18,1.2495,0.4945,0.27,0.371,8.606318127725764,8
388,1.0,0.505,0.4,0.125,0.583,0.246,0.13,0.175,6.887341109244439,7
413,1.0,0.185,0.375,0.12,0.4645,0.196,0.1045,0.15,5.963434203663509,6
432,1.0,0.68,0.515,0.175,1.6185,0.5125,0.409,0.62,11.509687156803677,12
443,1.0,0.495,0.375,0.115,0.6245,0.282,0.14300000000000002,0.155,6.2362393896786035,6
460,1.0,0.66,0.495,0.195,1.6275,0.594,0.3595,0.485,9.743357508397715,10
514,1.0,0.44,0.345,0.13,0.4495,0.209,0.0835,0.134,5.985771706510568,6
515,1.0,0.62,0.51,0.175,1.615,0.5105,0.192,0.675,11.806321299818672,12
530,1.0,0.26,0.205,0.07,0.097,0.0415,0.019,0.0305,4.11309953371919,4
544,1.0,0.58,0.46,0.18,1.0515,0.4095,0.2595,0.276,8.085916988453278,8
580,1.0,0.48,0.375,0.115,0.6765,0.3205,0.1065,0.17,6.092054437760943,6
589,1.0,0.395,0.3,0.09,0.2855,0.1385,0.0625,0.077,5.221294599857307,5
603,1.0,0.245,0.195,0.06,0.095,0.0445,0.0245,0.026,3.892220002789791,4
622,1.0,0.205,0.155,0.045,0.0495,0.0235,0.011,0.014,3.391582770681037,3
638,1.0,0.46,0.345,0.115,0.4215,0.1895,0.102,0.111,5.941812300235744,6
671,1.0,0.58,0.46,0.15,1.1155,0.5575,0.2255,0.29,6.847703190051207,7
675,1.0,0.455,0.355,1.13,0.594,0.332,0.116,0.1335,8.095221318260517,8
682,1.0,0.53,0.395,0.145,0.775,0.308,0.16899999999999998,0.255,7.376517883168509,7
727,1.0,0.71,0.53,0.195,1.8745,0.6755,0.4065,0.6855,11.329191725921673,12
757,1.0,0.66,0.535,0.19,1.5905,0.6425,0.297,0.5175,9.767125267768986,9
760,1.0,0.615,0.505,0.19,1.403,0.6715,0.2925,0.365,7.610053000985924,8
786,1.0,0.645,0.51,0.19,1.4745,0.605,0.345,0.48,9.268934447934999,9
863,1.0,0.455,0.375,0.12,0.4970000000000001,0.2355,0.1055,0.1295,6.112826857238184,6
868,1.0,0.545,0.43,0.14,0.772,0.289,0.19,0.2615,7.933389339792566,8
882,1.0,0.635,0.51,0.185,1.308,0.544,0.318,0.377,8.718710218590877,8
889,1.0,0.24,0.18,0.055,0.0555,0.0235,0.013,0.018000000000000002,3.772409451171645,4
899,1.0,0.44,0.33,0.135,0.4095,0.163,0.1005,0.119,6.087823514058317,6
908,1.0,0.605,0.49,0.18,1.167,0.457,0.29,0.3745,8.894022876594592,9
922,1.0,0.45,0.33,0.11,0.3685,0.16,0.0885,0.102,5.850359268531401,6
926,1.0,0.755,0.58,0.205,2.0065,0.8295,0.4015,0.595,10.239333652262307,10
962,1.0,0.595,0.48,0.16,1.2095,0.5225,0.29600000000000004,0.32,7.859973376430409,8
980,1.0,0.655,0.53,0.165,1.2835,0.583,0.1255,0.4,8.6917874857571,8
1005,1.0,0.645,0.49,0.16,1.144,0.5015,0.289,0.319,8.074656449020733,8
1009,1.0,0.36,0.27,0.09,0.1885,0.0845,0.0385,0.055,4.984974333792016,5
1025,1.0,0.645,0.52,0.175,1.561,0.7090000000000001,0.3555,0.4,8.048610192487335,8
1063,1.0,0.24,0.185,0.06,0.0655,0.0295,0.0005,0.02,3.8233630608500695,4
1080,1.0,0.6,0.47,0.15,0.928,0.4225,0.183,0.275,7.6920154408536305,8
1137,1.0,0.64,0.525,0.18,1.3135,0.4865,0.2995,0.4075,9.636341809540935,10
1156,1.0,0.47,0.355,0.145,0.4485,0.156,0.102,0.123,6.621693681186404,7
1178,1.0,0.715,0.565,0.18,1.79,0.8440000000000001,0.3535,0.5385,8.849171702939822,9
1191,1.0,0.53,0.405,0.125,0.6515,0.2715,0.1605,0.18600000000000005,6.988544068232794,7
1289,1.0,0.245,0.205,0.06,0.0765,0.034,0.014,0.0215,4.013978821901515,4
1341,1.0,0.375,0.265,0.095,0.196,0.085,0.042,0.0585,5.019845612511041,5
1347,1.0,0.23,0.165,0.06,0.0515,0.019,0.0145,0.036000000000000004,3.7670745786058304,4
1353,1.0,0.58,0.45,0.155,0.8275,0.321,0.1975,0.2445,7.976074272171668,8
1355,1.0,0.255,0.185,0.065,0.07400000000000001,0.0305,0.0165,0.02,3.875107812420847,4
1363,1.0,0.485,0.37,0.13,0.526,0.2485,0.105,0.1555,6.276433105090458,6
1366,1.0,0.16,0.11,0.025,0.018000000000000002,0.0065,0.0055,0.005,2.8346627283417742,3
1368,1.0,0.495,0.38,0.13,0.5125,0.2185,0.116,0.16,6.668968350318094,7
1394,1.0,0.4,0.29,0.1,0.2675,0.1205,0.0605,0.0765,5.2865075056455915,5
1418,1.0,0.575,0.45,0.155,0.948,0.429,0.206,0.259,7.344391462993618,7
1460,1.0,0.27,0.205,0.075,0.118,0.059,0.031,0.0305,4.031329706459626,4
1468,1.0,0.52,0.415,0.175,0.753,0.258,0.171,0.255,8.052920175632028,8
1479,1.0,0.19,0.14,0.03,0.0315,0.0125,0.005,0.0105,3.2122893415611067,3
1493,1.0,0.6,0.48,0.17,0.9175,0.38,0.2225,0.29,8.300373651606298,8
1530,1.0,0.425,0.33,0.115,0.3265,0.1315,0.077,0.103,5.981249240048366,6
1531,1.0,0.655,0.52,0.2,1.5475,0.713,0.314,0.466,8.497688347977043,9
1548,1.0,0.545,0.42,0.145,0.778,0.3745,0.1545,0.205,6.6996067074402745,7
1570,1.0,0.46,0.35,0.115,0.46,0.2025,0.1115,0.1165,6.002655479652488,6
1598,1.0,0.575,0.455,0.165,0.867,0.3765,0.1805,0.268,7.769310021535249,8
1614,1.0,0.43,0.35,0.105,0.366,0.1705,0.0855,0.11,5.926393282589824,6
1623,1.0,0.47,0.36,0.11,0.4965,0.237,0.127,0.13,5.949514392986728,6
1625,1.0,0.195,0.15,0.045,0.0375,0.018000000000000002,0.006,0.011,3.3259349842654817,3
1627,1.0,0.34,0.265,0.08,0.2015,0.09,0.0475,0.055,4.846182496117001,5
1631,1.0,0.33,0.25,0.075,0.1405,0.056,0.035,0.05,4.800175486102465,5
1643,1.0,0.505,0.39,0.185,0.6125,0.267,0.142,0.172,6.814191704911073,7
1666,1.0,0.675,0.53,0.195,1.4985,0.62,0.375,0.425,9.098082349658648,9
1670,1.0,0.63,0.5,0.18,1.1965,0.514,0.2325,0.3995,8.758053935687323,8
1698,1.0,0.62,0.46,0.17,1.127,0.535,0.2635,0.29600000000000004,7.25795522726536,7
1715,1.0,0.6,0.46,0.155,0.9735,0.4270000000000001,0.2045,0.3,7.843134949835013,8
1718,1.0,0.42,0.32,0.11,0.309,0.115,0.0645,0.0945,5.925784485792003,6
1788,1.0,0.56,0.455,0.19,0.7140000000000001,0.28300000000000003,0.129,0.275,8.351239860101872,9
1831,1.0,0.475,0.38,0.135,0.486,0.1735,0.07,0.185,7.185165781969817,7
1833,1.0,0.63,0.525,0.195,1.3135,0.4935,0.2565,0.465,9.972359828378059,10
1858,1.0,0.51,0.4,0.125,0.545,0.261,0.115,0.1385,6.42125911909167,6
1863,1.0,0.25,0.18,0.065,0.0805,0.0345,0.0185,0.0215,3.8049933609139437,4
1871,1.0,0.625,0.49,0.175,1.1075,0.4485,0.2165,0.3595,8.779484361822902,8
1872,1.0,0.635,0.5,0.18,1.154,0.4405,0.2315,0.387,9.285982796603651,9
1880,1.0,0.5,0.39,0.125,0.5215,0.2485,0.117,0.131,6.311322507111651,6
1887,1.0,0.69,0.54,0.185,1.71,0.7725,0.3855,0.4325,8.358429038752536,8
1892,1.0,0.46,0.375,0.12,0.4605,0.1775,0.11,0.15,6.710677901522702,7
1917,1.0,0.59,0.47,0.16,1.206,0.479,0.2425,0.309,8.128705953207103,8
1925,1.0,0.695,0.535,0.175,1.361,0.5465,0.2815,0.465,9.754917759336871,10
1953,1.0,0.43,0.325,0.105,0.309,0.119,0.08,0.098,5.955081513749025,6
1970,1.0,0.625,0.5,0.17,1.0985,0.4645,0.22,0.354,8.642145050493909,9
1976,1.0,0.37,0.28,0.085,0.198,0.0805,0.0455,0.058,5.168696506713861,5
2002,1.0,0.41,0.32,0.095,0.2905,0.141,0.063,0.073,5.4217337846243785,5
2044,1.0,0.445,0.335,0.11,0.4355,0.2025,0.1095,0.1195,5.763749405739043,6
2075,1.0,0.63,0.495,0.18,1.31,0.495,0.295,0.4695,9.628094487742239,10
2089,1.0,0.725,0.55,0.22,2.0495,0.7735,0.4405,0.655,10.958283045404183,10
2092,1.0,0.465,0.37,0.11,0.445,0.1635,0.096,0.166,6.845729965143891,7
2100,1.0,0.53,0.42,0.17,0.828,0.41,0.208,0.1505,6.164479938820847,6
2114,1.0,0.575,0.46,0.145,0.9945,0.466,0.229,0.265,7.209500393782361,7
2170,1.0,0.47,0.35,0.125,0.4315,0.19,0.1165,0.1175,6.0952374984792606,6
2174,1.0,0.46,0.37,0.12,0.5335,0.2645,0.108,0.1345,5.927819322160783,6
2198,1.0,0.365,0.255,0.08,0.1985,0.0785,0.0345,0.053,4.902008253578525,5
2208,1.0,0.28,0.21,0.085,0.1065,0.039,0.0295,0.03,4.287701282837722,4
2219,1.0,0.68,0.54,0.195,1.7825,0.5565,0.3235,0.4285,10.690877109467074,11
2222,1.0,0.465,0.35,0.125,0.482,0.23,0.106,0.1095,5.795024880924647,6
2241,1.0,0.63,0.48,0.15,1.1785,0.5185,0.248,0.3235,7.903604362426745,8
2253,1.0,0.75,0.615,0.205,2.2635,0.821,0.423,0.726,12.194282121424232,12
2275,1.0,0.505,0.385,0.12,0.6005,0.239,0.142,0.185,6.905750308591759,7
2287,1.0,0.395,0.27,0.1,0.2985,0.1445,0.061,0.08199999999999999,4.974934889467361,5
2343,1.0,0.585,0.465,0.16,0.9555,0.4595,0.236,0.265,7.267414871955705,7
2385,1.0,0.57,0.46,0.17,0.9035,0.4075,0.1935,0.214,7.277065121255893,7
2448,1.0,0.395,0.295,0.09,0.3025,0.14300000000000002,0.0665,0.0765,5.17347609568097,5
2469,1.0,0.475,0.35,0.11,0.4565,0.206,0.099,0.13,6.067536883194091,6
2485,1.0,0.48,0.385,0.145,0.64,0.2925,0.1405,0.1575,6.342401910252832,6
2591,1.0,0.37,0.275,0.1,0.2815,0.1505,0.0505,0.068,4.779988555287167,5
2618,1.0,0.715,0.585,0.23,2.0725,0.8655,0.4095,0.565,9.918183673227201,10
2629,1.0,0.67,0.525,0.195,1.4405,0.6595,0.2675,0.425,8.545156582876482,9
2750,1.0,0.545,0.44,0.15,0.9475,0.366,0.239,0.275,7.8681762192503495,8
2760,1.0,0.52,0.39,0.13,0.5545,0.2355,0.1095,0.1895,6.960297965935937,7
2791,1.0,0.315,0.23,0.0,0.134,0.0575,0.0285,0.3505,6.223633778907948,6
2818,1.0,0.18,0.125,0.05,0.023,0.0085,0.0055,0.01,3.1154727092599033,3
2845,1.0,0.425,0.325,0.1,0.398,0.1185,0.0645,0.0945,6.178057145059954,6
2853,1.0,0.66,0.535,0.205,1.4415,0.5925,0.2775,0.49,9.7061768439521,10
2855,1.0,0.615,0.475,0.13,0.8425,0.353,0.1915,0.251,7.99279729856783,8
2863,1.0,0.275,0.2,0.055,0.0925,0.038,0.021,0.026,4.047355811263736,4
2900,1.0,0.54,0.41,0.13,0.56,0.2375,0.1065,0.175,7.099723775235546,7
2915,1.0,0.605,0.475,0.165,1.056,0.433,0.2195,0.35700000000000004,8.552490207626336,9
2916,1.0,0.665,0.515,0.165,1.3855,0.621,0.302,0.3445,8.05007346167923,8
2967,1.0,0.44,0.35,0.11,0.3805,0.1575,0.0895,0.115,6.159325528543929,6
3011,1.0,0.58,0.435,0.15,0.8390000000000001,0.3485,0.207,0.192,7.24983413864142,7
3057,1.0,0.155,0.11,0.04,0.0155,0.0065,0.003,0.005,2.8600652049907227,3
3067,1.0,0.45,0.35,0.125,0.4775,0.2235,0.08900000000000001,0.118,5.876267590559405,6
3094,1.0,0.515,0.4,0.125,0.5625,0.25,0.1245,0.17,6.782008979433823,7
3102,1.0,0.585,0.45,0.18,0.7995,0.336,0.1855,0.237,7.788715457015516,8
3176,1.0,0.53,0.42,0.12,0.5965,0.2555,0.141,0.177,7.069141224496379,7
3178,1.0,0.635,0.5,0.19,1.29,0.593,0.3045,0.35200000000000004,7.957870354658755,8
3217,1.0,0.18,0.13,0.045,0.0275,0.0125,0.01,0.009000000000000001,3.114288389506828,3
3232,1.0,0.36,0.26,0.08,0.1795,0.07400000000000001,0.0315,0.06,4.973724410324691,5
3237,1.0,0.55,0.405,0.15,0.9235,0.412,0.2135,0.24,6.822014390553923,7
3244,1.0,0.385,0.3,0.09,0.247,0.1225,0.044,0.0675,5.1959050385812295,5
3266,1.0,0.68,0.56,0.195,1.664,0.58,0.3855,0.545,11.007668761783368,11
3270,1.0,0.55,0.44,0.155,0.9155,0.3645,0.195,0.25,7.682090070215641,8
3274,1.0,0.515,0.41,0.14,0.7355,0.3065,0.13699999999999998,0.2,7.046756100977045,7
3293,1.0,0.73,0.555,0.18,1.6895,0.6555,0.1965,0.4935,10.138941835797993,10
3303,1.0,0.605,0.48,0.175,1.1685,0.4815,0.2305,0.35600000000000004,8.466107873794993,9
3315,1.0,0.245,0.19,0.06,0.086,0.042,0.014,0.025,3.8425489543802684,4
3325,1.0,0.645,0.535,0.19,1.2395,0.468,0.2385,0.424,9.873697267537898,10
3328,1.0,0.425,0.34,0.1,0.382,0.16399999999999998,0.096,0.1,5.84797459222796,6
3344,1.0,0.7,0.6,0.23,2.003,0.8105,0.4045,0.5755,10.434507977809172,10
3380,1.0,0.63,0.505,0.195,1.306,0.516,0.3305,0.375,8.936822277184653,9
3407,1.0,0.655,0.52,0.165,1.4095,0.586,0.29100000000000004,0.405,8.872548390783065,9
3439,1.0,0.47,0.37,0.13,0.5225,0.201,0.133,0.165,6.742908590233183,7
3442,1.0,0.165,0.12,0.03,0.0215,0.006999999999999999,0.005,0.005,2.959714773062521,3
3447,1.0,0.375,0.305,0.09,0.3245,0.1395,0.0565,0.095,5.445179726394405,5
3454,1.0,0.625,0.505,0.175,1.131,0.5425,0.2265,0.32299999999999995,7.837819509470325,8
3476,1.0,0.35,0.265,0.095,0.199,0.073,0.049,0.06,5.098449991531075,5
3503,1.0,0.3,0.215,0.05,0.1185,0.048,0.0225,0.042,4.305611969652042,4
3532,1.0,0.67,0.525,0.2,1.7405,0.6205,0.297,0.657,11.242395665917298,11
3548,1.0,0.545,0.43,0.155,0.8035,0.409,0.14400000000000002,0.228,6.70903327394632,7
3555,1.0,0.21,0.15,0.05,0.0385,0.0155,0.0085,0.01,3.3912434374887908,3
3573,1.0,0.61,0.5,0.18,1.4380000000000002,0.5185,0.3735,0.3345,8.88372870272675,9
3584,1.0,0.35,0.26,0.075,0.18,0.09,0.0245,0.055,4.7562990398571605,5
3599,1.0,0.7,0.555,0.2,1.858,0.73,0.3665,0.595,10.434158244383996,11
3606,1.0,0.25,0.175,0.06,0.0635,0.0275,0.008,0.02,3.759148029547043,4
3670,1.0,0.64,0.5,0.175,1.394,0.4935,0.29100000000000004,0.4,9.50564150430203,10
3672,1.0,0.535,0.4,0.13,0.657,0.2835,0.162,0.175,6.794408131809581,7
