,Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei,y_pred,y_act
0,1.0,0.58,0.43,0.13,0.7979999999999999,0.365,0.173,0.2285,9.559306651039412,10
3,1.0,0.545,0.39,0.135,0.7835,0.4225,0.1815,0.156,7.073584131484588,7
4,1.0,0.72,0.565,0.17,1.6130000000000002,0.723,0.3255,0.4945,12.77124670828797,12
5,1.0,0.61,0.465,0.125,0.9225,0.436,0.19,0.26,9.756463032289398,9
8,1.0,0.295,0.22,0.07,0.1365,0.0575,0.0295,0.035,6.417521916912436,6
10,1.0,0.495,0.375,0.115,0.507,0.241,0.103,0.15,8.628644467193656,8
11,1.0,0.54,0.415,0.135,0.7090000000000001,0.3195,0.174,0.185,9.184159492163264,9
12,1.0,0.565,0.43,0.135,0.8545,0.321,0.1775,0.275,11.461843165449856,11
15,1.0,0.29,0.21,0.06,0.1195,0.056,0.0235,0.03,6.0667543291920545,6
17,1.0,0.61,0.365,0.155,1.0765,0.488,0.249,0.27,8.552109926855284,9
19,1.0,0.51,0.405,0.13,0.7175,0.3725,0.158,0.17,8.086789237177895,9
22,1.0,0.54,0.435,0.175,0.892,0.322,0.174,0.335,12.951169768278405,13
25,1.0,0.665,0.525,0.18,1.5785,0.6779999999999999,0.229,0.456,13.688130251037144,14
27,1.0,0.57,0.435,0.145,0.9055,0.3925,0.2355,0.275,10.051206973581408,10
28,1.0,0.65,0.505,0.19,1.274,0.59,0.23,0.391,11.881939226703478,11
29,1.0,0.59,0.47,0.155,1.1735,0.6245,0.233,0.2595,8.265166333367924,9
31,1.0,0.66,0.5,0.165,1.1905,0.4585,0.298,0.37,12.521745906042778,12
32,1.0,0.7,0.55,0.175,1.4405,0.6565,0.2985,0.375,11.580119225578752,12
35,1.0,0.525,0.415,0.17,0.8325,0.2755,0.1685,0.31,12.869910910192853,13
37,1.0,0.455,0.37,0.125,0.433,0.201,0.1265,0.145,8.59988459615322,9
38,1.0,0.405,0.3,0.085,0.3035,0.15,0.0505,0.08800000000000001,7.385446121780607,7
39,1.0,0.65,0.5,0.165,1.1445,0.485,0.218,0.365,12.350170039000737,12
42,1.0,0.705,0.535,0.22,1.866,0.929,0.3835,0.4395,10.001155686916587,10
43,1.0,0.455,0.365,0.115,0.4305,0.184,0.108,0.1245,8.745693725572979,8
45,1.0,0.62,0.48,0.23,1.0935,0.403,0.245,0.355,13.680251107304079,14
48,1.0,0.455,0.355,0.12,0.4495,0.177,0.104,0.15,9.257509561196944,9
49,1.0,0.595,0.47,0.25,1.283,0.462,0.2475,0.445,15.198148818709319,14
53,1.0,0.585,0.475,0.165,1.053,0.458,0.217,0.3,11.262726996164075,11
58,1.0,0.675,0.515,0.145,1.265,0.6025,0.299,0.325,9.811004773671721,10
60,1.0,0.36,0.265,0.09,0.2065,0.078,0.057,0.06,7.294199069933214,8
68,1.0,0.525,0.385,0.1,0.5115,0.246,0.1005,0.1455,8.455647932527222,8
73,1.0,0.635,0.505,0.155,1.2895,0.594,0.314,0.345,10.311733682484315,11
75,1.0,0.325,0.25,0.07,0.1745,0.0875,0.0355,0.04,6.49327873226171,7
76,1.0,0.615,0.52,0.15,1.3435,0.629,0.2605,0.345,10.859430383310887,10
77,1.0,0.525,0.405,0.13,0.7185,0.3265,0.1975,0.175,8.63838056105498,8
81,1.0,0.62,0.48,0.17,1.1045,0.535,0.25,0.287,9.753818795957923,10
85,1.0,0.625,0.505,0.175,1.15,0.5475,0.256,0.3045,10.418357903911897,11
91,1.0,0.465,0.36,0.105,0.488,0.188,0.0845,0.19,9.844832918812571,10
92,1.0,0.675,0.525,0.175,1.402,0.483,0.3205,0.465,15.074415419275535,16
96,1.0,0.65,0.505,0.165,1.16,0.4785,0.274,0.349,11.97508613204792,11
100,1.0,0.62,0.485,0.18,1.154,0.4935,0.256,0.315,11.441891962595864,12
101,1.0,0.56,0.44,0.17,0.9445,0.3545,0.2175,0.3,11.97720319822032,12
103,1.0,0.645,0.51,0.16,1.33,0.6665,0.309,0.317,9.105637072205953,9
108,1.0,0.52,0.405,0.14,0.5775,0.2,0.145,0.179,10.595996940252386,11
109,1.0,0.485,0.355,0.12,0.5085,0.21,0.122,0.135,8.740996214565174,9
115,1.0,0.59,0.45,0.125,0.86,0.4370000000000001,0.1515,0.245,9.245702767281777,9
117,1.0,0.575,0.435,0.14,0.8455,0.401,0.191,0.222,9.217080432218548,9
118,1.0,0.57,0.46,0.15,1.0375,0.5415,0.2035,0.25,8.75280682509378,9
124,1.0,0.455,0.37,0.11,0.514,0.2385,0.1235,0.126,8.286785814811243,8
128,1.0,0.52,0.41,0.14,0.6990000000000001,0.3395,0.129,0.1945,9.26592575793736,10
130,1.0,0.26,0.2,0.065,0.096,0.044,0.027000000000000003,0.03,6.043062042445517,6
131,1.0,0.58,0.44,0.18,0.8540000000000001,0.3665,0.1635,0.245,10.991835765759642,12
134,1.0,0.58,0.46,0.175,1.165,0.65,0.2205,0.3055,8.319772129293062,9
135,1.0,0.53,0.43,0.15,0.741,0.325,0.1855,0.196,9.754382022366812,9
138,1.0,0.455,0.325,0.135,0.82,0.4005,0.1715,0.211,7.783999321941295,8
141,1.0,0.51,0.4,0.14,0.6515,0.2455,0.1665,0.185,10.150322552804193,10
142,1.0,0.625,0.475,0.16,1.0845,0.5005,0.2355,0.3105,10.444211432364005,10
147,1.0,0.59,0.465,0.17,1.0425,0.4635,0.24,0.27,10.441176615285226,10
149,1.0,0.63,0.49,0.155,1.2525,0.63,0.246,0.289,9.2151611643773,9
151,1.0,0.39,0.29,0.09,0.2745,0.135,0.0455,0.078,7.33001143239858,8
153,1.0,0.505,0.38,0.13,0.693,0.391,0.1195,0.1515,7.366402179133857,8
154,1.0,0.53,0.405,0.13,0.6615,0.2945,0.1395,0.19,9.479101450283714,9
155,1.0,0.55,0.43,0.145,0.7120000000000001,0.3025,0.152,0.225,10.449385075989404,10
156,1.0,0.5,0.37,0.135,0.45,0.1715,0.1055,0.155,9.669338462691563,9
162,1.0,0.55,0.45,0.13,0.92,0.378,0.2385,0.29,10.685940286136779,11
163,1.0,0.475,0.36,0.125,0.447,0.1695,0.081,0.14,9.607646600266058,9
170,1.0,0.325,0.24,0.085,0.173,0.0795,0.038,0.05,6.732821188491203,7
172,1.0,0.19,0.13,0.045,0.0265,0.009000000000000001,0.005,0.009000000000000001,5.109098147103564,5
174,1.0,0.565,0.465,0.15,1.1815,0.581,0.2215,0.3095,9.74369639052533,9
175,1.0,0.41,0.325,0.11,0.326,0.1325,0.075,0.101,8.433678102963302,8
179,1.0,0.65,0.51,0.17,1.567,0.7245,0.349,0.391,10.51425718315981,10
180,1.0,0.4,0.305,0.13,0.2935,0.096,0.0675,0.105,8.950713830290322,9
181,1.0,0.59,0.45,0.145,1.022,0.428,0.268,0.265,10.155462491277351,10
187,1.0,0.615,0.475,0.175,1.194,0.5589999999999999,0.259,0.3165,10.280239893412032,11
191,1.0,0.63,0.49,0.225,1.336,0.6805,0.259,0.3245,9.927351505938887,10
192,1.0,0.645,0.51,0.19,1.4865,0.6445,0.29600000000000004,0.425,12.481316932973522,12
196,1.0,0.55,0.425,0.16,0.7929999999999999,0.343,0.2035,0.215,9.855242558781164,9
202,1.0,0.525,0.4,0.14,0.601,0.2625,0.1285,0.1835,9.66922007664192,9
203,1.0,0.475,0.335,0.1,0.4425,0.1895,0.086,0.135,8.435261693019672,9
207,1.0,0.64,0.505,0.155,1.1955,0.5565,0.211,0.34600000000000003,11.251408612963285,11
208,1.0,0.575,0.445,0.16,0.9175,0.45,0.1935,0.24,9.391847894910967,9
209,1.0,0.525,0.39,0.12,0.664,0.3115,0.147,0.17800000000000002,8.660235529798257,9
210,1.0,0.625,0.48,0.16,1.1415,0.5795,0.2145,0.29,9.463845368190963,9
211,1.0,0.545,0.41,0.14,0.737,0.349,0.15,0.212,9.312595036676449,9
217,1.0,0.46,0.335,0.11,0.444,0.225,0.0745,0.11,7.758800059994702,8
219,1.0,0.275,0.195,0.09,0.1125,0.0545,0.0295,0.0355,6.175263072037852,6
220,1.0,0.55,0.445,0.11,0.7935,0.378,0.142,0.26,9.925491806029875,10
221,1.0,0.5,0.375,0.14,0.5589999999999999,0.2375,0.135,0.16899999999999998,9.295559684842516,9
224,1.0,0.365,0.28,0.09,0.196,0.0865,0.036000000000000004,0.0605,7.440772368039033,7
228,1.0,0.525,0.4,0.14,0.7205,0.3685,0.145,0.1735,8.365219293784385,8
229,1.0,0.665,0.525,0.175,1.443,0.6635,0.3845,0.353,10.108354483152873,11
230,1.0,0.635,0.51,0.21,1.598,0.6535,0.2835,0.58,15.143722229894163,15
232,1.0,0.605,0.47,0.18,1.1405,0.3755,0.2805,0.385,13.943511919434911,15
