,from,to,distance
0,0,0,0.0
1,0,1,0.3941703180067938
2,0,2,0.35979939260498167
3,0,3,0.7167185082989768
4,0,4,0.42400210360350105
5,0,5,0.4711163477515687
6,0,6,1.1042402054254075
7,1,1,0.0
8,1,2,0.524569530455885
9,1,3,0.3719092030638948
10,1,4,0.5801625987864452
11,1,5,0.15434149375088002
12,1,6,0.9397127181398022
13,2,2,0.0
14,2,3,0.6910581254830681
15,2,4,0.07563171160461563
16,2,5,0.6293077017143315
17,2,6,0.8415776255033273
18,3,3,0.0
19,3,4,0.715445144099346
20,3,5,0.36367894650923593
21,3,6,0.7734986609325667
22,4,4,0.0
23,4,5,0.6783836606799533
24,4,6,0.8288507289452877
25,5,5,0.0
26,5,6,1.039648190718103
27,6,6,0.0
