,Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei
65,1.0,0.53,0.415,0.175,0.7395,0.261,0.1395,0.2645
84,1.0,0.52,0.425,0.155,0.7735,0.297,0.123,0.255
143,1.0,0.33,0.245,0.085,0.171,0.0655,0.0365,0.055
146,1.0,0.47,0.355,0.13,0.5465,0.2005,0.126,0.185
164,1.0,0.55,0.425,0.135,0.8515,0.362,0.196,0.27
176,1.0,0.54,0.435,0.18,0.996,0.3835,0.226,0.325
178,1.0,0.49,0.39,0.14,0.7070000000000001,0.2795,0.2185,0.18
204,1.0,0.35,0.255,0.065,0.179,0.0705,0.0385,0.06
249,1.0,0.435,0.33,0.125,0.406,0.1685,0.1055,0.096
270,1.0,0.335,0.26,0.09,0.1835,0.078,0.024,0.065
297,1.0,0.455,0.365,0.11,0.385,0.166,0.046,0.1345
309,1.0,0.605,0.49,0.155,1.153,0.503,0.2505,0.295
328,1.0,0.645,0.485,0.15,1.151,0.5935,0.2315,0.293
335,1.0,0.46,0.355,0.11,0.415,0.215,0.08199999999999999,0.13
382,1.0,0.45,0.335,0.14,0.4625,0.16399999999999998,0.076,0.15
412,1.0,0.445,0.33,0.1,0.4370000000000001,0.163,0.0755,0.17
442,1.0,0.45,0.35,0.135,0.56,0.231,0.13699999999999998,0.145
464,1.0,0.54,0.41,0.145,0.989,0.2815,0.213,0.355
606,1.0,0.565,0.455,0.17,0.9065,0.342,0.156,0.32
698,1.0,0.55,0.435,0.145,0.843,0.328,0.1915,0.255
731,1.0,0.78,0.63,0.215,2.657,1.4880000000000002,0.4985,0.586
769,1.0,0.48,0.38,0.13,0.6175,0.3,0.142,0.175
775,1.0,0.59,0.475,0.145,1.053,0.4415,0.262,0.325
789,1.0,0.655,0.54,0.215,1.844,0.7425,0.327,0.585
807,1.0,0.62,0.48,0.165,1.0125,0.5325,0.4365,0.324
876,1.0,0.405,0.325,0.11,0.3575,0.145,0.0725,0.11
896,1.0,0.6,0.47,0.175,1.105,0.4865,0.247,0.315
988,1.0,0.565,0.425,0.1,0.7145,0.3055,0.166,0.18
993,1.0,0.685,0.52,0.15,1.3735,0.7185,0.293,0.32
1039,1.0,0.565,0.455,0.175,1.013,0.342,0.207,0.35
1166,1.0,0.51,0.4,0.14,0.8145,0.459,0.1965,0.195
1356,1.0,0.535,0.425,0.155,0.7765,0.302,0.1565,0.25
1359,1.0,0.625,0.47,0.155,1.1955,0.643,0.2055,0.3145
1434,1.0,0.48,0.37,0.12,0.514,0.2075,0.131,0.155
1585,1.0,0.725,0.565,0.21,2.1425,1.03,0.487,0.503
1587,1.0,0.555,0.435,0.165,0.97,0.336,0.2315,0.295
