,Constant,log_P(atm),log_Fuel(%),log_Oxidizer(%),T0/S_H__T,log_T0/T
14,1.0,0.6981347220709843,-1.8325814637483102,1.3862943611198906,0.06038647342995169,-0.32208349916911333
25,1.0,1.801709800081223,0.5062150112083075,3.044522437723423,0.04878048780487805,-0.02469261259037152
28,1.0,1.8341801851120072,0.4081282255276481,3.044522437723423,0.059665871121718374,0.17673717850005394
30,1.0,1.7613002617433464,0.25386672395705046,3.044522437723423,0.05186721991701245,0.036663984371591525
31,1.0,1.7934247485471162,0.4014570867106256,3.044522437723423,0.0536480686695279,0.07042246429654579
36,1.0,1.8293763327993617,-0.2781278596469693,3.044522437723423,0.040032025620496396,-0.22234323114344062
37,1.0,1.8594181177018698,-0.18922533311074907,3.044522437723423,0.03894080996884735,-0.24998020526776946
48,1.0,2.0906287310704004,-0.23559575925344942,3.044522437723423,0.044762757385854966,-0.11064652008706367
55,1.0,1.410986973710262,0.1097508639591191,3.044522437723423,0.0471253534401508,-0.05921185963184606
58,1.0,1.5195132049061133,-0.13353139262452263,3.044522437723423,0.04194630872483222,-0.17563256864315802
63,1.0,1.6034198401085373,0.24373018492259815,3.044522437723423,0.043591979075850044,-0.13714983814723358
66,1.0,1.8825138324965192,0.16466662155523393,3.044522437723423,0.04945598417408507,-0.010939940038334333
68,1.0,1.8825138324965192,0.15614868248993138,3.044522437723423,0.05219206680584551,0.0429075010112766
82,1.0,0.5007752879124892,-1.3862943611198906,1.3862943611198906,0.11938872970391595,-0.3336110043401807
85,1.0,0.4824261492442928,-1.3862943611198906,1.3862943611198906,0.11671335200746966,-0.3562748639173927
86,1.0,0.5596157879354227,-1.3862943611198906,1.3862943611198906,0.11930326890956812,-0.3343270802748248
92,1.0,1.4327007339340465,-2.279845606024556,1.3862943611198906,0.02635740643120717,-0.3038014543316642
114,1.0,0.5128236264286637,-1.9449106487222296,1.3862943611198906,0.050911312493636084,-0.3386128011203239
115,1.0,0.5766133643039938,-1.9449106487222296,1.3862943611198906,0.05105687736138058,-0.3357576956833441
116,1.0,0.5596157879354227,-1.9449106487222296,1.3862943611198906,0.05366534292154127,-0.2859305394129746
117,1.0,0.6259384308664954,-1.9449106487222296,1.3862943611198906,0.05291005291005291,-0.30010459245033816
121,1.0,0.6097655716208943,-1.9449106487222296,1.3862943611198906,0.05157297576070139,-0.3257001396393018
136,1.0,0.636576829071551,-1.5606477482646683,1.3862943611198906,0.09184423218221896,-0.308219723669329
137,1.0,0.5128236264286637,-1.5606477482646683,1.3862943611198906,0.091441111923921,-0.31261855774181246
138,1.0,0.5247285289349821,-1.5606477482646683,1.3862943611198906,0.08909479686386315,-0.3386128011203239
168,1.0,0.11332868530700327,0.0,2.5649493574615367,0.17998560115190784,-0.3285840637722067
169,1.0,0.0769610411361284,0.0,2.5649493574615367,0.17580872011251758,-0.35206433138104914
170,1.0,0.10436001532424286,0.0,2.5649493574615367,0.18050541516245489,-0.3257001396393018
171,1.0,0.10436001532424286,0.0,2.5649493574615367,0.17705382436260622,-0.3450071390710504
173,1.0,0.131028262406404,0.0,2.5649493574615367,0.1849112426035503,-0.30158497762077235
180,1.0,0.7701082216960737,-2.995732273553991,-1.1239300966523995,0.16329196603527107,-0.42592111667554666
181,1.0,0.7227059828014898,-2.995732273553991,-1.1239300966523995,0.15644555694618273,-0.4687528473440829
190,1.0,0.7929925155296614,-3.506557897319982,-0.7657178733947807,0.040983606557377046,-0.42199441005937505
191,1.0,0.7514160886839212,-3.506557897319982,-0.7657178733947807,0.03970775095298602,-0.4536201499952115
192,1.0,0.7323678937132266,-3.506557897319982,-0.7657178733947807,0.03762793497892836,-0.5074198306311578
194,1.0,0.7466879474879751,-3.506557897319982,-0.5418004280654213,0.04274965800273598,-0.3798053613275867
196,1.0,0.8109302162163288,-3.506557897319982,-0.9480394301887354,0.03901373283395755,-0.4712528486461675
202,1.0,0.4762341789963717,-3.3104430183936913,-0.20702416943432653,0.04101049868766404,-0.4213384572644545
214,1.0,0.27763173659827955,-0.916290731874155,2.174751721484161,0.07077140835102619,-0.34571510370239034
215,1.0,0.26236426446749106,-0.916290731874155,2.174751721484161,0.07423904974016332,-0.297879897428227
219,1.0,0.20701416938432612,-0.916290731874155,2.174751721484161,0.07163323782234957,-0.3336110043401807
220,1.0,0.25464221837358075,-0.916290731874155,2.174751721484161,0.07423904974016332,-0.297879897428227
221,1.0,0.29266961396282004,-0.916290731874155,2.174751721484161,0.07434944237918216,-0.2963940130538025
222,1.0,0.1906203596086497,-0.916290731874155,2.174751721484161,0.06983240223463687,-0.3590720685384539
223,1.0,0.19885085874516517,-0.916290731874155,2.174751721484161,0.07423904974016332,-0.297879897428227
263,1.0,0.7608058290337602,-3.506557897319982,-1.1086626245216111,0.06447453255963895,-0.4388998841944018
264,1.0,0.712949807856125,-3.506557897319982,-1.1086626245216111,0.06097560975609756,-0.49469624183610705
265,1.0,0.7514160886839212,-3.506557897319982,-1.1086626245216111,0.05605381165919283,-0.5788580341578177
267,1.0,1.33500106673234,-3.506557897319982,-1.1086626245216111,0.06064281382656155,-0.500169043577462
268,1.0,1.3217558399823195,-3.506557897319982,-1.1086626245216111,0.05847953216374269,-0.5364933705145686
