,Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei
1,1.0,0.655,0.525,0.19,1.3595,0.564,0.3215,0.3985
18,1.0,0.36,0.27,0.085,0.196,0.0875,0.035,0.064
21,1.0,0.32,0.235,0.065,0.1385,0.058,0.0225,0.05
24,1.0,0.61,0.47,0.16,1.0745,0.4925,0.236,0.29
33,1.0,0.625,0.515,0.17,1.331,0.5725,0.3005,0.361
62,1.0,0.605,0.485,0.16,1.2009999999999998,0.417,0.2875,0.38
64,1.0,0.41,0.305,0.095,0.2625,0.1,0.0515,0.09
69,1.0,0.6,0.46,0.145,0.9325,0.3985,0.2245,0.248
72,1.0,0.63,0.475,0.15,1.072,0.433,0.2975,0.315
74,1.0,0.65,0.5,0.19,1.464,0.6415,0.339,0.4245
82,1.0,0.47,0.38,0.125,0.4845,0.211,0.1075,0.142
90,1.0,0.56,0.43,0.15,0.8825,0.3465,0.172,0.31
94,1.0,0.55,0.43,0.15,0.655,0.2635,0.122,0.221
98,1.0,0.58,0.465,0.15,0.9065,0.371,0.1965,0.29
104,1.0,0.425,0.315,0.1,0.377,0.1645,0.07200000000000001,0.105
105,1.0,0.295,0.22,0.085,0.1285,0.0585,0.027000000000000003,0.0365
107,1.0,0.385,0.285,0.09,0.248,0.0935,0.066,0.07
113,1.0,0.575,0.455,0.155,0.8725,0.349,0.2095,0.285
114,1.0,0.565,0.445,0.15,0.7959999999999999,0.3635,0.184,0.219
116,1.0,0.605,0.455,0.16,1.1035,0.421,0.3015,0.325
139,1.0,0.555,0.41,0.125,0.599,0.2345,0.1465,0.194
140,1.0,0.555,0.425,0.14,0.963,0.44,0.224,0.24
152,1.0,0.55,0.45,0.14,0.753,0.3445,0.1325,0.24
167,1.0,0.525,0.44,0.125,0.7115,0.3205,0.159,0.1915
185,1.0,0.645,0.505,0.165,1.307,0.4335,0.262,0.52
199,1.0,0.435,0.34,0.115,0.3925,0.1825,0.078,0.1145
212,1.0,0.275,0.195,0.07,0.0875,0.0345,0.022,0.0255
216,1.0,0.4,0.315,0.1,0.3225,0.14300000000000002,0.0735,0.091
225,1.0,0.495,0.375,0.14,0.494,0.181,0.0975,0.191
227,1.0,0.37,0.275,0.095,0.257,0.1015,0.055,0.0825
233,1.0,0.295,0.23,0.08,0.1625,0.065,0.05,0.0385
234,1.0,0.395,0.3,0.09,0.253,0.1155,0.05,0.075
235,1.0,0.72,0.565,0.2,1.787,0.718,0.385,0.529
241,1.0,0.405,0.3,0.09,0.269,0.103,0.067,0.11
261,1.0,0.225,0.17,0.05,0.0515,0.019,0.012,0.017
273,1.0,0.62,0.51,0.175,1.2705,0.5415,0.32299999999999995,0.3225
276,1.0,0.39,0.3,0.1,0.3085,0.1385,0.0735,0.085
281,1.0,0.575,0.435,0.15,1.0305,0.4605,0.218,0.36
282,1.0,0.735,0.59,0.215,1.747,0.7275,0.403,0.557
289,1.0,0.45,0.35,0.135,0.494,0.2205,0.0945,0.1405
314,1.0,0.665,0.5,0.15,1.2475,0.4625,0.2955,0.3595
329,1.0,0.38,0.27,0.095,0.219,0.0835,0.0515,0.07
331,1.0,0.505,0.4,0.15,0.775,0.3445,0.157,0.185
336,1.0,0.615,0.48,0.16,1.2525,0.585,0.2595,0.33
342,1.0,0.605,0.475,0.175,1.0759999999999998,0.463,0.2195,0.335
346,1.0,0.635,0.515,0.19,1.3715,0.5065,0.305,0.45
364,1.0,0.58,0.48,0.18,1.2495,0.4945,0.27,0.371
388,1.0,0.505,0.4,0.125,0.583,0.246,0.13,0.175
397,1.0,0.285,0.215,0.075,0.106,0.0415,0.023,0.035
411,1.0,0.355,0.285,0.095,0.2275,0.0955,0.0475,0.0715
413,1.0,0.185,0.375,0.12,0.4645,0.196,0.1045,0.15
420,1.0,0.575,0.47,0.185,0.985,0.3745,0.2175,0.355
432,1.0,0.68,0.515,0.175,1.6185,0.5125,0.409,0.62
