,Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei
158,1.0,0.635,0.495,0.18,1.596,0.617,0.317,0.37
553,1.0,0.62,0.5,0.2,1.221,0.4605,0.263,0.43
561,1.0,0.23,0.18,0.05,0.064,0.0215,0.0135,0.02
661,1.0,0.605,0.45,0.165,1.2225,0.35700000000000004,0.202,0.385
678,1.0,0.155,0.105,0.05,0.0175,0.005,0.0035,0.005
751,1.0,0.63,0.515,0.155,1.259,0.4105,0.197,0.41
1081,1.0,0.67,0.525,0.19,1.527,0.5755,0.353,0.44
1447,1.0,0.675,0.555,0.205,1.925,0.713,0.358,0.4535
1615,1.0,0.23,0.175,0.065,0.0645,0.026,0.0105,0.02
2958,1.0,0.595,0.495,0.235,1.366,0.5065,0.219,0.52
3361,1.0,0.24,0.175,0.055,0.0705,0.025,0.014,0.021
