Constant,P_H,P_S,S_H,S_S,Temp(K),Testing_R2,Training_R2,log_Fuel(%),log_Oxidizer(%),log_P(atm)
37.2203,-0.9859,-0.3286,0.0,0.1295,-16.2092,0.951248331548918,0.9540808460643458,0.9444,-1.7,-0.5486
36.7602,-0.8833,-0.2944,0.0,0.1281,-16.0262,0.9475666067742321,0.9546782777863168,0.9351,-1.6875,-0.5443
33.6319,0.0,0.0,0.0,0.1346,-14.8109,0.9525491536581306,0.9533674613032412,0.9329,-1.6929,-0.5521
33.6992,0.0,0.0,0.0,0.1215,-14.8499,0.9548282158513564,0.9532158876077834,0.9344,-1.6878,-0.5517
37.1684,-0.9886,-0.3295,0.0,0.1296,-16.1805,0.9544197456222542,0.9531973198680008,0.9479,-1.6931,-0.5443
33.7565,0.0,0.0,0.0,0.1243,-14.8807,0.9571230186152322,0.9529601330524179,0.9359,-1.6944,-0.5526
37.1733,-0.9622,-0.3207,0.0,0.11900000000000001,-16.1974,0.951866694988644,0.954059147494251,0.9398,-1.6978,-0.5494
38.4556,-1.371,-0.457,0.0,0.1244,-16.6676,0.9538758918477837,0.952931695369068,0.9373,-1.6912,-0.5441
38.0871,-1.247,-0.4157,0.0,0.11599999999999999,-16.5369,0.9551082663065292,0.9530270279985976,0.9383,-1.6914,-0.5463
36.7632,-0.8673,-0.2891,0.0,0.1314,-16.0403,0.9505920412652272,0.9541642525882059,0.9381,-1.6857,-0.5486
38.077,-1.2405,-0.4135,0.0,0.1283,-16.5287,0.9550297428840538,0.9528687473974979,0.9482,-1.6978,-0.5479
37.7848,-1.152,-0.384,0.0,0.1307,-16.4313,0.9532037600087346,0.9536323706407962,0.9452,-1.6922,-0.5462
37.365,-1.0423,-0.3474,0.0,0.1244,-16.256,0.9509234531385816,0.9539519925746202,0.9398,-1.6975,-0.546
36.3479,-0.7599,-0.2533,0.0,0.1242,-15.86,0.9526087786712796,0.9534749810594908,0.94,-1.6943,-0.5483
36.1997,-0.7267,-0.2422,0.0,0.1516,-15.8189,0.9458153173608052,0.9550583210309996,0.9421,-1.6835,-0.5437
37.9263,-1.1882,-0.3961,0.0,0.1214,-16.4867,0.9484359716491368,0.9547121544621598,0.9384,-1.6917,-0.5462
36.7091,-0.8314,-0.2771,0.0,0.1363,-16.0142,0.9470909223324441,0.9550356642109976,0.9517,-1.7028,-0.5506
38.1104,-1.2782,-0.4261,0.0,0.1305,-16.5329,0.9523237437483184,0.9531229330529946,0.9404,-1.6903,-0.5453
37.8135,-1.1634,-0.3878,0.0,0.1207,-16.4263,0.952232806797146,0.9535791048550544,0.9444,-1.6991,-0.5491
37.7342,-1.1645,-0.3882,0.0,0.1301,-16.3946,0.9469928936232191,0.9544624094494892,0.9409,-1.6877,-0.5465
36.8898,-0.9046,-0.3015,0.0,0.1283,-16.0837,0.950908004136644,0.9540865349073576,0.9412,-1.6885,-0.5461
37.3174,-1.0116,-0.3372,0.0,0.1125,-16.2546,0.9537475081390232,0.9535295470642372,0.934,-1.6897,-0.5505
33.6932,0.0,0.0,0.0,0.1258,-14.8526,0.9536398702616206,0.9535938790267698,0.9338,-1.685,-0.55
38.1575,-1.2441,-0.4147,0.0,0.1335,-16.5963,0.9494557195607362,0.9546278947371372,0.9387,-1.6828,-0.5489999999999999
37.5042,-1.097,-0.3657,0.0,0.1303,-16.31,0.9487079913206375,0.9541800010032362,0.9359,-1.6868,-0.5481
33.6779,0.0,0.0,0.0,0.1326,-14.8475,0.9536521183586288,0.9534019178936228,0.931,-1.6836,-0.5518
37.3646,-1.0390000000000001,-0.3463,0.0,0.1114,-16.2514,0.9552711521777236,0.9528940876111612,0.9408,-1.6969999999999998,-0.5477
36.1312,-0.7033,-0.2344,0.0,0.1188,-15.7716,0.9491725546092656,0.9543717989842506,0.938,-1.6969999999999998,-0.5439
37.6061,-1.0878,-0.3626,0.0,0.1334,-16.3662,0.9504876753716316,0.954232623403264,0.9494,-1.6954,-0.5508
36.9491,-0.9284,-0.3095,0.0,0.1162,-16.0886,0.9536218419048574,0.9532433990265048,0.9393,-1.6954,-0.5475
33.7129,0.0,0.0,0.0,0.1254,-14.8596,0.9553877715637236,0.9531215759812208,0.9341,-1.6865,-0.5547
36.3809,-0.7363,-0.2454,0.0,0.1225,-15.9031,0.9527355071642538,0.9539128457823988,0.9364,-1.6894,-0.5539999999999999
38.3269,-1.3030000000000002,-0.4343,0.0,0.1313,-16.6406,0.9518628633955626,0.9538896086182344,0.9424,-1.6937,-0.5459
37.0178,-0.9006,-0.3002,0.0,0.1429,-16.1587,0.9493631884641348,0.9549311515378864,0.9489,-1.6963,-0.5511
37.3537,-1.0344,-0.3448,0.0,0.1264,-16.2528,0.9517274508366892,0.9539302581228964,0.9425,-1.6988,-0.5446
36.4935,-0.8005,-0.2668,0.0,0.1329,-15.9229,0.9494903631943424,0.9543840151140004,0.9397,-1.6941,-0.5449
38.2209,-1.284,-0.428,0.0,0.1274,-16.6011,0.9543167453680094,0.9531670290938382,0.9359999999999999,-1.6857,-0.5461
38.8275,-1.4474,-0.4825,0.0,0.1212,-16.837,0.9553983849683108,0.952993683430458,0.9333,-1.6889,-0.5472
36.0092,-0.6574,-0.2191,0.0,0.1363,-15.7423,0.9468553574598444,0.9549166731089592,0.9439,-1.6892,-0.5469
