Constant,P_H,P_S,S_H,S_S,Temp(K),Testing_R2,Training_R2,log_Fuel(%),log_Oxidizer(%),log_P(atm)
32.3702,0.0,0.0,0.0,0.2891,-14.8388,0.9647868853698112,0.9690192494343868,0.6822,-1.1209,-0.4398
32.4086,0.0,0.0,0.0,0.2889,-14.8535,0.9652987330794828,0.9689147537603509,0.693,-1.1299,-0.4318
32.4963,0.0,0.0,0.0,0.2809,-14.9362,0.9735374873047916,0.966950810361751,0.6651,-1.1229,-0.4456
32.3787,0.0,0.0,0.0,0.29100000000000004,-14.8385,0.9713294841134844,0.9672469059703804,0.687,-1.1296,-0.4403
32.3618,0.0,0.0,0.0,0.285,-14.8465,0.9739374505590352,0.966711818772388,0.6735,-1.123,-0.4436
32.5449,0.0,0.0,0.0,0.2835,-14.9329,0.9720574827614172,0.9674029910272901,0.684,-1.1275,-0.4517
38.5577,-1.7754,-0.5918,0.0,0.2792,-17.2162,0.9768486962131452,0.9663030715887856,0.67,-1.1244,-0.4416
32.1906,0.0,0.0,0.0,0.2846,-14.76,0.9646835186776004,0.9685301091824896,0.6631,-1.1091,-0.4396
32.1924,0.0,0.0,0.0,0.2901,-14.7443,0.9586908198985896,0.9700130711935744,0.6774,-1.1139,-0.4324
32.5006,0.0,0.0,0.0,0.284,-14.899,0.9692204135892584,0.9679789521638908,0.6918,-1.1305,-0.4426
32.371,0.0,0.0,0.0,0.281,-14.8502,0.9688411704642116,0.9679010570782716,0.674,-1.1175,-0.4370000000000001
32.5567,0.0,0.0,0.0,0.2861,-14.9299,0.9735662254897643,0.9668033447991188,0.6917,-1.1314,-0.4495
32.5028,0.0,0.0,0.0,0.2836,-14.8988,0.9651681240127002,0.9688183936130162,0.6902,-1.1277,-0.4458
32.3981,0.0,0.0,0.0,0.2866,-14.8542,0.9659942373992042,0.9686863681606168,0.685,-1.1256,-0.4362
32.4327,0.0,0.0,0.0,0.2849,-14.8568,0.9603682432014428,0.9696884398834668,0.6941,-1.1265,-0.4408
32.524,0.0,0.0,0.0,0.2927,-14.9014,0.9639767784980066,0.9693201718282792,0.7032,-1.1398,-0.4441
32.5,0.0,0.0,0.0,0.2955,-14.8884,0.9525459907806972,0.9720794598761828,0.7039,-1.1356,-0.4433
32.5177,0.0,0.0,0.0,0.2874,-14.9077,0.9657740733151534,0.9688228798843616,0.6929,-1.1325,-0.4455
32.6478,0.0,0.0,0.0,0.2862,-14.9746,0.9707004922799158,0.9678689944493458,0.6990000000000001,-1.1393,-0.4472
32.4597,0.0,0.0,0.0,0.2816,-14.893,0.9680993542960754,0.9681072276360858,0.6813,-1.129,-0.4393
32.4496,0.0,0.0,0.0,0.2847,-14.8833,0.9690252715319532,0.9680715399209784,0.6826,-1.1235,-0.4435
32.3599,0.0,0.0,0.0,0.2831,-14.8464,0.9768480558253873,0.9662120426824138,0.6718,-1.1223,-0.4401
32.4786,0.0,0.0,0.0,0.2767,-14.9085,0.9648321821313576,0.969021562174872,0.6748,-1.1179999999999999,-0.4419
