,Unnamed: 0,Fuel,T(K),T_Error(%),P(atm),P_Error(%),Fuel(%),Oxidizer(%),Diluant(%),Equv(phi),Diluant Type,Time(μs),Mode_of_measurement,Species_name,Species_measurement_Error,Measured_wavelength(nm),Shocktube_dia(cm),Research_group,Data_Source,Primary_C,Secondary_C,Tertiary_C,Quaternary_C,Other_Atom,P_P,P_S,P_T,P_Q,S_S,S_T,S_Q,T_T,T_Q,Q_Q,P_H,S_H,T_H,label
15,149,CCC,1376,±1,1.19,±1,4.0,20.0,76.0,1.0,Ar,357,Species,CH,±5,431.0,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane /,2,1,,,,0,2,0,0,0,0,0,0,0,0,6,2,0,9
16,150,CCC,1461,±1,1.15,±1,4.0,20.0,76.0,1.0,Ar,140,Species,CH,±5,431.0,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane /,2,1,,,,0,2,0,0,0,0,0,0,0,0,6,2,0,9
17,151,CCC,1413,±1,1.16,±1,4.0,20.0,76.0,1.0,Ar,246,Species,CH,±5,431.0,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane /,2,1,,,,0,2,0,0,0,0,0,0,0,0,6,2,0,9
18,152,CCC,1477,±1,1.12,±1,4.0,20.0,76.0,1.0,Ar,115,Species,CH,±5,431.0,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane /,2,1,,,,0,2,0,0,0,0,0,0,0,0,6,2,0,9
19,153,CCC,1444,±1,1.26,±1,4.0,20.0,76.0,1.0,Ar,152,Species,CH,±5,431.0,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane /,2,1,,,,0,2,0,0,0,0,0,0,0,0,6,2,0,9
20,154,CCC,1504,±1,1.14,±1,4.0,20.0,76.0,1.0,Ar,93,Species,CH,±5,431.0,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane /,2,1,,,,0,2,0,0,0,0,0,0,0,0,6,2,0,9
141,275,CCC,1597,±0.7,1.94,±1,0.888,4.0,95.11200000000001,1.0,Ar,159,Species,OH,±1,306.7,15.3,Stanford,propene_oxidation,2,1,,,,0,2,0,0,0,0,0,0,0,0,6,2,0,9
142,276,CCC,1587,±0.7,1.92,±1,0.888,4.0,95.11200000000001,1.0,Ar,183,Species,OH,±1,306.7,15.3,Stanford,propene_oxidation,2,1,,,,0,2,0,0,0,0,0,0,0,0,6,2,0,9
143,277,CCC,1720,±0.7,1.97,±1,0.888,4.0,95.11200000000001,1.0,Ar,52,Species,OH,±1,306.7,15.3,Stanford,propene_oxidation,2,1,,,,0,2,0,0,0,0,0,0,0,0,6,2,0,9
144,278,CCC,1656,±0.7,1.95,±1,0.888,4.0,95.11200000000001,1.0,Ar,95,Species,OH,±1,306.7,15.3,Stanford,propene_oxidation,2,1,,,,0,2,0,0,0,0,0,0,0,0,6,2,0,9
154,288,CCC,1485,±0.7,2.29,±1,1.78,4.0,94.22,2.0,Ar,792,Species,OH,±1,306.7,15.3,Stanford,propene_oxidation,2,1,,,,0,2,0,0,0,0,0,0,0,0,6,2,0,9
155,289,CCC,1554,±0.7,2.22,±1,1.78,4.0,94.22,2.0,Ar,417,Species,OH,±1,306.7,15.3,Stanford,propene_oxidation,2,1,,,,0,2,0,0,0,0,0,0,0,0,6,2,0,9
156,290,CCC,1660,±0.7,2.14,±1,1.78,4.0,94.22,2.0,Ar,164,Species,OH,±1,306.7,15.3,Stanford,propene_oxidation,2,1,,,,0,2,0,0,0,0,0,0,0,0,6,2,0,9
157,291,CCC,1756,±0.7,2.04,±1,1.78,4.0,94.22,2.0,Ar,76,Species,OH,±1,306.7,15.3,Stanford,propene_oxidation,2,1,,,,0,2,0,0,0,0,0,0,0,0,6,2,0,9
158,292,CCC,1409,±0.7,2.34,±1,1.78,4.0,94.22,2.0,Ar,1809,Species,OH,±1,306.7,15.3,Stanford,propene_oxidation,2,1,,,,0,2,0,0,0,0,0,0,0,0,6,2,0,9
159,293,CCC,1388,±0.7,2.41,±1,1.78,4.0,94.22,2.0,Ar,2324,Species,OH,±1,306.7,15.3,Stanford,propene_oxidation,2,1,,,,0,2,0,0,0,0,0,0,0,0,6,2,0,9
171,305,CCC,1453,±3,1.27,,1.23,6.17,92.59,5.0,Ar,276,Species,OH,±2.32,306.7,11.5,Xi’an_Jiaotong,C1_C4_Alkanes,2,1,,,,0,2,0,0,0,0,0,0,0,0,6,2,0,9
172,306,CCC,1415,±3,1.33,,1.23,6.17,92.59,5.0,Ar,416,Species,OH,±2.32,306.7,11.5,Xi’an_Jiaotong,C1_C4_Alkanes,2,1,,,,0,2,0,0,0,0,0,0,0,0,6,2,0,9
173,307,CCC,1333,±3,1.27,,1.23,6.17,92.59,5.0,Ar,977,Species,OH,±2.32,306.7,11.5,Xi’an_Jiaotong,C1_C4_Alkanes,2,1,,,,0,2,0,0,0,0,0,0,0,0,6,2,0,9
174,308,CCC,1280,±3,1.29,,1.23,6.17,92.59,5.0,Ar,1899,Species,OH,±2.32,306.7,11.5,Xi’an_Jiaotong,C1_C4_Alkanes,2,1,,,,0,2,0,0,0,0,0,0,0,0,6,2,0,9
