,Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei,y_pred,y_act
9,1.0,0.645,0.49,0.19,1.3065,0.479,0.3565,0.345,17.981876844711174,18
20,1.0,0.53,0.425,0.17,0.949,0.3485,0.2395,0.278,17.44476106998981,17
121,1.0,0.58,0.445,0.17,1.178,0.3935,0.2165,0.315,19.5553564220111,20
127,1.0,0.525,0.395,0.165,0.782,0.285,0.1405,0.285,18.332744685031948,19
150,1.0,0.59,0.485,0.12,0.911,0.39,0.182,0.29,16.143610839684644,16
186,1.0,0.51,0.415,0.14,0.8185,0.3025,0.2155,0.235,15.985917678584066,16
214,1.0,0.635,0.51,0.155,1.156,0.428,0.289,0.315,17.490778639552175,18
239,1.0,0.61,0.48,0.15,1.2,0.56,0.2455,0.28,14.536968651416064,14
240,1.0,0.59,0.455,0.155,1.0659999999999998,0.382,0.2275,0.415,20.13795245970394,20
242,1.0,0.575,0.45,0.16,0.955,0.44,0.1685,0.27,15.951741997476534,16
307,1.0,0.6,0.475,0.15,1.0075,0.4425,0.221,0.28,15.704166877919372,15
325,1.0,0.59,0.45,0.12,0.7485,0.3345,0.1315,0.22,14.732597819129614,14
341,1.0,0.355,0.27,0.075,0.204,0.3045,0.046,0.0595,6.65671206477651,7
351,1.0,0.59,0.45,0.16,0.9,0.358,0.156,0.315,18.211605804751606,19
360,1.0,0.565,0.435,0.185,1.032,0.354,0.2045,0.31,19.48251808187314,20
384,1.0,0.44,0.33,0.135,0.522,0.17,0.0905,0.195,16.482414158429542,16
389,1.0,0.575,0.435,0.15,0.805,0.293,0.1625,0.27,17.475963964170738,17
402,1.0,0.645,0.485,0.155,1.489,0.5915,0.312,0.38,17.542249173817723,18
409,1.0,0.69,0.54,0.185,1.6195,0.5329999999999999,0.353,0.555,24.075186559458235,24
473,1.0,0.52,0.405,0.14,0.6765,0.2865,0.146,0.205,15.154951555520995,15
475,1.0,0.57,0.45,0.175,0.9555,0.38,0.1665,0.295,18.278146098639066,18
