,Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei,y_pred,y_act
2,1.0,0.335,0.265,0.095,0.1975,0.0795,0.0375,0.07,8.719175145847517,9
13,1.0,0.465,0.34,0.105,0.486,0.231,0.1035,0.1225,8.792521118370138,9
19,1.0,0.51,0.405,0.13,0.7175,0.3725,0.158,0.17,9.046727217193418,9
29,1.0,0.59,0.47,0.155,1.1735,0.6245,0.233,0.2595,9.221422963780938,9
40,1.0,0.575,0.45,0.17,0.9315,0.358,0.2145,0.26,12.964081961037937,13
50,1.0,0.615,0.5,0.205,1.1055,0.4445,0.227,0.39,15.345854452125543,16
51,1.0,0.555,0.44,0.15,1.092,0.416,0.212,0.4405,15.113545835571784,15
60,1.0,0.36,0.265,0.09,0.2065,0.078,0.057,0.06,8.291384132121946,8
67,1.0,0.235,0.17,0.055,0.0515,0.018000000000000002,0.0105,0.0195,6.709982260224177,7
70,1.0,0.65,0.525,0.205,1.4275,0.69,0.306,0.4355,12.910399064119256,13
106,1.0,0.345,0.27,0.09,0.195,0.078,0.0455,0.059,8.443847718288472,9
123,1.0,0.465,0.38,0.13,0.454,0.1895,0.08,0.155,11.076778282148599,11
128,1.0,0.52,0.41,0.14,0.6990000000000001,0.3395,0.129,0.1945,10.451865456086436,10
131,1.0,0.58,0.44,0.18,0.8540000000000001,0.3665,0.1635,0.245,12.443076685873026,12
134,1.0,0.58,0.46,0.175,1.165,0.65,0.2205,0.3055,9.495059169878386,9
137,1.0,0.69,0.56,0.215,1.719,0.68,0.299,0.47,17.127717986148276,17
144,1.0,0.51,0.395,0.125,0.5805,0.244,0.1335,0.188,10.818665527972671,11
151,1.0,0.39,0.29,0.09,0.2745,0.135,0.0455,0.078,8.314332598212106,8
153,1.0,0.505,0.38,0.13,0.693,0.391,0.1195,0.1515,8.302104864958721,8
183,1.0,0.35,0.255,0.09,0.1785,0.0855,0.0305,0.0525,7.978154424381038,8
184,1.0,0.33,0.225,0.075,0.187,0.0945,0.0395,0.0425,7.028181436179106,7
189,1.0,0.555,0.425,0.15,0.873,0.4625,0.1845,0.1965,9.036591809295402,9
200,1.0,0.505,0.39,0.175,0.6920000000000001,0.267,0.15,0.215,12.322549152474702,12
206,1.0,0.575,0.47,0.165,0.853,0.292,0.179,0.35,15.378817730973418,16
226,1.0,0.42,0.33,0.125,0.463,0.18600000000000005,0.11,0.145,10.119750565423871,10
229,1.0,0.665,0.525,0.175,1.443,0.6635,0.3845,0.353,11.12574143594315,11
232,1.0,0.605,0.47,0.18,1.1405,0.3755,0.2805,0.385,15.703216430355845,15
244,1.0,0.52,0.385,0.165,0.7909999999999999,0.375,0.18,0.1815,9.837149717166184,10
265,1.0,0.505,0.4,0.13,0.764,0.3035,0.189,0.2175,11.19037952692298,11
269,1.0,0.68,0.58,0.2,1.787,0.585,0.453,0.6,19.646379035892906,19
279,1.0,0.6,0.475,0.155,1.21,0.653,0.1695,0.3205,10.524437535812652,10
285,1.0,0.645,0.5,0.18,1.2785,0.5345,0.2995,0.345,13.109462234998318,13
290,1.0,0.665,0.5,0.175,1.742,0.595,0.3025,0.725,20.847735680829437,21
305,1.0,0.44,0.305,0.115,0.379,0.162,0.091,0.11,9.004632089808334,9
313,1.0,0.51,0.4,0.12,0.7005,0.34700000000000003,0.1105,0.195,10.10846979110734,10
324,1.0,0.425,0.38,0.105,0.3265,0.1285,0.0785,0.1,10.257131216858328,10
345,1.0,0.49,0.375,0.135,0.6125,0.2555,0.102,0.22,11.624711043105213,11
348,1.0,0.565,0.44,0.175,0.8735,0.414,0.21,0.21,10.55205604273554,11
352,1.0,0.435,0.335,0.11,0.38,0.1695,0.086,0.11,9.290402558193247,9
361,1.0,0.565,0.45,0.16,0.795,0.3605,0.1555,0.23,11.778803554429713,12
363,1.0,0.44,0.34,0.13,0.4195,0.153,0.1155,0.13,10.308397332662992,10
367,1.0,0.58,0.455,0.17,0.9075,0.374,0.2135,0.285,12.725330878490277,13
376,1.0,0.49,0.395,0.14,0.5489999999999999,0.2215,0.1275,0.15,10.949212140906319,11
380,1.0,0.55,0.41,0.13,0.8705,0.4455,0.2115,0.213,8.721233843811152,9
390,1.0,0.38,0.27,0.08,0.2105,0.0865,0.042,0.07,8.278432807907004,8
408,1.0,0.62,0.49,0.19,1.218,0.5455,0.2965,0.355,12.523474638930836,13
434,1.0,0.55,0.445,0.155,0.9905,0.544,0.17800000000000002,0.218,9.151106776869042,9
448,1.0,0.47,0.35,0.13,0.466,0.1845,0.099,0.145,10.489146761044125,11
451,1.0,0.455,0.35,0.14,0.5185,0.221,0.1265,0.135,9.967088587785593,10
453,1.0,0.345,0.27,0.095,0.197,0.0665,0.05,0.07,8.878060428480643,9
455,1.0,0.37,0.285,0.095,0.226,0.1135,0.0515,0.0675,8.189475390257467,8
457,1.0,0.625,0.515,0.165,1.217,0.667,0.2065,0.3115,10.351860237924521,10
459,1.0,0.605,0.465,0.165,1.056,0.4215,0.2475,0.34,13.370136045947818,13
466,1.0,0.375,0.285,0.095,0.253,0.096,0.0575,0.0925,9.059897628769145,9
470,1.0,0.535,0.405,0.125,0.927,0.26,0.1425,0.345,15.814675244301384,16
471,1.0,0.58,0.425,0.145,0.83,0.379,0.1605,0.2575,11.314155749813304,11
488,1.0,0.48,0.38,0.145,0.59,0.232,0.141,0.23,11.824581758749023,12
491,1.0,0.44,0.32,0.105,0.3875,0.1755,0.07400000000000001,0.12,9.18190642561393,9
506,1.0,0.645,0.5,0.225,1.626,0.5870000000000001,0.4055,0.41,15.659241594710016,15
512,1.0,0.635,0.48,0.235,1.064,0.413,0.228,0.36,15.366014521508461,16
516,1.0,0.67,0.545,0.2,1.7025,0.833,0.374,0.41,11.48419300367963,11
519,1.0,0.505,0.375,0.115,0.5895,0.2635,0.12,0.16699999999999998,9.957757752176565,10
532,1.0,0.545,0.445,0.175,0.8525,0.3465,0.189,0.295,13.289959898580321,13
537,1.0,0.545,0.44,0.12,0.8565,0.3475,0.1715,0.24,11.900015148473727,12
