,Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei,y_pred,y_act
0,1.0,0.58,0.43,0.13,0.7979999999999999,0.365,0.173,0.2285,9.584437198979234,10
3,1.0,0.545,0.39,0.135,0.7835,0.4225,0.1815,0.156,7.042827266425751,7
4,1.0,0.72,0.565,0.17,1.6130000000000002,0.723,0.3255,0.4945,12.80838050342759,12
11,1.0,0.54,0.415,0.135,0.7090000000000001,0.3195,0.174,0.185,9.191586410610245,9
12,1.0,0.565,0.43,0.135,0.8545,0.321,0.1775,0.275,11.521782632788707,11
15,1.0,0.29,0.21,0.06,0.1195,0.056,0.0235,0.03,6.055917161763702,6
17,1.0,0.61,0.365,0.155,1.0765,0.488,0.249,0.27,8.546165325857572,9
22,1.0,0.54,0.435,0.175,0.892,0.322,0.174,0.335,13.016029796953587,13
25,1.0,0.665,0.525,0.18,1.5785,0.6779999999999999,0.229,0.456,13.784638581219431,14
27,1.0,0.57,0.435,0.145,0.9055,0.3925,0.2355,0.275,10.050151276816901,10
31,1.0,0.66,0.5,0.165,1.1905,0.4585,0.298,0.37,12.560592419554212,12
32,1.0,0.7,0.55,0.175,1.4405,0.6565,0.2985,0.375,11.606175250505347,12
35,1.0,0.525,0.415,0.17,0.8325,0.2755,0.1685,0.31,12.938616511548549,13
37,1.0,0.455,0.37,0.125,0.433,0.201,0.1265,0.145,8.591143742665249,9
38,1.0,0.405,0.3,0.085,0.3035,0.15,0.0505,0.08800000000000001,7.39948659877275,7
39,1.0,0.65,0.5,0.165,1.1445,0.485,0.218,0.365,12.413181962982804,12
42,1.0,0.705,0.535,0.22,1.866,0.929,0.3835,0.4395,9.954531247272602,10
45,1.0,0.62,0.48,0.23,1.0935,0.403,0.245,0.355,13.734098128151071,14
48,1.0,0.455,0.355,0.12,0.4495,0.177,0.104,0.15,9.281228037764599,9
53,1.0,0.585,0.475,0.165,1.053,0.458,0.217,0.3,11.291845659483378,11
58,1.0,0.675,0.515,0.145,1.265,0.6025,0.299,0.325,9.803049991282188,10
68,1.0,0.525,0.385,0.1,0.5115,0.246,0.1005,0.1455,8.48713863421493,8
73,1.0,0.635,0.505,0.155,1.2895,0.594,0.314,0.345,10.294301996672294,11
75,1.0,0.325,0.25,0.07,0.1745,0.0875,0.0355,0.04,6.48630103093476,7
81,1.0,0.62,0.48,0.17,1.1045,0.535,0.25,0.287,9.743826154984017,10
85,1.0,0.625,0.505,0.175,1.15,0.5475,0.256,0.3045,10.41548955698887,11
91,1.0,0.465,0.36,0.105,0.488,0.188,0.0845,0.19,9.894244984748653,10
92,1.0,0.675,0.525,0.175,1.402,0.483,0.3205,0.465,15.158700147805515,16
100,1.0,0.62,0.485,0.18,1.154,0.4935,0.256,0.315,11.465079219196198,12
101,1.0,0.56,0.44,0.17,0.9445,0.3545,0.2175,0.3,12.016313019905986,12
103,1.0,0.645,0.51,0.16,1.33,0.6665,0.309,0.317,9.067618932459665,9
108,1.0,0.52,0.405,0.14,0.5775,0.2,0.145,0.179,10.638414660031735,11
109,1.0,0.485,0.355,0.12,0.5085,0.21,0.122,0.135,8.760163434451684,9
115,1.0,0.59,0.45,0.125,0.86,0.4370000000000001,0.1515,0.245,9.272722274340463,9
117,1.0,0.575,0.435,0.14,0.8455,0.401,0.191,0.222,9.223586990645659,9
118,1.0,0.57,0.46,0.15,1.0375,0.5415,0.2035,0.25,8.737768131901234,9
124,1.0,0.455,0.37,0.11,0.514,0.2385,0.1235,0.126,8.286932441615583,8
130,1.0,0.26,0.2,0.065,0.096,0.044,0.027000000000000003,0.03,6.019938533256601,6
138,1.0,0.455,0.325,0.135,0.82,0.4005,0.1715,0.211,7.756584211652658,8
141,1.0,0.51,0.4,0.14,0.6515,0.2455,0.1665,0.185,10.174436473501299,10
142,1.0,0.625,0.475,0.16,1.0845,0.5005,0.2355,0.3105,10.458758221545684,10
147,1.0,0.59,0.465,0.17,1.0425,0.4635,0.24,0.27,10.446959098595393,10
149,1.0,0.63,0.49,0.155,1.2525,0.63,0.246,0.289,9.209538711840837,9
154,1.0,0.53,0.405,0.13,0.6615,0.2945,0.1395,0.19,9.505925611344791,9
155,1.0,0.55,0.43,0.145,0.7120000000000001,0.3025,0.152,0.225,10.485704350836318,10
162,1.0,0.55,0.45,0.13,0.92,0.378,0.2385,0.29,10.693986847397857,11
170,1.0,0.325,0.24,0.085,0.173,0.0795,0.038,0.05,6.72528771155163,7
172,1.0,0.19,0.13,0.045,0.0265,0.009000000000000001,0.005,0.009000000000000001,5.075775932099568,5
175,1.0,0.41,0.325,0.11,0.326,0.1325,0.075,0.101,8.448042726330161,8
179,1.0,0.65,0.51,0.17,1.567,0.7245,0.349,0.391,10.494449439198627,10
180,1.0,0.4,0.305,0.13,0.2935,0.096,0.0675,0.105,8.972450271551905,9
181,1.0,0.59,0.45,0.145,1.022,0.428,0.268,0.265,10.155730640349367,10
187,1.0,0.615,0.475,0.175,1.194,0.5589999999999999,0.259,0.3165,10.277954250544349,11
191,1.0,0.63,0.49,0.225,1.336,0.6805,0.259,0.3245,9.904646989804224,10
192,1.0,0.645,0.51,0.19,1.4865,0.6445,0.29600000000000004,0.425,12.512163540609459,12
203,1.0,0.475,0.335,0.1,0.4425,0.1895,0.086,0.135,8.467468044393906,9
207,1.0,0.64,0.505,0.155,1.1955,0.5565,0.211,0.34600000000000003,11.296356843130441,11
208,1.0,0.575,0.445,0.16,0.9175,0.45,0.1935,0.24,9.39242065040342,9
209,1.0,0.525,0.39,0.12,0.664,0.3115,0.147,0.17800000000000002,8.6719439889749,9
210,1.0,0.625,0.48,0.16,1.1415,0.5795,0.2145,0.29,9.468982557382509,9
211,1.0,0.545,0.41,0.14,0.737,0.349,0.15,0.212,9.330700579693339,9
217,1.0,0.46,0.335,0.11,0.444,0.225,0.0745,0.11,7.775083743103442,8
219,1.0,0.275,0.195,0.09,0.1125,0.0545,0.0295,0.0355,6.15019952089273,6
220,1.0,0.55,0.445,0.11,0.7935,0.378,0.142,0.26,9.961497788220225,10
221,1.0,0.5,0.375,0.14,0.5589999999999999,0.2375,0.135,0.16899999999999998,9.311290713464501,9
224,1.0,0.365,0.28,0.09,0.196,0.0865,0.036000000000000004,0.0605,7.451447884411421,7
228,1.0,0.525,0.4,0.14,0.7205,0.3685,0.145,0.1735,8.364342939229722,8
230,1.0,0.635,0.51,0.21,1.598,0.6535,0.2835,0.58,15.21319803107857,15
236,1.0,0.63,0.49,0.155,1.229,0.535,0.29,0.335,10.913258172304797,11
247,1.0,0.625,0.49,0.185,1.169,0.5275,0.2535,0.344,11.307457692823718,11
250,1.0,0.605,0.46,0.17,1.122,0.34700000000000003,0.3045,0.315,13.262625221042043,13
251,1.0,0.525,0.43,0.165,0.7170000000000001,0.289,0.1745,0.195,10.564526073782522,10
253,1.0,0.28,0.21,0.065,0.111,0.0425,0.0285,0.03,6.277503113937607,6
255,1.0,0.61,0.45,0.19,1.0805,0.517,0.2495,0.2935,9.768240805393068,10
257,1.0,0.575,0.45,0.155,0.9765,0.495,0.2145,0.235,8.762258098639638,9
259,1.0,0.36,0.265,0.075,0.1845,0.083,0.0365,0.055,6.993781122384212,7
260,1.0,0.63,0.51,0.185,1.235,0.5115,0.349,0.3065,11.159828549431465,11
267,1.0,0.45,0.35,0.13,0.547,0.245,0.1405,0.1405,8.363333749088085,8
268,1.0,0.585,0.475,0.15,1.065,0.5315,0.199,0.2885,9.797844222816893,10
