,Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei,y_pred,y_act
330,1.0,0.495,0.37,0.125,0.4775,0.185,0.0705,0.16899999999999998,18.119027690835768,18
427,1.0,0.395,0.315,0.105,0.3515,0.1185,0.091,0.1195,16.10474181532378,16
533,1.0,0.585,0.45,0.17,0.8685,0.3325,0.1635,0.27,21.051919009519224,22
566,1.0,0.565,0.45,0.115,0.9085,0.398,0.197,0.29,17.87614124456048,17
667,1.0,0.53,0.415,0.13,0.8425,0.275,0.1945,0.265,19.63447921359023,20
710,1.0,0.515,0.4,0.14,0.7365,0.2955,0.184,0.185,16.535736650662834,16
740,1.0,0.49,0.36,0.11,0.5005,0.161,0.107,0.195,17.621225937577062,17
764,1.0,0.705,0.57,0.18,1.5345,0.96,0.4195,0.43,11.52477309062099,12
1057,1.0,0.515,0.4,0.16,0.8175,0.2515,0.156,0.3,22.829337898839533,23
1112,1.0,0.58,0.46,0.15,0.9955,0.429,0.212,0.26,18.294592612686678,19
1114,1.0,0.35,0.255,0.085,0.2145,0.1,0.0465,0.06,13.142612889665266,13
1195,1.0,0.45,0.355,0.12,0.412,0.1145,0.0665,0.16,19.292044546757747,19
1308,1.0,0.45,0.38,0.165,0.8165,0.25,0.1915,0.265,21.96178320673328,23
1357,1.0,0.455,0.35,0.125,0.4485,0.1585,0.102,0.1335,16.828445248105666,16
1408,1.0,0.71,0.57,0.195,1.348,0.8985,0.4435,0.4535,10.888336154979015,11
1437,1.0,0.45,0.35,0.14,0.474,0.21,0.109,0.1275,16.218061222989906,16
1481,1.0,0.545,0.42,0.14,0.7505,0.2475,0.13,0.255,21.168885029387667,22
1482,1.0,0.5,0.385,0.105,0.498,0.1795,0.1095,0.17,16.972491502026404,17
1613,1.0,0.5,0.4,0.165,0.7105,0.27,0.1455,0.225,20.23978266221946,20
1645,1.0,0.6,0.495,0.195,1.0575,0.384,0.19,0.375,25.859293091648066,26
1873,1.0,0.63,0.485,0.19,1.2435,0.4635,0.3055,0.39,21.62625123086005,21
1883,1.0,0.52,0.4,0.12,0.6515,0.261,0.2015,0.165,14.45140217456353,15
1959,1.0,0.54,0.435,0.145,0.97,0.4285,0.22,0.264,17.72593538041502,17
1984,1.0,0.68,0.55,0.175,1.798,0.815,0.3925,0.455,19.353858472475935,19
2029,1.0,0.465,0.35,0.13,0.494,0.1945,0.103,0.155,16.927683344264775,18
2535,1.0,0.57,0.405,0.16,0.9245,0.3445,0.2185,0.295,18.65328757852459,19
2664,1.0,0.425,0.315,0.125,0.3525,0.1135,0.0565,0.13,17.569689356946945,18
2758,1.0,0.52,0.395,0.18,0.64,0.158,0.11,0.245,23.50561121684965,22
3246,1.0,0.525,0.41,0.175,0.8740000000000001,0.3585,0.207,0.205,17.824963613244208,18
3304,1.0,0.6,0.47,0.155,1.036,0.4375,0.196,0.325,20.64324123207512,20
3374,1.0,0.53,0.42,0.185,0.752,0.299,0.156,0.205,19.973376719455533,20
3387,1.0,0.665,0.525,0.165,1.338,0.5515,0.3575,0.35,17.795162617105728,18
3423,1.0,0.6,0.475,0.18,1.162,0.511,0.2675,0.32,19.120075882451793,18
3514,1.0,0.49,0.365,0.13,0.6835,0.165,0.1315,0.205,20.117897470999893,21
3566,1.0,0.48,0.37,0.13,0.5885,0.2475,0.1505,0.1595,15.763226344785807,15
3598,1.0,0.61,0.49,0.15,1.103,0.425,0.2025,0.36,22.651943996243084,23
3654,1.0,0.465,0.36,0.105,0.498,0.214,0.116,0.14,15.211339845798975,15
