,Constant,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,y_pred,y_act
18,1.0,0.82526,20.0,3.97,0,0.647,7.327000000000001,94.5,2.0788,5,264,13.0,393.42,11.25,30.90811657831717,31.0
47,1.0,3.69311,0.0,18.1,0,0.713,6.376,88.4,2.5671,24,666,20.2,391.43,14.65,17.615894787260586,17.7
71,1.0,6.39312,0.0,18.1,0,0.584,6.162000000000001,97.4,2.206,24,666,20.2,302.76,24.1,13.288944826870763,13.3
90,1.0,9.96654,0.0,18.1,0,0.74,6.485,100.0,1.9784,24,666,20.2,386.73,18.85,15.34655620079826,15.4
116,1.0,5.09017,0.0,18.1,0,0.713,6.2970000000000015,91.8,2.3682,24,666,20.2,385.09,17.27,16.04512516465668,16.1
120,1.0,9.18702,0.0,18.1,0,0.7,5.5360000000000005,100.0,1.5804,24,666,20.2,396.9,23.6,11.20299972463471,11.3
129,1.0,0.1396,0.0,8.56,0,0.52,6.167000000000002,90.0,2.421,5,384,20.9,392.69,12.33,19.977612271961693,20.1
137,1.0,0.04011,80.0,1.52,0,0.404,7.287000000000001,34.1,7.309,2,329,12.6,396.9,4.08,33.40243337277501,33.3
162,1.0,8.15174,0.0,18.1,0,0.7,5.39,98.9,1.7281,24,666,20.2,396.9,20.85,12.156810716834935,11.5
163,1.0,4.812130000000002,0.0,18.1,0,0.713,6.7010000000000005,90.0,2.5975,24,666,20.2,255.23,16.42,16.406444965550193,16.4
166,1.0,0.12329,0.0,10.01,0,0.547,5.9129999999999985,92.9,2.3534,6,432,17.8,394.95,16.21,19.004402643664555,18.8
169,1.0,0.053020000000000005,0.0,3.41,0,0.489,7.079,63.1,3.4145,2,270,17.8,396.06,5.7,28.4889180234529,28.7
172,1.0,0.44791,0.0,6.2,1,0.507,6.726,66.5,3.6519,8,307,17.4,360.2,8.05,29.39847413485317,29.0
175,1.0,2.3004,0.0,19.58,0,0.605,6.319,96.1,2.1,5,403,14.7,297.09,11.1,23.652999179118115,23.8
197,1.0,5.7081800000000005,0.0,18.1,0,0.532,6.75,74.9,3.3317,24,666,20.2,393.07,7.74,23.74158399567425,23.7
200,1.0,1.4250200000000002,0.0,19.58,0,0.871,6.51,100.0,1.7659,5,403,14.7,364.31,7.39,23.456032055132617,23.3
203,1.0,15.288,0.0,18.1,0,0.6709999999999999,6.649,93.3,1.3449,24,666,20.2,363.02,23.24,14.325123218059735,13.9
205,1.0,6.96215,0.0,18.1,0,0.7,5.712999999999999,97.0,1.9265,24,666,20.2,394.43,17.11,14.950251673898771,15.1
223,1.0,0.18337,0.0,27.74,0,0.609,5.414,98.3,1.7554,4,711,20.1,344.05,23.97,7.060952053843192,7.0
232,1.0,15.8603,0.0,18.1,0,0.679,5.896,95.4,1.9096,24,666,20.2,7.68,24.39,7.876640375158507,8.3
240,1.0,88.9762,0.0,18.1,0,0.6709999999999999,6.968,91.9,1.4165,24,666,20.2,396.9,17.21,10.514028626519233,10.4
249,1.0,23.6482,0.0,18.1,0,0.6709999999999999,6.38,96.2,1.3861,24,666,20.2,396.9,23.69,12.6358203687057,13.1
260,1.0,5.82115,0.0,18.1,0,0.713,6.513,89.9,2.8016,24,666,20.2,393.82,10.29,19.849117795543673,20.2
261,1.0,22.0511,0.0,18.1,0,0.74,5.818,92.4,1.8662,24,666,20.2,391.45,22.11,10.443138142161853,10.5
291,1.0,5.73116,0.0,18.1,0,0.532,7.061,77.0,3.4106,24,666,20.2,395.28,7.01,24.99251611996211,25.0
315,1.0,0.12579,45.0,3.44,0,0.4370000000000001,6.556,29.1,4.5667,5,398,15.2,382.84,4.56,29.65873330248144,29.8
344,1.0,4.75237,0.0,18.1,0,0.713,6.525,86.5,2.4358,24,666,20.2,50.92,18.13,13.47845276655842,14.1
345,1.0,8.98296,0.0,18.1,1,0.77,6.2120000000000015,97.4,2.1222,24,666,20.2,377.73,17.6,17.401525865146954,17.8
351,1.0,6.2880699999999985,0.0,18.1,0,0.74,6.341,96.4,2.072,24,666,20.2,318.01,17.79,15.192407040475029,14.9
353,1.0,5.58107,0.0,18.1,0,0.713,6.436,87.9,2.3158,24,666,20.2,100.19,16.22,14.654253740989404,14.3
384,1.0,0.40771,0.0,6.2,1,0.507,6.164,91.3,3.048,8,307,17.4,395.24,21.46,21.86690800463262,21.7
396,1.0,2.24236,0.0,19.58,0,0.605,5.854,91.8,2.422,5,403,14.7,395.11,11.64,22.43565435028515,22.7
405,1.0,11.0874,0.0,18.1,0,0.718,6.4110000000000005,100.0,1.8589,24,666,20.2,318.75,15.02,16.876104053436634,16.7
445,1.0,7.75223,0.0,18.1,0,0.713,6.301,83.7,2.7831,24,666,20.2,272.21,16.23,14.896905218039429,14.9
447,1.0,0.3692,0.0,9.9,0,0.544,6.567,87.3,3.6023,4,304,18.4,395.69,9.28,23.796478592857348,23.8
454,1.0,0.22212,0.0,10.01,0,0.547,6.0920000000000005,95.4,2.548,6,432,17.8,396.9,17.09,18.901167081655025,18.7
