,Fuel,Ea/R,intercept
0,C10_5_export.csv,11.884970761708827,-18.92970179169567
1,C11_5_export.csv,11.842139520548695,-18.962537952416536
2,C12_5_export.csv,11.763169360200173,-18.993546510016607
3,C13_5_export.csv,11.735212170510188,-19.033228934271772
4,C14_5_export.csv,11.667831941696571,-19.056293236248194
5,C15_5_export.csv,11.665798266596363,-19.108537198773817
6,C16_5_export.csv,11.642262883019425,-19.15580290624309
7,C3_5_export.csv,19.278084132197925,-21.991862596720402
8,C4_5_export.csv,19.19144077772975,-22.40137976052752
9,C5_5_export.csv,13.641365341421468,-19.10392022622539
10,C6_5_export.csv,12.851640633193982,-18.73415051798775
11,C7_5_export.csv,12.492092768218697,-18.662215330341436
12,C8_5_export.csv,12.103533502688835,-18.913699569012685
13,C9_5_export.csv,12.033463028194065,-18.939490471823444
