,Fuel,Ea/R,intercept
0,C10_5_export.csv,20.313314119798385,-24.32145302521699
1,C11_5_export.csv,20.471450478958488,-24.475607526973775
2,C12_5_export.csv,20.16356008834797,-24.354953190666258
3,C13_5_export.csv,20.229020495521326,-24.439528411707613
4,C14_5_export.csv,20.06300014455135,-24.39252074231136
5,C15_5_export.csv,20.10943813547856,-24.471151575044768
6,C16_5_export.csv,20.027454667313698,-24.475983027409384
7,C3_5_export.csv,24.05042438761554,-25.086127702448152
8,C4_5_export.csv,23.31139496764518,-25.077128500602445
9,C5_5_export.csv,21.46735332936202,-24.17140707206191
10,C6_5_export.csv,20.210405619679666,-23.49462423548013
11,C7_5_export.csv,21.666196670252905,-24.573199441588713
12,C8_5_export.csv,20.757732588473587,-24.491802192154637
13,C9_5_export.csv,20.746604276539358,-24.533180391717853
