,Unnamed: 0,Fuel,T(K),T_Error(%),P(atm),P_Error(%),Fuel(%),Oxidizer(%),Diluant(%),Equv(phi),Diluant Type,Time(μs),Mode_of_measurement,Species_name,Species_measurement_Error,Measured_wavelength(nm),Shocktube_dia(cm),Research_group,Data_Source,Primary_C,Secondary_C,Tertiary_C,Quaternary_C,Other_Atom,P_P,P_S,P_T,P_Q,S_S,S_T,S_Q,T_T,T_Q,Q_Q,P_H,S_H,T_H,label
0,0,CCCCCCCC,1325,±0.7,1.95,±1,0.32,4.0,95.68,1.0,Ar,859,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,2,6,,,,0,2,0,0,5,0,0,0,0,0,6,12,0,2
1,1,CCCCCCCC,1265,±0.7,2.05,±1,0.32,4.0,95.68,1.0,Ar,1569,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,2,6,,,,0,2,0,0,5,0,0,0,0,0,6,12,0,2
2,2,CCCCCCCC,1289,±0.7,2.01,±1,0.32,4.0,95.68,1.0,Ar,1198,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,2,6,,,,0,2,0,0,5,0,0,0,0,0,6,12,0,2
3,3,CCCCCCCC,1385,±0.7,1.96,±1,0.32,4.0,95.68,1.0,Ar,390,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,2,6,,,,0,2,0,0,5,0,0,0,0,0,6,12,0,2
4,4,CCCCCCCC,1455,±0.7,1.87,±1,0.32,4.0,95.68,1.0,Ar,166,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,2,6,,,,0,2,0,0,5,0,0,0,0,0,6,12,0,2
5,5,CCCCCCCC,1282,±0.7,3.37,±1,0.32,4.0,95.68,1.0,Ar,1020,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,2,6,,,,0,2,0,0,5,0,0,0,0,0,6,12,0,2
6,6,CCCCCCCC,1421,±0.7,3.59,±1,0.32,4.0,95.68,1.0,Ar,210,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,2,6,,,,0,2,0,0,5,0,0,0,0,0,6,12,0,2
7,7,CCCCCCCC,1384,±0.7,3.63,±1,0.32,4.0,95.68,1.0,Ar,285,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,2,6,,,,0,2,0,0,5,0,0,0,0,0,6,12,0,2
8,8,CCCCCCCC,1319,±0.7,3.75,±1,0.32,4.0,95.68,1.0,Ar,614,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,2,6,,,,0,2,0,0,5,0,0,0,0,0,6,12,0,2
9,9,CCCCCCCC,1273,±0.7,3.81,±1,0.32,4.0,95.68,1.0,Ar,1064,Species,OH,±3,306.0,14.13,Stanford,Lam_2013_thesis / Normal_Alkanes_and_Simple_Oxygenates,2,6,,,,0,2,0,0,5,0,0,0,0,0,6,12,0,2
15,149,CCC,1376,±1,1.19,±1,4.0,20.0,76.0,1.0,Ar,357,Species,CH,±5,431.0,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane /,2,1,,,,0,2,0,0,0,0,0,0,0,0,6,2,0,2
16,150,CCC,1461,±1,1.15,±1,4.0,20.0,76.0,1.0,Ar,140,Species,CH,±5,431.0,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane /,2,1,,,,0,2,0,0,0,0,0,0,0,0,6,2,0,2
17,151,CCC,1413,±1,1.16,±1,4.0,20.0,76.0,1.0,Ar,246,Species,CH,±5,431.0,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane /,2,1,,,,0,2,0,0,0,0,0,0,0,0,6,2,0,2
18,152,CCC,1477,±1,1.12,±1,4.0,20.0,76.0,1.0,Ar,115,Species,CH,±5,431.0,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane /,2,1,,,,0,2,0,0,0,0,0,0,0,0,6,2,0,2
19,153,CCC,1444,±1,1.26,±1,4.0,20.0,76.0,1.0,Ar,152,Species,CH,±5,431.0,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane /,2,1,,,,0,2,0,0,0,0,0,0,0,0,6,2,0,2
20,154,CCC,1504,±1,1.14,±1,4.0,20.0,76.0,1.0,Ar,93,Species,CH,±5,431.0,15.3,Stanford,Horning_2001_thesis / Autoignition_ n_Alkane /,2,1,,,,0,2,0,0,0,0,0,0,0,0,6,2,0,2
26,160,CCC,1497,±1,2.15,,0.15,0.75,99.1,1.0,Ar,420,Species,OH,±5,306.7,15.3,Stanford,n_Alkane_oxidation,2,1,,,,0,2,0,0,0,0,0,0,0,0,6,2,0,2
27,161,CCC,1405,±0.7,5.46,±1,0.8,8.0,91.2,0.5,Ar,83,Species,OH,±1,306.7,15.3,Stanford,Lam_2013_thesis / propane_const_V,2,1,,,,0,2,0,0,0,0,0,0,0,0,6,2,0,2
28,162,CCC,1366,±0.7,5.6,±1,0.8,8.0,91.2,0.5,Ar,170,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V,2,1,,,,0,2,0,0,0,0,0,0,0,0,6,2,0,2
29,163,CCC,1339,±0.7,5.68,±1,0.8,8.0,91.2,0.5,Ar,230,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V,2,1,,,,0,2,0,0,0,0,0,0,0,0,6,2,0,2
30,164,CCC,1303,±0.7,5.7,±1,0.8,8.0,91.2,0.5,Ar,400,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V,2,1,,,,0,2,0,0,0,0,0,0,0,0,6,2,0,2
31,165,CCC,1281,±0.7,5.88,±1,0.8,8.0,91.2,0.5,Ar,590,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V,2,1,,,,0,2,0,0,0,0,0,0,0,0,6,2,0,2
32,166,CCC,1250,±0.7,5.98,±1,0.8,8.0,91.2,0.5,Ar,890,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V,2,1,,,,0,2,0,0,0,0,0,0,0,0,6,2,0,2
33,167,CCC,1234,±0.7,6.99,±1,0.8,8.0,91.2,0.5,Ar,940,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V,2,1,,,,0,2,0,0,0,0,0,0,0,0,6,2,0,2
34,168,CCC,1223,±0.7,6.08,±1,0.8,8.0,91.2,0.5,Ar,1270,Species,OH,±1,306.7,14.13,Stanford,Lam_2013_thesis / propane_const_V,2,1,,,,0,2,0,0,0,0,0,0,0,0,6,2,0,2
