,Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei,y_pred,y_act
98,1.0,0.58,0.465,0.15,0.9065,0.371,0.1965,0.29,7.962293000027648,8
113,1.0,0.575,0.455,0.155,0.8725,0.349,0.2095,0.285,7.992842167976834,8
167,1.0,0.525,0.44,0.125,0.7115,0.3205,0.159,0.1915,6.951808677150083,7
185,1.0,0.645,0.505,0.165,1.307,0.4335,0.262,0.52,10.012772719757843,10
212,1.0,0.275,0.195,0.07,0.0875,0.0345,0.022,0.0255,4.029606027492033,4
530,1.0,0.26,0.205,0.07,0.097,0.0415,0.019,0.0305,3.990654918568448,4
863,1.0,0.455,0.375,0.12,0.4970000000000001,0.2355,0.1055,0.1295,6.070673919407737,6
1009,1.0,0.36,0.27,0.09,0.1885,0.0845,0.0385,0.055,4.976609461254122,5
1353,1.0,0.58,0.45,0.155,0.8275,0.321,0.1975,0.2445,7.98424109019835,8
1460,1.0,0.27,0.205,0.075,0.118,0.059,0.031,0.0305,3.9737483103780904,4
1479,1.0,0.19,0.14,0.03,0.0315,0.0125,0.005,0.0105,3.0321215673230757,3
1831,1.0,0.475,0.38,0.135,0.486,0.1735,0.07,0.185,6.972318660329306,7
1953,1.0,0.43,0.325,0.105,0.309,0.119,0.08,0.098,5.961884323637147,6
2818,1.0,0.18,0.125,0.05,0.023,0.0085,0.0055,0.01,2.990288560964783,3
2863,1.0,0.275,0.2,0.055,0.0925,0.038,0.021,0.026,3.973695310967602,4
3176,1.0,0.53,0.42,0.12,0.5965,0.2555,0.141,0.177,7.029651918523099,7
3217,1.0,0.18,0.13,0.045,0.0275,0.0125,0.01,0.009000000000000001,2.9742617472661177,3
3232,1.0,0.36,0.26,0.08,0.1795,0.07400000000000001,0.0315,0.06,4.94850349310604,5
3274,1.0,0.515,0.41,0.14,0.7355,0.3065,0.13699999999999998,0.2,7.001849828908634,7
3476,1.0,0.35,0.265,0.095,0.199,0.073,0.049,0.06,5.0809707898965595,5
