1000/T (1/K),Ignition_time_2_by_max_dT/dt (sec)
1.666667,0.2058455
1.538462,0.03145048
1.428571,0.006715086
1.333333,0.002257802
1.25,0.001645177
1.176471,0.002477478
1.111111,0.004582457
1.052632,0.005898073
1.0,0.00381325
0.952381,0.002034021
0.9090909,0.001059963
0.8695652,5.517103E-4
0.8333333,2.880407E-4
0.8,1.521884E-4
0.7692308,8.199805E-5
0.7407407,4.534976E-5
0.7142857,2.596152E-5
0.6896552,1.550577E-5
0.6666667,9.677018E-6
0.6451613,6.294594E-6
0.625,4.245089E-6
0.6060606,2.939763E-6
0.5882353,2.092345E-6
0.5714286,1.529834E-6
0.5555556,1.14871E-6
0.5405405,8.803702E-7
0.5263158,6.968622E-7
0.5128205,5.609308E-7
0.5,4.635164E-7
0.4878049,3.895532E-7
0.4761905,3.335109E-7
0.4651163,2.868848E-7
0.4545455,2.492116E-7
0.4444444,2.199783E-7
0.4347826,1.96021E-7
0.4255319,1.765448E-7
0.4166667,1.587779E-7
