1000/T (1/K),Ignition_time_2_by_max_dT/dt (sec)
1.666667,0.2721926
1.538462,0.04124223
1.428571,0.009425205
1.333333,0.004457023
1.25,0.005583338
1.176471,0.01065546
1.111111,0.01843846
1.052632,0.01304791
1.0,0.006550364
0.952381,0.003259975
0.9090909,0.001681223
0.8695652,8.771638E-4
0.8333333,4.561692E-4
0.8,2.382792E-4
0.7692308,1.264912E-4
0.7407407,6.905246E-5
0.7142857,3.917262E-5
0.6896552,2.320257E-5
0.6666667,1.434859E-5
0.6451613,9.212681E-6
0.625,6.113405E-6
0.6060606,4.166758E-6
0.5882353,2.93987E-6
0.5714286,2.13243E-6
0.5555556,1.592211E-6
0.5405405,1.227303E-6
0.5263158,9.732857E-7
0.5128205,7.939817E-7
0.5,6.491937E-7
0.4878049,5.514198E-7
0.4761905,4.824031E-7
0.4651163,4.179379E-7
0.4545455,3.657707E-7
0.4444444,3.219599E-7
0.4347826,2.949571E-7
0.4255319,2.579188E-7
0.4166667,2.41457E-7
