1000/T (1/K),Ignition_time_2_by_max_dT/dt (sec)
1.666667,0.2740247
1.538462,0.04168014
1.428571,0.01255741
1.333333,0.01186419
1.25,0.02505825
1.176471,0.03934358
1.111111,0.02746834
1.052632,0.01372072
1.0,0.006586838
0.952381,0.003418181
0.9090909,0.00194176
0.8695652,0.001158903
0.8333333,6.91537E-4
0.8,4.027934E-4
0.7692308,2.294225E-4
0.7407407,1.292294E-4
0.7142857,7.290769E-5
0.6896552,4.179845E-5
0.6666667,2.467482E-5
0.6451613,1.519935E-5
0.625,9.803958E-6
0.6060606,6.621453E-6
0.5882353,4.682596E-6
0.5714286,3.434056E-6
0.5555556,2.612158E-6
0.5405405,2.010499E-6
0.5263158,1.598966E-6
0.5128205,1.310641E-6
0.5,1.076859E-6
0.4878049,8.877517E-7
0.4761905,7.570494E-7
0.4651163,6.444994E-7
0.4545455,5.748564E-7
0.4444444,5.106574E-7
0.4347826,4.510479E-7
0.4255319,4.023369E-7
0.4166667,3.627414E-7
