1000/T (1/K),Ignition_time_2_by_max_dT/dt (sec)
1.666667,0.2144548
1.538462,0.03269421
1.428571,0.007044292
1.333333,0.002442181
1.25,0.001915289
1.176471,0.003038323
1.111111,0.005633565
1.052632,0.006738799
1.0,0.004168371
0.952381,0.002209658
0.9090909,0.001157794
0.8695652,6.068377E-4
0.8333333,3.173958E-4
0.8,1.670047E-4
0.7692308,8.934593E-5
0.7407407,4.905129E-5
0.7142857,2.790869E-5
0.6896552,1.658795E-5
0.6666667,1.031612E-5
0.6451613,6.689299E-6
0.625,4.496577E-6
0.6060606,3.117722E-6
0.5882353,2.211252E-6
0.5714286,1.617158E-6
0.5555556,1.208013E-6
0.5405405,9.281545E-7
0.5263158,7.325879E-7
0.5128205,5.908856E-7
0.5,4.935068E-7
0.4878049,4.085826E-7
0.4761905,3.472022E-7
0.4651163,3.018142E-7
0.4545455,2.659465E-7
0.4444444,2.265859E-7
0.4347826,2.063621E-7
0.4255319,1.847439E-7
0.4166667,1.657248E-7
