1000/T (1/K),Ignition_time_2_by_max_dT/dt (sec)
1.666667,0.2310672
1.538462,0.03522413
1.428571,0.007667331
1.333333,0.002861849
1.25,0.002641337
1.176471,0.004605199
1.111111,0.008685246
1.052632,0.008727675
1.0,0.004960823
0.952381,0.002578719
0.9090909,0.001353225
0.8695652,7.136393E-4
0.8333333,3.739695E-4
0.8,1.960723E-4
0.7692308,1.042056E-4
0.7407407,5.681468E-5
0.7142857,3.214008E-5
0.6896552,1.902026E-5
0.6666667,1.178886E-5
0.6451613,7.610032E-6
0.625,5.094488E-6
0.6060606,3.513336E-6
0.5882353,2.485849E-6
0.5714286,1.812108E-6
0.5555556,1.351801E-6
0.5405405,1.041474E-6
0.5263158,8.256083E-7
0.5128205,6.637544E-7
0.5,5.512646E-7
0.4878049,4.631206E-7
0.4761905,3.952799E-7
0.4651163,3.438002E-7
0.4545455,2.994048E-7
0.4444444,2.661161E-7
0.4347826,2.305361E-7
0.4255319,2.083544E-7
0.4166667,1.882904E-7
