1000/T (1/K),Ignition_time_2_by_max_dT/dt (sec)
1.666667,0.2591097
1.538462,0.03918431
1.428571,0.008768773
1.333333,0.003771567
1.25,0.004299348
1.176471,0.008010828
1.111111,0.01446198
1.052632,0.01131295
1.0,0.005903951
0.952381,0.003031648
0.9090909,0.00161178
0.8695652,8.596487E-4
0.8333333,4.504224E-4
0.8,2.340241E-4
0.7692308,1.228364E-4
0.7407407,6.622897E-5
0.7142857,3.71631E-5
0.6896552,2.18564E-5
0.6666667,1.347923E-5
0.6451613,8.653748E-6
0.625,5.760722E-6
0.6060606,3.957986E-6
0.5882353,2.802972E-6
0.5714286,2.036207E-6
0.5555556,1.524288E-6
0.5405405,1.170963E-6
0.5263158,9.289157E-7
0.5128205,7.516446E-7
0.5,6.248426E-7
0.4878049,5.235548E-7
0.4761905,4.437271E-7
0.4651163,3.871189E-7
0.4545455,3.363007E-7
0.4444444,2.964099E-7
0.4347826,2.687833E-7
0.4255319,2.370724E-7
0.4166667,2.146818E-7
