,Fuel,Ea/R,intercept
0,C10_5_export.csv,19.97200441336762,-14.900613030467301
1,C11_5_export.csv,20.049319436551496,-15.004902343666341
2,C12_5_export.csv,19.787972625859517,-14.912978332735848
3,C13_5_export.csv,19.809408622498253,-14.970383345853136
4,C14_5_export.csv,19.67621283045396,-14.943643151683476
5,C15_5_export.csv,19.699175793624498,-15.007781086416916
6,C16_5_export.csv,19.632630297234716,-15.022144712982884
7,C3_5_export.csv,23.528965718868683,-15.554725365879385
8,C4_5_export.csv,23.438858005748294,-15.945829249927842
9,C5_5_export.csv,20.91536698935032,-14.62090656158834
10,C6_5_export.csv,19.7352540001367,-13.991319586528503
11,C8_5_export.csv,20.446335605431884,-15.089451525554868
12,C9_5_export.csv,20.287130993216092,-15.039404992750633
13,Updated_Heptane_5_export.csv,21.35545875756984,-15.171915621318284
14,detailed_heptane_5_export.csv,19.859831266049596,-14.211049372357824
