Constant,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol
1.0,0.74,0.44,0.2,0.115,4.9,0.44,0.157,9.98,0.327,0.44,0.09
1.0,0.71,0.25,0.31,0.023,5.0,0.32,0.156,9.914,0.314,0.51,0.114
1.0,0.6799999999999999,0.28,0.44,0.09300000000000001,3.1,0.35,0.137,9.946,0.316,0.36,0.10400000000000001
1.0,0.64,0.29,0.57,0.01,6.0,0.15,0.12,9.924,0.306,0.41,0.095
1.0,0.78,0.43,0.49,0.13,3.3000000000000003,0.37,0.158,9.955,0.314,0.35,0.113
1.0,0.7,0.12,0.29,0.10300000000000001,3.9,0.41,0.098,9.9564,0.319,0.38,0.098
1.0,0.7,0.2,0.34,0.021,4.9,0.12,0.136,9.922,0.325,0.46,0.11599999999999999
1.0,0.6599999999999999,0.32,0.26,0.077,5.4,0.56,0.209,9.961,0.317,0.45,0.08800000000000001
1.0,0.72,0.24,0.29,0.03,3.6000000000000005,0.17,0.117,9.9411,0.33599999999999997,0.68,0.10099999999999999
1.0,0.65,0.22,0.25,0.171,5.0,0.44,0.138,10.001,0.32999999999999996,0.37,0.08800000000000001
1.0,0.74,0.2,0.28,0.091,4.7,0.29,0.095,9.953199999999999,0.316,0.47,0.098
1.0,0.73,0.43,0.37,0.046,2.8000000000000003,0.17,0.114,9.91,0.323,0.43,0.132
1.0,0.72,0.21,0.36,0.157,4.5,0.68,0.183,9.9922,0.325,0.76,0.094
1.0,0.6599999999999999,0.545,0.04,0.025,3.1,0.48,0.111,9.906,0.314,0.32,0.11900000000000001
1.0,0.65,0.18,0.41,0.142,3.9,0.47,0.129,9.9678,0.32799999999999996,0.72,0.10300000000000001
1.0,0.77,0.38,0.4,0.02,3.8,0.28,0.152,9.906,0.318,0.32,0.129
1.0,0.64,0.16,0.25,0.013999999999999999,5.7,0.21,0.125,9.909099999999999,0.323,0.44,0.111
1.0,0.71,0.44,0.37,0.027000000000000003,4.1000000000000005,0.35,0.128,9.896,0.307,0.43,0.135
1.0,0.7,0.2,0.49,0.059000000000000004,3.8,0.39,0.128,9.938,0.321,0.48,0.10800000000000001
1.0,0.8,0.14,0.49,0.015,3.5000000000000004,0.42,0.12,9.928,0.32599999999999996,0.4,0.106
1.0,0.71,0.18,0.39,0.1525,4.7,0.45,0.158,9.9946,0.33399999999999996,0.77,0.091
1.0,0.63,0.17,0.32,0.01,4.0,0.39,0.118,9.8886,0.331,0.4,0.131
1.0,0.72,0.16,0.35,0.012,3.1,0.27,0.084,9.928,0.333,0.34,0.099
1.0,0.63,0.24,0.22,0.11900000000000001,5.0,0.65,0.179,9.9659,0.306,0.58,0.09300000000000001
1.0,0.6799999999999999,0.27,0.12,0.013000000000000001,4.0,0.87,0.168,9.92,0.318,0.41,0.1
1.0,0.62,0.28,0.22,0.073,4.1000000000000005,0.26,0.157,9.957,0.344,0.64,0.098
1.0,0.6799999999999999,0.32,0.3,0.033,2.9000000000000004,0.15,0.08,9.9061,0.333,0.63,0.126
1.0,0.9,0.17,0.49,0.01,3.9,0.46,0.131,9.93,0.309,0.51,0.105
1.0,0.64,0.18,0.32,0.096,5.2,0.24,0.09,9.963,0.335,0.49,0.094
1.0,0.74,0.2,1.66,0.021,2.1999999999999997,0.34,0.113,9.916500000000001,0.32599999999999996,0.55,0.122
1.0,0.72,0.14,0.35,0.012,3.6000000000000005,0.15,0.073,9.938,0.346,0.39,0.099
1.0,0.64,0.19,0.35,0.102,4.3,0.4,0.106,9.9632,0.316,0.5,0.09699999999999999
1.0,0.6,0.17,0.29,0.09699999999999999,4.3999999999999995,0.33,0.098,9.9536,0.312,0.36,0.092
1.0,0.7,0.23,0.42,0.1805,5.0,0.35,0.144,9.999,0.322,0.42,0.08800000000000001
1.0,0.75,0.32,0.24,0.046,5.3,0.08,0.134,9.958,0.314,0.5,0.091
1.0,0.6599999999999999,0.3,0.25,0.08,3.6000000000000005,0.21,0.124,9.9362,0.306,0.38,0.10800000000000001
1.0,0.77,0.39,0.3,0.052000000000000005,3.7000000000000006,0.29,0.131,9.943,0.33799999999999997,0.44,0.11
1.0,0.72,0.33,0.34,0.02,4.3999999999999995,0.61,0.171,9.8947,0.325,0.53,0.133
1.0,0.58,0.36,0.32,0.017,3.3000000000000003,0.22,0.096,9.898,0.303,0.38,0.11199999999999999
1.0,0.63,0.23,0.31,0.015,2.1999999999999997,0.11,0.082,9.892,0.32999999999999996,0.4,0.129
1.0,0.64,0.33,0.28,0.011000000000000001,3.8,0.3,0.11,9.917,0.312,0.42,0.105
1.0,0.67,0.3,0.74,0.05,3.8,0.35,0.157,9.945,0.321,0.46,0.099
1.0,0.64,0.3,0.27,0.05,5.800000000000001,0.27,0.151,9.9198,0.322,0.49,0.122
1.0,0.82,0.17,0.32,0.015,5.0,0.17,0.101,9.94,0.314,0.58,0.095
1.0,0.6799999999999999,0.18,0.3,0.128,6.2,0.19,0.171,9.9808,0.3,0.52,0.09
1.0,0.77,0.38,0.23,0.10800000000000001,3.0,0.28,0.095,9.9164,0.29300000000000004,0.41,0.136
1.0,0.67,0.27,0.25,0.08,5.3,0.54,0.202,9.961,0.322,0.43,0.09300000000000001
1.0,0.62,0.32,0.24,0.040999999999999995,5.1,0.34,0.149,9.9306,0.33599999999999997,0.52,0.11
1.0,0.62,0.66,0.48,0.012,2.9000000000000004,0.29,0.075,9.892,0.333,0.39,0.128
1.0,0.8300000000000001,0.22,0.34,0.011000000000000001,4.3,0.2,0.116,9.927,0.3,0.47,0.102
1.0,0.6599999999999999,0.56,0.22,0.08900000000000001,3.4000000000000004,0.27,0.133,9.967500000000001,0.32,0.51,0.091
1.0,0.9800000000000001,0.36,0.45,0.016,4.2,0.11,0.124,9.943999999999999,0.29300000000000004,0.46,0.10800000000000001
1.0,0.67,0.27,0.26,0.023,4.3,0.61,0.181,9.939400000000001,0.34500000000000003,0.63,0.106
1.0,0.5900000000000001,0.48,0.3,0.015,3.7000000000000006,0.19,0.078,9.9057,0.34700000000000003,0.42,0.11900000000000001
1.0,0.65,0.36,0.31,0.1355,5.3,0.2,0.113,9.9544,0.32,0.56,0.11
1.0,0.6799999999999999,0.28,0.6,0.011000000000000001,13.200000000000001,0.42,0.127,9.934,0.309,0.44,0.091
1.0,0.67,0.24,0.32,0.09,2.3,0.2,0.109,9.9262,0.33399999999999996,0.35,0.126
1.0,0.73,0.42,0.38,0.068,4.5,0.29,0.122,9.925,0.319,0.37,0.126
1.0,0.62,0.22,0.28,0.022000000000000002,4.0,0.24,0.125,9.917,0.319,0.48,0.105
1.0,0.62,0.2,0.26,0.011000000000000001,4.7,0.42,0.119,9.9158,0.348,0.6,0.11
1.0,0.72,0.23,0.32,0.085,5.800000000000001,0.47,0.186,9.956,0.319,0.4,0.099
1.0,0.75,0.18,0.31,0.065,2.9000000000000004,0.53,0.16,9.9276,0.303,0.38,0.109
1.0,0.62,0.29,0.29,0.055999999999999994,4.6,0.35,0.178,9.9313,0.325,0.51,0.105333333333
1.0,0.75,0.23,0.29,0.026000000000000002,3.1,0.24,0.098,9.9194,0.3,0.54,0.109
1.0,0.7,0.21,0.28,0.086,4.5,0.37,0.221,9.953999999999999,0.325,0.54,0.10400000000000001
1.0,0.5700000000000001,0.22,0.33,0.019,3.6000000000000005,0.37,0.11,9.8945,0.32599999999999996,0.58,0.124
1.0,0.67,0.44,0.31,0.019,3.0,0.41,0.104,9.9,0.329,0.62,0.126
1.0,0.61,0.26,0.28,0.017,4.3,0.24,0.098,9.8918,0.314,0.44,0.125
1.0,0.62,0.12,0.34,0.015,4.5,0.43,0.117,9.939,0.34199999999999997,0.51,0.09
1.0,0.6,0.29,0.27,0.023,4.3999999999999995,0.2,0.117,9.895,0.331,0.41,0.127
1.0,0.64,0.24,0.27,0.015,4.0,0.35,0.105,9.8914,0.313,0.3,0.124
1.0,0.71,0.26,0.29,0.124,4.3999999999999995,0.62,0.24,9.969,0.304,0.42,0.092
1.0,0.6900000000000001,0.19,0.28,0.05,5.800000000000001,0.14,0.146,9.952,0.329,0.36,0.091
1.0,0.5599999999999999,0.29,0.05,0.008,3.8,0.11,0.03,9.924,0.33599999999999997,0.35,0.092
